Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1769372185.779	     0.182	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 1 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
16	:	1769372185.801	     0.173	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 15 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
15	:	1769372185.800	     0.174	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 14 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
17	:	1769372185.802	     0.177	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 16 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
18	:	1769372185.804	     0.177	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 17 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
4	:	1769372185.782	     0.202	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 3 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
19	:	1769372185.805	     0.179	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 18 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
20	:	1769372185.806	     0.178	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 19 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
21	:	1769372185.808	     0.176	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 20 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
22	:	1769372185.809	     0.177	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 600 --dot-maxwidth 21 --minmax:precision 1e-6 -condtol 1e-6 --conditional restart
