model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,2.08,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,2.05,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,2.24,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,513.37,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,525.06,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,578.44,43462
dpm,backward,bisection,True,1620,1723,37.42,266
dpm,backward,bisection,False,1620,1723,43.69,266
dpm,backward,restart,False,1620,1723,50.75,266
dpm-queue,backward,bisection,True,16200,1733,38.33,275
dpm-queue,backward,bisection,False,16200,1733,43.73,275
dpm-queue,backward,restart,False,16200,1733,51.9,275
ladder-network,backward,bisection,True,864000000000,251,899.49,48223
ladder-network,backward,bisection,False,864000000000,251,899.52,47268
ladder-network,backward,restart,False,864000000000,251,898.41,38877
ladder-network-input,backward,bisection,True,8640000000000,519,894.99,39739
ladder-network-input,backward,bisection,False,8640000000000,519,894.94,35112
ladder-network-input,backward,restart,False,8640000000000,519,894.77,31806
virus,backward,bisection,True,12150,118,47.13,3977
virus,backward,bisection,False,12150,118,68.74,3977
virus,backward,restart,False,12150,118,41.5,4148
airport,backward,restart,False,1254763851264,49,899.78,367533
airport-big,backward,restart,False,177163327111680,93,894.22,124967
airport,backward,bisection,True,1254763851264,67,456.18,309289
airport,backward,bisection,False,1254763851264,67,506.36,309289
airport-big,backward,bisection,True,177163327111680,122,96.38,33401
airport-big,backward,bisection,False,177163327111680,110,193.65,67104
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,1.42,178
ceaser-cipher-4-10,backward,bisection_policy_tracking,False,1048576,265,1.74,178
ceaser-cipher-4-10,backward,bisection_advanced_policy_tracking,False,1048576,265,1.58,178
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,393.42,43462
ceaser-cipher-10-8,backward,bisection_policy_tracking,False,100000000,451,380.23,43462
ceaser-cipher-10-8,backward,bisection_advanced_policy_tracking,False,100000000,451,372.16,43462
dpm,backward,bisection_advanced,False,1620,1723,38.68,266
dpm,backward,bisection_policy_tracking,False,1620,1723,28.65,266
dpm,backward,bisection_advanced_policy_tracking,False,1620,1723,39.79,266
dpm-queue,backward,bisection_advanced,False,16200,1733,38.08,275
dpm-queue,backward,bisection_policy_tracking,False,16200,1733,28.82,275
dpm-queue,backward,bisection_advanced_policy_tracking,False,16200,1733,38.42,275
ladder-network,backward,bisection_advanced,False,864000000000,251,899.65,68892
ladder-network,backward,bisection_policy_tracking,False,864000000000,251,899.58,75048
ladder-network,backward,bisection_advanced_policy_tracking,False,864000000000,251,899.65,69049
ladder-network-input,backward,bisection_advanced,False,8640000000000,514,896.77,58635
ladder-network-input,backward,bisection_policy_tracking,False,8640000000000,505,896.73,64025
ladder-network-input,backward,bisection_advanced_policy_tracking,False,8640000000000,507,896.69,54171
virus,backward,bisection_advanced,False,12150,118,63.93,3977
virus,backward,bisection_policy_tracking,False,12150,118,42.39,3977
virus,backward,bisection_advanced_policy_tracking,False,12150,118,64.05,3977
airport,backward,bisection_advanced,False,1254763851264,71,374.09,290463
airport,backward,bisection_policy_tracking,False,1254763851264,67,533.0,467606
airport,backward,bisection_advanced_policy_tracking,False,1254763851264,67,539.09,463193
airport-big,backward,bisection_advanced,False,177163327111680,104,207.61,95067
airport-big,backward,bisection_policy_tracking,False,177163327111680,110,148.2,67104
airport-big,backward,bisection_advanced_policy_tracking,False,177163327111680,105,198.2,90709
