model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.43,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.55,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,193.02,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,151.24,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,148.27,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,905.29,10
dpm,backward,bisection,True,1620,1723,11.0,266
dpm,backward,bisection,False,1620,1723,16.05,266
dpm,backward,restart,False,1620,2119,942.96,29
dpm-queue,backward,bisection,True,16200,1733,14.06,275
dpm-queue,backward,bisection,False,16200,1733,17.99,275
dpm-queue,backward,restart,False,16200,2128,907.88,29
ladder-network,backward,bisection,True,864000000000,251,899.5,238107
ladder-network,backward,bisection,False,864000000000,251,899.45,210979
ladder-network,backward,restart,False,864000000000,251,899.49,180388
ladder-network-input,backward,bisection,True,8640000000000,518,894.97,107569
ladder-network-input,backward,bisection,False,8640000000000,518,894.84,111276
ladder-network-input,backward,restart,False,8640000000000,518,1080.0,0
virus,backward,bisection,True,12150,118,12.49,2428
virus,backward,bisection,False,12150,118,16.65,2803
virus,backward,restart,False,12150,118,18.67,2784
airport,backward,restart,False,1254763851264,51,899.81,1023161
airport-big,backward,restart,False,177163327111680,93,898.16,386574
airport-big,backward,bisection,True,177163327111680,122,54.83,33401
airport-big,backward,bisection,False,177163327111680,110,113.21,67104
airport,backward,bisection,True,1254763851264,71,253.66,272933
airport,backward,bisection,False,1254763851264,71,272.89,272933
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.36,178
ceaser-cipher-4-10,backward,bisection_policy_tracking,False,1048576,265,0.35,178
ceaser-cipher-4-10,backward,bisection_advanced_policy_tracking,False,1048576,265,0.34,178
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,108.32,43462
ceaser-cipher-10-8,backward,bisection_policy_tracking,False,100000000,451,115.67,43462
ceaser-cipher-10-8,backward,bisection_advanced_policy_tracking,False,100000000,451,115.14,43462
dpm,backward,bisection_advanced,False,1620,1723,17.91,266
dpm,backward,bisection_policy_tracking,False,1620,1723,11.89,266
dpm,backward,bisection_advanced_policy_tracking,False,1620,1723,18.58,266
dpm-queue,backward,bisection_advanced,False,16200,1733,20.9,275
dpm-queue,backward,bisection_policy_tracking,False,16200,1733,14.06,275
dpm-queue,backward,bisection_advanced_policy_tracking,False,16200,1733,22.42,275
ladder-network,backward,bisection_advanced,False,864000000000,251,899.59,293428
ladder-network,backward,bisection_policy_tracking,False,864000000000,251,899.58,350693
ladder-network,backward,bisection_advanced_policy_tracking,False,864000000000,251,899.66,344916
ladder-network-input,backward,bisection_advanced,False,8640000000000,528,896.87,212624
ladder-network-input,backward,bisection_policy_tracking,False,8640000000000,503,845.1,184812
ladder-network-input,backward,bisection_advanced_policy_tracking,False,8640000000000,504,838.27,184746
virus,backward,bisection_advanced,False,12150,118,11.04,2599
virus,backward,bisection_policy_tracking,False,12150,118,7.91,2827
virus,backward,bisection_advanced_policy_tracking,False,12150,118,10.64,2605
airport,backward,bisection_advanced,False,1254763851264,73,243.46,274478
airport,backward,bisection_policy_tracking,False,1254763851264,69,381.05,446545
airport,backward,bisection_advanced_policy_tracking,False,1254763851264,69,387.38,444142
airport-big,backward,bisection_advanced,False,177163327111680,104,158.04,95067
airport-big,backward,bisection_policy_tracking,False,177163327111680,110,110.01,67104
airport-big,backward,bisection_advanced_policy_tracking,False,177163327111680,105,150.02,90709
