d,pobs,turn,risk
299,29,0,1
299,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,28,1,1
296,28,0,1
296,29,1,1
296,29,0,1
296,28,1,1
295,28,0,1
295,29,1,1
295,29,0,1
295,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,28,1,1
294,28,0,1
294,27,1,1
294,27,0,2435089/3503640
294,25,1,1371335134336929765547229419038240827720889967825147033183197978183924830476170882391639622911664701910135559961247272874173634501092928245952422540669269095428020530228730025862120022149077821760139398351/1880560050666555780358607904846114807412976056998186206451161849875124856742684160775171798099944196237723377449485154001393042123233687662943789980983845642112441860128834007264414432963000689302772024222445976255054619756098196649967669514925649546622625900360160567108402042161694097379676679841593249503194227119678191543653848066080665373851289156184331483882961099619347789146977466712969846217735728737
293,25,0,2803690902384205759220780042488638197912976605479040356114313559973611064780089612702735323080274831071963531523414167579328114553655376271747671261629699414195011566254210234391283547289198129077379463651/3930341338055261521246422525253215614107844357478586146651017879395691253677610504530963483824002091861256354094833984800388891593909611372502588182010387136521310984462313087174277046673035407940268293053191229537160844063433424095288809504346502282978613455175693090886669054534709164355190646561772667803708262514821857365335744755921604051937506729079927883129781055693375365632339446308589382718165752896
293,26,1,852444336777575259139883048557201252666594743466983287479521521595168213970630931828128226876282515166885701613798509178805019397089605198748806945607438285874835958749847578552176613524729739934337836915/363330673652019977618212186978260724259981958201823025694924519705703167286729988155351308145881184748751455970578543513240446316094649925071720791434763056014411061335267628484557916084858299269417976346495263224974317460359703880426979888468546531799025465476734431866582323582367626495711076218973519936414831057788520780073521762326362530980563498788721638053869400306585610808212593870428255642619744492
293,26,0,609757987036975753197537660313561360503908050018484877341933678360303866334154072567448388875923336762090943993936586558392074242481520838542166905536764815314963399009229740470227634286201789566928406701/371804802755357034949295154187295697378841914124517045807483625920104878585250767643706599367400758279191839265933667156727139582338220840264770399604799749272850777924973185543496190935015760118887602356756913247543206152114001325599062275893840978628529426353550255793687809790208291888176191905704724346063686493223385055290164416698892782809886409405353934535150283490621867776435313935810619525660094501
293,25,1,1481271385658385201118281510820640397185375828275927737662532157587882687409223756819548308791367509539830725867857055997178465414891006883294414063110109252567892917208161027020163617934407913017137176091/1097082458985035877775024015372291437852372477686370089830837334559970655753901833010039075077204800918177547001310514192280918660814891461731360992707274440811444985794643324287675148024094254333530717201957844819955753357385540639881976310610432632944669518181197110705267781619680737045765965530099612309457816740615424172316381912967913496626745731739740031258353058123462252291844652922173985430012673476
292,25,0,377294829719972886584511506095515966292872643271243177157708722025518728178207921400958940095631452281647947093875785616079512695787824282535737208168034613228630388747749270162810796427412566064076610131/71175694266705305901161577741423292069620730598029384089369961346786233494620557216724955407050372727013212514674526942934801421823392272150715291325094817666733571682356461335645186723679999037033744155630487214857485697316374002561916766094132395946539422843029431997838392059599599643670071966592074758521273176902072584058395601403911406072088974831217750050134875986329496272279411234455603857808194960
292,26,1,552652604765304541172148659465835794092398858246523255275046532511420840700310165906818448468378429623079935512847326027450900224592404660143705043566706379077988979555533049268759528181855448311234418784/305424901553857249400470957233664042565789834802839555262052160033552003359952263990425066534583333320796326087826432761558483074584588384898227438404425399388506501985615830758838973467109507298799551758231645783733006666582007649487578251268215350699038475405027300234175692022946869388166309659931899894104931547447355364017710283960112109683106186909882853006445610228439969860257820231292524118519553495
292,26,0,377294829719972886584511506095515966292872643271243177157708722025518728178207921400958940095631452281647947093875785616079512695787824282535737208168034613228630388747749270162810796427412566064076610131/71175694266705305901161577741423292069620730598029384089369961346786233494620557216724955407050372727013212514674526942934801421823392272150715291325094817666733571682356461335645186723679999037033744155630487214857485697316374002561916766094132395946539422843029431997838392059599599643670071966592074758521273176902072584058395601403911406072088974831217750050134875986329496272279411234455603857808194960
292,25,1,229515140895717846421104967773419196543185069043380346851288375722884608452602344570283423847854138168384993512481811763768544009589227429331565047485296416204473875002738165969899307237139882149624782804/52677199900377046446056497874701329665177670782742018809201118277785670119753583246799943158081102532266843446505451511504627244767298093431627860158327504966588714757685628705071648823383614576497884595676724548198326121905580231585094179276976371496300035146551338134708401242121016129106013340844592959898424135867410384791063842507848886065860995532638401017468559976502930939709341777245159337773955887
292,25,0,377294829719972886584511506095515966292872643271243177157708722025518728178207921400958940095631452281647947093875785616079512695787824282535737208168034613228630388747749270162810796427412566064076610131/71175694266705305901161577741423292069620730598029384089369961346786233494620557216724955407050372727013212514674526942934801421823392272150715291325094817666733571682356461335645186723679999037033744155630487214857485697316374002561916766094132395946539422843029431997838392059599599643670071966592074758521273176902072584058395601403911406072088974831217750050134875986329496272279411234455603857808194960
292,26,1,552652604765304541172148659465835794092398858246523255275046532511420840700310165906818448468378429623079935512847326027450900224592404660143705043566706379077988979555533049268759528181855448311234418784/305424901553857249400470957233664042565789834802839555262052160033552003359952263990425066534583333320796326087826432761558483074584588384898227438404425399388506501985615830758838973467109507298799551758231645783733006666582007649487578251268215350699038475405027300234175692022946869388166309659931899894104931547447355364017710283960112109683106186909882853006445610228439969860257820231292524118519553495
292,26,0,377294829719972886584511506095515966292872643271243177157708722025518728178207921400958940095631452281647947093875785616079512695787824282535737208168034613228630388747749270162810796427412566064076610131/71175694266705305901161577741423292069620730598029384089369961346786233494620557216724955407050372727013212514674526942934801421823392272150715291325094817666733571682356461335645186723679999037033744155630487214857485697316374002561916766094132395946539422843029431997838392059599599643670071966592074758521273176902072584058395601403911406072088974831217750050134875986329496272279411234455603857808194960
292,25,1,229515140895717846421104967773419196543185069043380346851288375722884608452602344570283423847854138168384993512481811763768544009589227429331565047485296416204473875002738165969899307237139882149624782804/52677199900377046446056497874701329665177670782742018809201118277785670119753583246799943158081102532266843446505451511504627244767298093431627860158327504966588714757685628705071648823383614576497884595676724548198326121905580231585094179276976371496300035146551338134708401242121016129106013340844592959898424135867410384791063842507848886065860995532638401017468559976502930939709341777245159337773955887
292,25,0,377294829719972886584511506095515966292872643271243177157708722025518728178207921400958940095631452281647947093875785616079512695787824282535737208168034613228630388747749270162810796427412566064076610131/71175694266705305901161577741423292069620730598029384089369961346786233494620557216724955407050372727013212514674526942934801421823392272150715291325094817666733571682356461335645186723679999037033744155630487214857485697316374002561916766094132395946539422843029431997838392059599599643670071966592074758521273176902072584058395601403911406072088974831217750050134875986329496272279411234455603857808194960
292,23,1,2876785906822747590045211694641122301585126560866323101767758969484813823870127695762632176679086395042395385972003864380826978644491856317042940703574370465307614127073254797273493877733497047564308862187313/4137948576846648560199923827704634490614445697585714627397890581441385242710921972020391468257819927189394350964851406236740900920753936883967367600102106236397459161194009512631387944643425111566748646857102163510841846385994725985844411439080216688359043734644173665135342298326800351980760032152768962561862647367210503795535693882592030979513914463296358890848596837080302042293616056663469614987908390413683444
292,23,0,4746720783473437107430306364090642787438166981553893251811259311906805746701009193083964723480862889955114294480224015734516612771474195188588844317102491623957570082497757828284934577838459996505748811883457/22531358196256614746864314275570647285123611968278344346573144549333959304504297853818903038098417617640776889128460168133260771568697416791868996192119803204893532484129731050998065978797601039558667129490280225496281236164717435247135361953459872973009419598748917427599579065085173062357393884098163841660164259677438371643436879579006449876172568727287583261645915279749227082379361357837907283611442606785815328
292,23,1,9304928532539513360864781873088026324747315711801935481432754319941932849124967601811501854779097477152014116954933290127081670706826565496934099951493958899495978598219860873176889301547546505689860054208047/43290847497829072955006796942958071465413599829570264528212208383446738899352831666910610276260763275882587265679353082611684592713253744480684378377531737719385739193216269948673376369963792354599279031255473430089128677169876839764202616587361565247011709247252550909277416449696974439340213598346194697570754162289380478846588772020856057259769125430914584145657553906496771445577030751156373279933831566268145000
