d,pobs,turn,risk
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,28,1,1
296,28,0,1
296,29,1,1
296,29,0,1
296,29,1,1
296,29,0,1
296,29,1,1
296,29,0,1
296,29,1,1
296,29,0,1
296,29,1,1
296,29,0,1
296,29,1,1
296,29,0,1
296,29,1,1
295,29,0,1
295,28,1,1
295,28,0,1
295,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,29,1,1
293,29,0,1
293,29,1,1
293,29,0,1
293,29,1,1
292,29,0,1
292,29,1,1
291,29,0,1
291,29,1,1
290,29,0,1
290,29,1,1
289,29,0,1
289,29,1,1
289,29,0,1
289,29,1,1
289,29,0,1
289,29,1,1
288,29,0,1
288,29,1,1
288,29,0,1
288,29,1,1
288,29,0,1
288,28,1,1
288,28,0,1
288,29,1,1
287,29,0,1
287,28,1,1
287,28,0,1
287,28,1,1
286,28,0,1
286,28,1,1
286,28,0,1
286,26,1,462251116024537075184905595733366830792564127352805227621416296654803873663780149480810237060710842992610270096909548638899526714015397660116175346472371663790280114213186761678222846052827679056839142122922998671235457757282264998525792341785747557488533437412361614954809321348513052926975626789657333831159882164317364113596935747239049123369667677728910349763338235354677914641960368601311305145648197531823126700703066006945192009326211609118299211752922259121411682769222187270299638470084610213502249908931093418204075443867491296288270925068727944857726562254731681326957775538198672630253154976212429987558072664544050335274316315626521105841555573652862574426682085609295597956946961946557752840347825715649846207727255491583071762651390631305468718639700449217676053934250808573065409942558360831196913800025116763633266668761302385097463616017875408452257789775816959737128323473216608272513699839005151648419335595187947307762594202019096746737438406963550208896856727651110497566630803205880973609057439020643668850117841271/523360437107162899856809105737279237610516410445835027397852709512117072897026845021872325976072185134720380453833630572047613873008681572463533535890891893339367591136998943852001895667350438249449263363268975413512903148994681954067041538564034194559741951856218076041479011128657488185545570896592097238943995551842419269718381046136611387018455960896992694131673398285716353799982771758447101341665642054274639205639430163486721004998994223142454343855875928105016310817539843595138235081522617367113628604679469075298057727559310708374898506944026463447015250180741665821770750598124096495915066804987224178376003666306119705945950275186184024762701622889624510000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
