d,pobs,turn,risk
299,29,0,1
299,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,28,1,1
296,28,0,1
296,29,1,1
296,29,0,1
296,28,1,1
295,28,0,1
295,29,1,1
295,29,0,1
295,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,28,1,1
294,28,0,1
294,27,1,1
294,27,0,694763250620874859730947866005594932766762460058222474896277122398084096878677210790513461120135471204060951606490661420396790070309454954534589388447809419164709853151530628576690610375400326660756695845289878742353304041605090694163010362973891225556309499899840438032385501636516993017293453819095780823753948515760307144490352942676082415131034031745332278849543985566112493077400568968949315274647687246739563597857453387871300550421218305733228875436368165513297062144593829958405446381001578084916029546284069430756025426377475974067171488905708260001970412407523388632464425797102508957830632614914992590414107245691350542364718269858343701692084694683307106584963785435144481213287776428707368360403696214874850255972721473815196171634439112047821358774061799184752392408802980297573598523924266038651239571775789066711219635888346702753296981699610822277561018413399555982684705489923581068967960090705187639554960710093158224155184396084227936018858180287621010900558959848652833104543848215040255807624075792803673508272900449703151772561473796770069944801460465975441262028818769640507127568406683545145857558179508118367414184267185178859975585246537420183154825587501705831454409373075170833344440249925448857533811445927161729022876403978527407761368300922959/999635301167612641641660227783421803076184859041473076338900243477345387453560877851708410927869235792378733123240978608818825999819676778816429561358428450653232501286307963738176663790215570336202550684476311585659722107871777757539594371649987049709584829921247028336090750178763548727908406469646195190326345435062531889847622711763172184004972655453494270290530137459110816689692495497250920032133367006858957840552106276186926823751001320860095705708416705165718794269036571705483785716274907672880261954761046172095665467516400680668471791091527735535565532649856423261202777092709327714985626240248604493261740278929629507036849857565858855986510543668774205505180652307836415249000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
294,25,1,609490177910747001953010111111298712117358397118035936287553480776417074490026753409206469966000584982935441908100868913887728390588858785454131019933003875674260137423714165411197100839333055415848592922787086237334958302923629641608245891955413082911654569077626498333606806092559015494063273873374557087941322279308051198866299348042652263378215921662585257541170729648397270183641143283290751063137393181024139735718389948412931376413037549166176201017702113373687132278384145070655905211493597768754901610599230403641812548352268182271608242951753984310760442250983805889080406840916840565700725584416030671780552140711079084036403205228748999006801182765617006211515129555031040490857680708654947263417210746215089876585045097609286835442866804148141784864780280935246183495184228587906277677918117747417471857028275256566651908234961483395006718200207473749842317350917978818559274049138152388420171285145554200242261469245356541176713478419919013925910919644290923119799114017216707754673893072478651641290840081094948060200639381257613342365095283321729063091/835815469203689499700384805838981440699151219934342037072659066452629922620034178805776263317616417886604291909064363385300021738979662858542165185082298035663237877329688932891452060025263854796155978833174173566605118819290784078210363186998316931195305041740173100615460493460504639404605691028132270226025372437343254088501356782410679083616197872452754406597433225300259880175328173492684715745930908868611168763003433341293417076714884047541886041562221325389396985174779742228665372672470658589364767520703215862956242029695987191194374407267163658474553120944696006071239780177850608457345841338000505429148612273352533032639506569871119444804774702064192479519381816310900012750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
293,25,0,37264076661185122977064115364064155414064868074181507650912301096550659978260844473382443905569637373160850070114708101735036516405061804894653161137593943500563054224841318875554655678098686495088335189425993597388629230320251435443348672356466572416258234084741404897739245931111486647070881294490674631673065296598668701631315930451410181261951515723041785450055290663676581492907546706611535948617699584327465597272360514735452831711727994588820093974318075436836961510513371950123074575689842037414348892107429562646493907758634663473227657937820241014216851488677728041894583909381182333444632237228602783888777089046424346937056537440183020724341876708216558528385741708007402563024272647922127493956768493257247240088766272545797511050183350729055897596686196558017092170021631679690848329706717782440589796204918341842722753853389665251256022263601700962847951071269079113289367842980407576543438038546173277737799563338805527802575512419105521740816994717916108175647287238841321117919268746757952596213070258755966722609800404100094582168760853458389786851/52238466825230593731274050364936340043696951245896377317041191653289370163752136175361016457351026117912768244316522711581251358686228928658885324067643627228952367333105558305715753751578990924759748677073385847912819926205674004888147699187394808199706565108760818788466280841281539962787855689258266889126585777333953380531334798900667442726012367028297150412339576581266242510958010843292794734120681804288198047687714583830838567294680252971367877597638832836837311573423733889291585792029416161835297970043950991434765126855999199449648400454197728654659570059043500379452486261115663028584115083625031589321788267084533314539969160616944965300298418879012029969961363519431250796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
293,26,1,512381197890034847509963258369915063231347995772352852850372840759499242438952086310916772003084303581559712217909135995257460998556643449635723976498659177503419093693172755967867448205248262003326881414885094768124628507940336421063157250352495895348981939900182051485686177379453040032865955761415990011706395497745551150495158681594816749087098478858606230154555527510649271452064321478796938932356717739871049321933856186565099638597477125715969761930002555728661862798090305096125589896140169551257131416584138683175931135956811140436273103552488502424080076701072389757151835579477306522695804574835273325592051786621851345375027288444239479528523856938765038606678481540406438125297346345428919056504685615709385877544418591732368349591147120671079125964675635421369575101646032098320368305436636758407824177680077854145523630179684652744970926693046535814236404475860651425098833873990798029383693093963067594675185690610272597599151122492710040750750391985387879765356687189494353892914758971768748248274370495065473791941161092144921435148165933738723/218388239235913853391613922930335869747896953369132012194988259420106062557492208090974149069193253001307559549818238760791184609892261407436811555466737572027392840021344307298142783242387085805851792128233218427729180293501981625786570648776734147992084302294150580219340638968568310881220132480176701041499104420292447243023974911792087971262593507643382735837540035874858873373570279445203991363380776773780092172607502440764375281332275305064246979923239267712530566778527315590683887090423980609679339339648624546131961232675581937498530102233268096382356062119747075164935143232088892259967036302780232396830218507878483756437998163114318416807267637454063670442982288960832988281250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
