d,pobs,turn,risk
299,29,0,1.0
299,29,1,1.0
298,29,0,1.0
298,29,1,1.0
298,29,0,1.0
298,28,1,1.0
297,28,0,1.0
297,29,1,1.0
296,29,0,1.0
296,29,1,1.0
295,29,0,1.0
295,29,1,1.0
294,29,0,1.0
294,29,1,1.0
294,29,0,1.0
294,29,1,1.0
294,29,0,1.0
294,29,1,1.0
293,29,0,1.0
293,29,1,1.0
293,29,0,1.0
293,29,1,1.0
292,29,0,1.0
292,29,1,1.0
292,29,0,1.0
292,29,1,1.0
292,29,0,1.0
292,29,1,1.0
292,29,0,1.0
292,29,1,1.0
292,29,0,1.0
292,29,1,1.0
291,29,0,1.0
291,29,1,1.0
290,29,0,1.0
290,28,1,1.0
290,28,0,1.0
290,29,1,1.0
289,29,0,1.0
289,28,1,1.0
289,28,0,1.0
289,29,1,1.0
289,29,0,1.0
289,29,1,1.0
289,29,0,1.0
289,28,1,1.0
289,28,0,1.0
289,29,1,1.0
288,29,0,1.0
288,29,1,1.0
288,29,0,1.0
288,28,1,1.0
287,28,0,1.0
287,28,1,1.0
287,28,0,1.0
287,27,1,1.0
287,27,0,0.7020399570465088
287,26,1,2.6872145652661157e-199
287,26,0,1.8865333489727788e-199
287,26,1,2.6872145652661157e-199
286,26,0,6.209540526704892e-199
286,26,1,7.796720637595649e-199
286,26,0,6.236735021409467e-199
286,24,1,9.052833784386223e-203
285,24,0,8.856215290233713e-203
285,24,1,9.052833784386223e-203
285,24,0,2.106394368392367e-202
285,22,1,2.5216541926408284e-206
284,22,0,2.4718717336129318e-206
284,21,1,7.11794116946746e-208
284,21,0,2.0997417109625087e-208
284,19,1,4.34178817076692e-212
283,19,0,1.0283257952904642e-211
283,20,1,3.2104577854661927e-212
282,20,0,3.4555505116780017e-211
282,20,1,1.0690036678787948e-211
281,20,0,1.1650629324456342e-210
281,20,1,3.5713282963421963e-211
280,20,0,3.941230331981508e-210
280,18,1,3.9768494647020883e-212
279,18,0,3.9126322183811973e-212
279,18,1,3.9768494647020883e-212
278,18,0,3.266546573381552e-211
278,15,1,1.1555536227022047e-217
278,15,0,8.2350823646304e-218
278,16,1,2.4416135534931885e-218
277,16,0,2.825831637153667e-217
277,15,1,2.2624816585817742e-217
277,15,0,2.825831637153667e-217
277,16,1,8.300651607466562e-218
276,16,0,9.729837623817495e-217
276,16,1,2.8315270708909552e-217
276,16,0,9.729837623817495e-217
276,14,1,7.471374561440725e-219
275,14,0,7.378201311435222e-219
275,14,1,7.471374561440725e-219
275,14,0,1.8425853092032876e-218
275,14,1,2.302063323700674e-218
275,14,0,1.8463329875959933e-218
275,12,1,6.127839750905334e-223
274,12,0,6.06297727973711e-223
274,13,1,2.1278960112499112e-222
273,13,0,5.318640848663706e-222
273,13,1,1.4984068498374805e-222
273,13,0,5.318640848663706e-222
273,11,1,3.176196415651747e-224
272,11,0,3.1452624122168307e-224
272,9,1,1.5182360056715866e-228
271,9,0,3.841494836003385e-228
271,9,1,3.042472847208599e-228
271,9,0,3.841494836003385e-228
271,8,1,1.6722184800647251e-230
271,8,0,4.7141700577309454e-231
271,6,1,1.1006203681581376e-235
270,6,0,2.805191138724254e-235
270,7,1,7.6171063382152644e-236
269,7,0,9.983904604604734e-235
269,7,1,2.685039929085378e-235
268,7,0,3.5660210755918204e-234
268,7,1,9.498344767776118e-235
268,7,0,3.5660210755918204e-234
268,6,1,2.808995719571426e-234
267,6,0,1.2782566213370968e-233
267,4,1,6.045661934439699e-239
266,4,0,6.024729886868797e-239
266,4,1,6.045661934439699e-239
266,4,0,1.5733818685334473e-238
266,4,1,1.957247135531606e-238
265,4,0,5.693899186227076e-238
265,2,1,1.0370489067788855e-243
264,2,0,1.0352633635840214e-243
264,2,1,1.0370489067788855e-243
264,2,0,2.7309324484847386e-243
264,0,1,7.974591514772805e-250
263,0,0,2.911713220026224e-249
263,1,1,5.3204049902022636e-250
262,1,0,1.0670457599594138e-248
262,0,1,1.3521344315942354e-249
261,0,0,3.9247942924280205e-248
261,0,1,4.689646497349981e-249
260,0,0,1.4489611849104497e-247
260,0,1,1.857879818062389e-248
259,0,0,5.369183803270646e-247
259,0,1,7.243742030833175e-248
258,0,0,1.9969978001883495e-246
258,0,1,2.7879321268644315e-247
257,0,0,7.455389637389787e-246
257,1,1,8.516827262334644e-248
256,1,0,2.7937862156932936e-245
256,0,1,3.637325776644006e-247
255,0,0,1.0508764611129233e-244
255,0,1,1.5265276300186007e-246
254,0,0,3.967826433702812e-244
254,0,1,6.260939245804355e-246
253,0,0,1.5038413523995445e-243
253,0,1,2.4992305991790004e-245
252,0,0,5.721445781110935e-243
252,0,1,9.69295824973675e-245
251,0,0,2.185096363259574e-242
251,0,1,3.647062761107301e-244
250,0,0,8.377280606930982e-242
250,0,1,1.33489633921841e-243
249,0,0,3.224103009767592e-241
249,0,1,4.764917553704572e-243
248,0,0,1.2456475649190858e-240
248,0,1,1.666278295281251e-242
247,0,0,4.831348252498624e-240
247,0,1,5.737581817647651e-242
246,0,0,1.8811995824339112e-239
246,0,1,1.9532238915021557e-241
245,0,0,7.353629320825438e-239
245,0,1,6.595942265728271e-241
244,0,0,2.885856766509975e-238
244,0,1,2.2159744701353587e-240
243,0,0,1.1370024621933217e-237
243,0,1,7.423057576126693e-240
242,0,0,4.497470066145004e-237
