d,pobs,turn,risk
298,29,0,1.0
298,29,1,1.0
297,29,0,1.0
297,29,1,1.0
296,29,0,1.0
296,28,1,1.0
295,28,0,1.0
295,28,1,1.0
294,28,0,1.0
294,29,1,1.0
293,29,0,1.0
293,29,1,1.0
292,29,0,1.0
292,29,1,1.0
292,29,0,1.0
292,29,1,1.0
291,29,0,1.0
291,29,1,1.0
291,29,0,1.0
291,28,1,1.0
290,28,0,1.0
290,29,1,1.0
290,29,0,1.0
290,28,1,1.0
289,28,0,1.0
289,28,1,1.0
289,28,0,1.0
289,27,1,1.0
289,27,0,6.909325269568135e-05
289,27,1,1.0
289,27,0,6.201820352814141e-06
289,26,1,6.602342593049476e-206
289,26,0,1.458497862417049e-205
289,24,1,3.9972890388917616e-210
288,24,0,3.9153300321897e-210
288,23,1,4.933830674317256e-212
288,23,0,1.4758869730585993e-212
288,24,1,5.1273812800620805e-214
288,24,0,2.745962784376757e-213
288,22,1,3.066189516687097e-215
287,22,0,3.006965380982903e-215
287,21,1,3.5512591187083242e-217
287,21,0,1.0583264464186266e-217
287,21,1,2.1800614250764513e-218
287,21,0,3.5591466118017855e-218
287,18,1,2.678105486876642e-225
286,18,0,6.259103259697333e-225
286,19,1,5.7965969841042216e-226
285,19,0,4.859296484512198e-225
285,17,1,3.338009866747154e-227
285,17,0,9.881848296634965e-228
285,16,1,8.858396336769543e-230
284,16,0,8.737330649005572e-230
284,15,1,7.370507279803148e-232
284,15,0,2.17412821753646e-232
284,15,1,4.368177274715928e-233
284,15,0,7.307055337396594e-233
284,16,1,3.8520755036475106e-235
284,16,0,1.2962636044914432e-233
284,14,1,1.0054567380105089e-235
283,14,0,9.934883680107525e-236
283,12,1,1.1135198491982408e-240
283,12,0,7.799468105343194e-241
283,12,1,1.9660479261874614e-241
283,12,0,1.849676411394349e-241
283,13,1,1.179919416636737e-242
282,13,0,1.370186929645382e-241
282,11,1,6.789660967550739e-244
281,11,0,6.727420797024103e-244
281,11,1,1.3318323198496873e-244
280,11,0,7.911242301617047e-244
280,9,1,5.170463990663671e-249
279,9,0,5.133092966593986e-249
279,9,1,1.0151248059462885e-249
