d,pobs,turn,risk
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
297,29,0,False
297,28,1,False
297,28,0,False
297,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,29,1,False
296,29,0,False
296,28,1,False
296,28,0,False
296,29,1,False
295,29,0,False
295,28,1,False
295,28,0,False
295,29,1,False
294,29,0,False
294,29,1,False
293,29,0,False
293,28,1,False
293,28,0,False
293,29,1,False
292,29,0,False
292,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
291,29,0,False
291,28,1,False
290,28,0,False
290,28,1,False
289,28,0,False
289,28,1,False
288,28,0,False
288,29,1,False
287,29,0,False
287,29,1,False
287,29,0,False
287,29,1,False
286,29,0,False
286,29,1,False
285,29,0,False
285,29,1,False
285,29,0,False
285,29,1,False
284,29,0,False
284,29,1,False
284,29,0,False
284,29,1,False
284,29,0,False
284,27,1,False
283,27,0,False
283,28,1,False
282,28,0,False
282,29,1,False
281,29,0,False
281,27,1,False
280,27,0,False
280,27,1,False
279,27,0,False
279,27,1,False
279,27,0,False
279,27,1,False
279,27,0,False
279,25,1,True
278,25,0,True
278,26,1,True
277,26,0,True
277,24,1,True
276,24,0,True
276,23,1,True
276,23,0,True
276,23,1,True
275,23,0,True
275,24,1,True
275,24,0,True
275,24,1,True
275,24,0,True
275,22,1,True
275,22,0,True
275,20,1,True
274,20,0,True
274,19,1,True
274,19,0,True
274,19,1,True
273,19,0,True
273,17,1,True
273,17,0,True
273,18,1,True
273,18,0,True
273,17,1,True
272,17,0,True
272,15,1,True
272,15,0,True
272,15,1,True
271,15,0,True
271,14,1,True
271,14,0,True
271,14,1,True
271,14,0,True
271,12,1,True
270,12,0,True
270,11,1,True
270,11,0,True
270,12,1,True
269,12,0,True
269,12,1,True
269,12,0,True
269,10,1,True
268,10,0,True
268,10,1,True
268,10,0,True
268,10,1,True
267,10,0,True
267,10,1,True
267,10,0,True
267,8,1,True
266,8,0,True
266,6,1,True
265,6,0,True
265,8,1,True
264,8,0,True
264,6,1,True
264,6,0,True
264,4,1,True
264,4,0,True
264,4,1,True
263,4,0,True
263,3,1,True
262,3,0,True
262,2,1,True
261,2,0,True
261,1,1,True
261,1,0,True
261,1,1,True
260,1,0,True
260,0,1,True
259,0,0,True
259,0,1,True
258,0,0,True
258,0,1,True
257,0,0,True
257,1,1,True
256,1,0,True
256,1,1,True
255,1,0,True
255,1,1,True
254,1,0,True
254,0,1,True
253,0,0,True
253,0,1,True
252,0,0,True
252,0,1,True
251,0,0,True
251,0,1,True
250,0,0,True
250,1,1,True
249,1,0,True
249,0,1,True
248,0,0,True
248,1,1,True
247,1,0,True
247,0,1,True
246,0,0,True
246,0,1,True
245,0,0,True
245,0,1,True
244,0,0,True
244,1,1,True
243,1,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,0,1,True
240,0,0,True
240,0,1,True
239,0,0,True
239,0,1,True
238,0,0,True
238,1,1,True
237,1,0,True
237,0,1,True
236,0,0,
