d,pobs,turn,risk
298,29,0,1.0
298,29,1,0.9865494746905381
297,29,0,1.0
297,29,1,0.9967538707499054
297,29,0,1.0
297,29,1,0.9967538707499054
296,29,0,1.0
296,29,1,0.9967939695313806
296,29,0,1.0
296,28,1,0.9959662746997162
296,28,0,1.0
296,29,1,0.9967939695313806
296,29,0,1.0
296,29,1,0.9967939695313806
295,29,0,1.0000000000000002
295,29,1,0.9968337548338589
294,29,0,1.0
294,29,1,0.9968732269610416
293,29,0,1.0
293,29,1,0.996912386239422
293,29,0,1.0
293,29,1,0.996912386239422
293,29,0,1.0
293,29,1,0.996912386239422
292,29,0,1.0
292,29,1,0.9969512330181602
291,29,0,1.0
291,29,1,0.9969897676689543
290,29,0,1.0
290,29,1,0.997027990585909
289,29,0,1.0000000000000002
289,29,1,0.9970659021854055
288,29,0,1.0
288,28,1,0.9964308060876064
287,28,0,1.0
287,28,1,0.9905718150989348
286,28,0,1.0
286,29,1,0.9971777735742416
286,29,0,1.0
286,28,1,0.9965396896375692
286,28,0,1.0
286,27,1,0.9825673730339981
285,27,0,0.704046822742475
285,29,1,0.965588128426238
284,29,0,0.7050501672240802
284,28,1,0.9821761270205663
284,28,0,0.7050501672240802
284,27,1,0.9821761270205663
283,27,0,0.7060535117056856
283,25,1,3.2092045854628285e-199
282,25,0,3.2500093553318066e-199
282,24,1,1.089903450017135e-200
281,24,0,1.076871087677527e-200
281,25,1,3.5592703272823085e-200
280,25,0,8.819446295014409e-200
280,26,1,1.195631721328407e-199
279,26,0,2.977016913070101e-199
279,23,1,3.563586579943192e-201
278,23,0,9.569406309468755e-201
278,25,1,1.2935978549282164e-200
277,25,0,3.255514129512417e-200
277,23,1,2.5682874475913874e-200
277,23,0,1.3118273378012384e-200
277,23,1,1.315040101267384e-200
277,23,0,3.243673549596496e-200
277,24,1,2.7512786602034484e-200
276,24,0,1.111250364842314e-199
276,22,1,1.390455370399517e-201
275,22,0,1.3742688965760583e-201
275,22,1,1.375842548354699e-201
274,22,0,1.1806707801730137e-200
274,21,1,1.2793710655339541e-202
274,21,0,1.0141070142115532e-202
274,19,1,8.473415219071005e-207
274,19,0,2.5189493345468027e-207
274,17,1,4.174217002136285e-211
273,17,0,1.0773497583857558e-210
273,18,1,3.0253979169461024e-211
272,18,0,3.7529042572579946e-210
272,15,1,1.8984710370058085e-214
272,15,0,1.415308823756375e-214
272,15,1,1.105185375708068e-214
271,15,0,4.957813449271046e-214
271,14,1,3.768128473500559e-216
270,14,0,3.75130137561982e-216
270,13,1,6.762627717569357e-218
270,13,0,1.9155453644842276e-218
270,13,1,1.8981695884292428e-218
270,13,0,4.903442570336506e-218
270,11,1,1.3202870651338432e-222
269,11,0,1.3626959777025512e-222
269,11,1,1.347402175194744e-222
269,11,0,3.5056961063059594e-222
269,10,1,1.7049974214157777e-224
269,10,0,1.3691736826452554e-224
269,9,1,5.99671356048801e-227
269,9,0,4.815723712366991e-227
269,8,1,1.8803390267955436e-229
269,8,0,1.5100718884384173e-229
269,7,1,5.191295385566639e-232
268,7,0,1.4877535962611508e-231
268,7,1,1.987743839001256e-231
267,7,0,5.327952208604266e-231
267,6,1,1.582233921330776e-233
266,6,0,4.59483940010642e-233
266,6,1,6.120230578175553e-233
265,6,0,1.6589165434639824e-232
265,5,1,4.168288353784882e-235
265,5,0,3.3822942508772944e-235
265,4,1,7.013305635723309e-238
265,4,0,5.6910086363019484e-238
265,2,1,9.95837572441102e-244
265,2,0,2.8610778249172356e-244
265,0,1,2.1110316479019564e-250
264,0,0,5.782511993580089e-250
264,1,1,1.4559136335630752e-250
263,1,0,2.892689785990567e-249
263,0,1,3.480717945577429e-250
262,0,0,9.852734371837523e-249
262,0,1,8.81499314022976e-250
261,0,0,2.9763191116570964e-248
261,0,1,1.5412731083609337e-249
260,0,0,6.807877878385145e-248
260,1,1,4.2793376414553907e-250
259,1,0,1.6340272124706598e-247
259,1,1,1.268262797613852e-250
258,1,0,3.537197639032082e-247
258,0,1,1.0912589845867998e-250
257,0,0,3.6923694136785874e-247
257,0,1,8.525554146859101e-251
256,0,0,3.5417113397049905e-247
256,0,1,6.488571884595405e-251
255,0,0,3.334376659178689e-247
255,0,1,4.9584717195841294e-251
254,0,0,3.164575771492807e-247
254,0,1,3.813874242655595e-251
253,0,0,3.02709137024888e-247
253,1,1,8.605824349402488e-252
252,1,0,5.6912597039973643e-247
252,0,1,6.610559574591183e-252
251,0,0,5.303054499885793e-247
251,0,1,5.114040897609096e-252
250,0,0,5.013841909266805e-247
250,0,1,3.9830724432230496e-252
249,0,0,4.792996933669679e-247
249,0,1,3.1219123250993913e-252
248,0,0,4.620071209168093e-247
248,0,1,2.461373329554095e-252
247,0,0,4.4813979902928546e-247
247,0,1,1.9511377366531278e-252
246,0,0,4.3678170536052896e-247
246,1,1,3.9677870675502825e-253
245,1,0,8.527603605742422e-247
245,0,1,3.1330760851749205e-253
244,0,0,8.092496502047436e-247
244,0,1,2.487399380566174e-253
243,0,0,7.775383514577978e-247
243,0,1,1.984605934527467e-253
242,0,0,7.540690798831992e-247
242,0,1,1.59061085042414e-253
241,0,0,7.364630509773763e-247
241,1,1,3.1055293677578055e-254
240,1,0,1.4901709326839465e-246
240,0,1,2.4786677877132984e-254
239,0,0,1.418852104564319e-246
239,0,1,1.987545197700586e-254
238,0,0,1.3693446210197478e-246
238,0,1,1.6004655007958153e-254
237,0,0,1.335093706003322e-246
237,1,1,3.067736795576081e-255
236,1,0,2.786435481289536e-246
236,0,1,2.4843169544660595e-255
235,0,0,2.652947685303704e-246
235,1,1,4.834396025504871e-256
234,1,0,5.70891726881435e-246
234,1,1,9.736280486739143e-257
233,1,0,1.2878341498315114e-245
233,0,1,7.707078616704002e-257
232,0,0,1.1472146117962484e-245
232,1,1,1.5714965346255283e-257
231,1,0,2.646145950736116e-245
231,0,1,1.2401898207345364e-257
230,0,0,2.3356036526643006e-245
230,0,1,9.845925141894044e-258
229,0,0,2.147830708186036e-245
229,1,1,1.985571098278926e-258
228,1,0,4.9913717332147575e-245
228,1,1,4.14163194938718e-259
227,1,0,1.1799757222757365e-244
227,0,1,3.251320402398088e-259
226,0,0,1.032369563168699e-244
226,0,1,2.5687550245363784e-259
225,0,0,9.353687500648006e-245
225,0,1,2.0417676263282167e-259
224,0,0,8.732542334570175e-245
224,0,1,1.632086260456097e-259
223,0,0,8.353757913717288e-245
223,0,1,1.3114682377562405e-259
222,0,0,8.225847756554724e-245
222,1,1,2.5252527448439233e-260
221,1,0,1.9031980709079854e-244
221,1,1,5.037665936758289e-261
220,1,0,4.649709928923675e-244
220,0,1,3.998647685349623e-261
219,0,0,4.2513542083600194e-244
219,1,1,8.059674558947524e-262
218,1,0,1.0508487038836863e-243
218,1,1,1.6769343510044594e-262
217,1,0,2.7163199957216294e-243
217,0,1,1.318563274299935e-262
216,0,0,2.372466047319413e-243
216,0,1,1.0434879148451592e-262
215,0,0,2.1705988926329422e-243
215,0,1,8.308965352191286e-263
214,0,0,2.0497025715684588e-243
214,1,1,1.65419233958898e-263
213,1,0,5.241030083625082e-243
213,1,1,3.3997480611179284e-264
212,1,0,1.3730033843947868e-242
212,0,1,2.68214431474255e-264
211,0,0,1.2252136348319695e-242
211,0,1,2.129506955422757e-264
210,0,0,1.1437823657826536e-242
210,0,1,1.701034390966182e-264
209,0,0,1.1000606838163039e-242
209,0,1,1.3666030019830895e-264
208,0,0,1.08365367299069e-242
208,0,1,1.1038569351655253e-264
207,0,0,1.0874807882040487e-242
207,0,1,8.961136746687567e-265
206,0,0,1.1177190672241257e-242
206,0,1,7.308522272296321e-265
205,0,0,1.1383164208509042e-242
205,0,1,5.9861832395832e-265
204,0,0,1.1800940279865474e-242
204,0,1,4.9222882796808777e-265
203,0,0,1.243025157457484e-242
203,0,1,4.061913799045833e-265
202,0,0,1.289869162917979e-242
202,1,1,6.991206348240013e-266
201,1,0,3.4133194957805063e-242
201,0,1,5.744675223560488e-266
200,0,0,3.4588838058895954e-242
200,0,1,4.738365185247378e-266
199,0,0,3.5837233830604037e-242
199,0,1,3.921892448038882e-266
198,0,0,3.7847117514985215e-242
198,0,1,3.256345832856054e-266
197,0,0,3.946576078686503e-242
197,0,1,2.7114825778076324e-266
