start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,0,0,0,0,0
True,True,9,8,0,0,0,0,0
True,False,9,8,0,1,0,0,0
True,True,9,8,0,1,0,0,0
True,False,9,8,0,1,0,0,0
True,True,9,7,0,1,0,0,0
True,False,9,7,1,1,0,0,0
True,True,9,7,1,1,0,0,0
True,False,9,7,2,1,0,0,0
True,True,9,6,2,1,0,0,24358967/16881736466
True,False,9,6,3,1,0,0,22845803/6625167742
True,True,9,7,3,1,0,0,786217/1246802900
True,False,9,7,3,1,0,0,1345485/4267409368
True,True,8,7,3,1,0,0,3543793/2734858194
True,False,8,7,4,1,0,0,16370869/1199515512
True,True,8,8,4,1,0,0,10666949/2238428568
True,False,8,8,4,1,0,0,2414952/2047031647
True,True,9,8,4,1,0,0,3619001/8961894200
True,False,9,8,3,1,0,0,0
True,True,8,8,3,1,0,0,24358967/16881736466
True,False,8,8,2,1,0,0,0
True,True,7,8,2,1,0,0,24358967/16881736466
True,False,7,8,2,1,0,0,8161232/20110419009
True,True,7,7,2,1,0,0,3543793/2734858194
True,False,7,7,2,0,0,0,28253855/156648414906
True,True,6,7,2,0,0,0,6902423/9462529800
True,False,6,7,2,0,0,0,26587637/10012924280
True,True,6,8,2,0,0,0,10625379/19371770572
True,False,6,8,2,0,0,0,29175995/13505936888
True,True,5,8,2,0,0,0,18881319/10374351274
True,False,5,8,2,0,0,0,19679189/7806298724
True,True,5,7,2,0,0,0,14860589/2355746559
True,False,5,7,2,0,0,0,4948894/258218959
True,True,5,6,2,0,0,0,18005363/1214142692
True,False,5,6,2,1,0,0,2009989/32458590
True,True,4,6,2,1,0,0,26381629/190438526
True,False,4,6,1,1,0,0,28213777/453299340
True,True,4,5,1,1,0,0,10460103/111389810
True,False,4,5,1,2,0,0,19721619/173614474
True,True,3,5,1,2,0,0,293138747/1172603418
True,False,3,5,1,3,0,0,1124107/4065105
True,True,2,5,1,3,0,0,20173369/39001014
True,False,2,5,1,4,0,0,6643853/11979400
True,True,1,5,1,4,0,0,3687839/4036032
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
True,False,1,5,1,5,1,0,1
