start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,0,0,0,0,0
True,True,9,8,0,0,0,0,0
True,False,9,8,0,0,0,0,0
True,True,9,9,0,0,0,0,0
True,False,9,9,0,0,0,0,0
True,True,9,8,0,0,0,0,0
True,False,9,8,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,0,0,0,0,0
True,True,8,7,0,0,0,0,0
True,False,8,7,0,0,0,0,0
True,True,8,6,0,0,0,0,0
True,False,8,6,0,0,0,0,0
True,True,7,6,0,0,0,0,0
True,False,7,6,1,0,0,0,16143/25600000
True,True,7,5,1,0,0,0,10745681/4096000000
True,False,7,5,1,0,0,0,16337909/16384000000
True,True,6,5,1,0,0,0,13342103/2048000000
True,False,6,5,1,1,0,0,14859443/819200000
True,True,7,5,1,1,0,0,27625707/2048000000
True,False,7,5,1,1,0,0,79198201/16384000000
True,True,6,5,1,1,0,0,396248797/32768000000
True,False,6,5,1,0,0,0,24665373/4096000000
True,True,5,5,1,0,0,0,20254417/1638400000
True,False,5,5,1,0,0,0,1817417/102400000
True,True,4,5,1,0,0,0,1943773869/65536000000
True,False,4,5,2,0,0,0,94042339/1024000000
True,True,5,5,2,0,0,0,31673911/512000000
True,False,5,5,3,0,0,0,18776673/204800000
True,True,5,4,3,0,0,0,36919689/204800000
True,False,5,4,3,0,0,0,4672647227/52428800000
True,True,4,4,3,0,0,0,42590028131/262144000000
True,False,4,4,3,0,0,0,104413844489/786432000000
True,True,4,5,3,0,0,0,12530603309/131072000000
True,False,4,5,2,0,0,0,94042339/1024000000
True,True,3,5,2,0,0,0,9998073/51200000
True,False,3,5,2,0,0,0,206691099/1024000000
True,True,3,6,2,0,0,0,3615314601/65536000000
True,False,3,6,1,0,0,0,41036381/512000000
True,True,4,6,1,0,0,0,9642321/256000000
True,False,4,6,0,0,0,0,7504497/512000000
True,True,4,5,0,0,0,0,5600393/204800000
True,False,4,5,0,0,0,0,1508322837/131072000000
True,True,4,6,0,0,0,0,979631/64000000
True,False,4,6,0,0,0,0,50437083/9011200000
True,True,4,5,0,0,0,0,5600393/204800000
True,False,4,5,0,0,0,0,44293937487/3670016000000
True,True,5,5,0,0,0,0,7711109/1024000000
True,False,5,5,1,0,0,0,1817417/102400000
True,True,5,6,1,0,0,0,3467549/256000000
True,False,5,6,1,0,0,0,157574409/32768000000
True,True,4,6,1,0,0,0,977411521/65536000000
True,False,4,6,1,0,0,0,4640359657/393216000000
True,True,5,6,1,0,0,0,170992037/32768000000
True,False,5,6,1,1,0,0,72609663/4096000000
True,True,4,6,1,1,0,0,127607319/2048000000
True,False,4,6,1,2,0,0,31490913/409600000
True,True,3,6,1,2,0,0,750092709/4096000000
True,False,3,6,1,2,0,0,94834981/1024000000
True,True,3,5,1,2,0,0,1336036799/8192000000
True,False,3,5,2,2,0,0,1565265067/4096000000
True,True,2,5,2,2,0,0,4428438237/8192000000
True,False,2,5,2,2,0,0,64573921153/262144000000
True,True,2,4,2,2,0,0,111842224809/262144000000
True,False,2,4,1,2,0,0,14158442873/32768000000
True,True,1,4,1,2,0,0,10361867137/16384000000
True,False,1,4,1,2,0,0,112046263329/262144000000
True,True,2,4,1,2,0,0,94913108969/262144000000
True,False,2,4,1,1,0,0,11417982999/65536000000
True,True,2,5,1,1,0,0,381435223/3276800000
True,False,2,5,1,1,0,0,9106491633/65536000000
True,True,1,5,1,1,0,0,5683981271/26214400000
True,False,1,5,1,1,0,0,2480658843/13107200000
True,True,1,4,1,1,0,0,86881477597/262144000000
True,False,1,4,1,1,0,0,36369030193/131072000000
True,True,0,4,1,1,0,0,87188200917/262144000000
True,False,0,4,1,1,0,0,19493246921/65536000000
True,True,0,4,1,1,0,0,87188200917/262144000000
True,False,0,4,1,1,0,0,19493246921/65536000000
True,True,0,3,1,1,0,0,28221341683/65536000000
True,False,0,3,1,1,0,0,100893153539/262144000000
True,True,0,4,1,1,0,0,87188200917/262144000000
True,False,0,4,1,2,0,0,19354850859/32768000000
True,True,0,3,1,2,0,0,10682412461/16384000000
True,False,0,3,1,2,0,0,147487706529/262144000000
True,True,0,3,1,2,0,0,76545247169/131072000000
True,False,0,3,1,1,0,0,24108794171/65536000000
True,True,0,3,1,1,0,0,3087258923/8192000000
True,False,0,3,1,1,0,0,100893153539/262144000000
True,True,0,3,1,1,0,0,28221341683/65536000000
True,False,0,3,1,2,0,0,44109372287/65536000000
True,True,1,3,1,2,0,0,3738038563/4096000000
True,False,1,3,1,2,0,0,80644369111/131072000000
True,True,2,3,1,2,0,0,6636585557/13107200000
True,False,2,3,1,1,0,0,10541855143/32768000000
True,True,3,3,1,1,0,0,9352803723/32768000000
True,False,3,3,2,1,0,0,10400793143/32768000000
True,True,3,4,2,1,0,0,2556372319/13107200000
True,False,3,4,2,1,0,0,3577060747/16384000000
True,True,2,4,2,1,0,0,79098437013/262144000000
True,False,2,4,2,1,0,0,64526274147/262144000000
True,True,1,4,2,1,0,0,67138626977/262144000000
True,False,1,4,2,2,0,0,14744783957/32768000000
True,True,0,4,2,2,0,0,12531702999/32768000000
True,False,0,4,2,2,0,0,38734116007/131072000000
True,True,1,4,2,2,0,0,9944229931/26214400000
True,False,1,4,2,2,0,0,45370527381/131072000000
True,True,2,4,2,2,0,0,111842224809/262144000000
True,False,2,4,2,3,0,0,21401427129/32768000000
True,True,3,4,2,3,0,0,2196449819/4096000000
True,False,3,4,3,3,0,0,2647359789/4096000000
True,True,3,5,3,3,0,0,2397432263/4096000000
True,False,3,5,3,3,0,0,25441945679/65536000000
True,True,2,5,3,3,0,0,46945237013/131072000000
True,False,2,5,3,3,0,0,10703014201/32768000000
True,True,1,5,3,3,0,0,6741007/25600000
True,False,1,5,3,3,0,0,32191097723/131072000000
True,True,1,4,3,3,0,0,12277516981/32768000000
True,False,1,4,2,3,0,0,2413613903/4096000000
True,True,1,3,2,3,0,0,29799883407/32768000000
True,False,1,3,2,3,0,0,159862099589/262144000000
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
True,True,2,3,2,3,1,0,1
