start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,1,0,0,0,0.0
True,True,9,8,1,0,0,0,0.0
True,False,9,8,2,0,0,0,0.0
True,True,9,7,2,0,0,0,0.0
True,False,9,7,2,0,0,0,0.0
True,True,8,7,2,0,0,0,0.0
True,False,8,7,2,0,0,0,0.0
True,True,7,7,2,0,0,0,0.00040582113433629274
True,False,7,7,2,0,0,0,0.0004748667124658823
True,True,7,6,2,0,0,0,0.0013751410879194736
True,False,7,6,2,0,0,0,0.0011043804697692394
True,True,7,7,2,0,0,0,0.00040582113433629274
True,False,7,7,2,0,0,0,0.00048322207294404507
True,True,8,7,2,0,0,0,0.0
True,False,8,7,2,0,0,0,0.0
True,True,8,6,2,0,0,0,0.0005665861535817385
True,False,8,6,2,1,0,0,0.0020054178312420845
True,True,8,5,2,1,0,0,0.013489115983247757
True,False,8,5,2,1,0,0,0.004833875223994255
True,True,9,5,2,1,0,0,0.0022520432248711586
True,False,9,5,2,1,0,0,0.0018232832662761211
True,True,9,5,2,1,0,0,0.0022520432248711586
True,False,9,5,2,1,0,0,0.0018232832662761211
True,True,9,6,2,1,0,0,0.00040582113433629274
True,False,9,6,2,1,0,0,0.00040582113433629274
True,True,9,6,2,1,0,0,0.00040582113433629274
True,False,9,6,2,1,0,0,0.00040582113433629274
True,True,9,5,2,1,0,0,0.0022520432248711586
True,False,9,5,2,0,0,0,0.0010589179582893848
True,True,9,5,2,0,0,0,0.0010589179582893848
True,False,9,5,2,0,0,0,0.0003098204033449292
True,True,9,6,2,0,0,0,0.0
True,False,9,6,2,0,0,0,0.0
True,True,9,6,2,0,0,0,0.0
True,False,9,6,2,0,0,0,0.0
True,True,9,6,2,0,0,0,0.0
True,False,9,6,1,0,0,0,0.0
True,True,9,6,1,0,0,0,0.0
True,False,9,6,1,0,0,0,0.0
True,True,8,6,1,0,0,0,0.0
True,False,8,6,2,0,0,0,0.0006305857095867395
True,True,7,6,2,0,0,0,0.0028107156977057457
