start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,0,0,0,0,0.0
True,True,9,8,0,0,0,0,0.0
True,False,9,8,0,1,0,0,0.0
True,True,9,8,0,1,0,0,0.0
True,False,9,8,0,1,0,0,0.0
True,True,9,7,0,1,0,0,0.0
True,False,9,7,1,1,0,0,0.0
True,True,9,7,1,1,0,0,0.0
True,False,9,7,2,1,0,0,0.0
True,True,9,6,2,1,0,0,1.2954958084175713e-06
True,False,9,6,3,1,0,0,3.8387658230502944e-07
True,True,9,7,3,1,0,0,1.1327288113913354e-07
True,False,9,7,3,1,0,0,5.674685511940178e-08
True,True,8,7,3,1,0,0,5.830820914053954e-08
True,False,8,7,4,1,0,0,3.124025542822999e-08
True,True,8,8,4,1,0,0,3.1267381497026986e-09
True,False,8,8,4,1,0,0,3.317946307660684e-09
True,True,9,8,4,1,0,0,2.839322408410994e-10
True,False,9,8,3,1,0,0,0.0
True,True,8,8,3,1,0,0,6.340902723133506e-12
True,False,8,8,2,1,0,0,0.0
True,True,7,8,2,1,0,0,1.5853158270668875e-13
True,False,7,8,2,1,0,0,2.9425539742386417e-12
True,True,7,7,2,1,0,0,2.348893760958531e-12
True,False,7,7,2,0,0,0,6.539009591391539e-14
True,True,6,7,2,0,0,0,7.320179866535681e-14
True,False,6,7,2,0,0,0,1.3435066051976572e-13
True,True,6,8,2,0,0,0,1.5535487933035782e-14
True,False,6,8,2,0,0,0,1.553548793303578e-14
True,True,5,8,2,0,0,0,1.2887281227404218e-14
True,False,5,8,2,0,0,0,7.715440903099522e-15
True,True,5,7,2,0,0,0,1.116702409049611e-14
True,False,5,7,2,0,0,0,1.0228316187296203e-14
True,True,5,6,2,0,0,0,6.562995070414537e-15
True,False,5,6,2,1,0,0,5.822259437644495e-15
True,True,4,6,2,1,0,0,3.2683360723082647e-15
True,False,4,6,1,1,0,0,1.6753333954746757e-16
True,True,4,5,1,1,0,0,7.233280452279304e-17
True,False,4,5,1,2,0,0,3.4184494571785975e-17
