start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,18643185/14223618716
True,False,7,7,0,0,-1,-1,10470977/1458190708
True,True,7,6,0,0,-1,-1,25177309/1354220104
True,False,7,6,0,0,-1,-1,6718355/122700986
True,True,7,5,0,0,-1,-1,29719869/210131320
True,False,7,5,0,0,-1,-1,2161585/10297546
True,True,7,4,0,0,-1,-1,12722891/32358309
True,False,7,4,0,0,-1,-1,7463887/16484130
True,True,6,4,0,0,-1,-1,29075957/55656951
True,False,6,4,0,0,-1,-1,27473511/56169172
True,True,6,3,0,0,-1,-1,2996929/5595040
True,False,6,3,0,0,-1,-1,6398119/12685882
True,True,6,2,0,0,-1,-1,15513856/26491465
True,False,6,2,0,0,-1,-1,20611399/37883736
True,True,7,2,0,0,-1,-1,16879777/36918778
True,False,7,2,0,0,-1,-1,32532333/55552804
True,True,6,2,0,0,-1,-1,5180297/8845905
True,False,6,2,0,0,-1,-1,7846733/15661806
True,True,7,2,0,0,-1,-1,3340349/7305945
True,False,7,2,0,0,-1,-1,26648203/53176140
True,True,8,2,0,0,-1,-1,8035623/14960465
True,False,8,2,0,0,-1,-1,11934455/17388837
True,True,7,2,0,0,-1,-1,16261637/25203156
True,False,7,2,0,0,-1,-1,8832092/14536231
True,True,6,2,0,0,-1,-1,114330135/193234322
True,False,6,2,0,0,-1,-1,12870311/23464555
True,True,6,3,0,0,-1,-1,10063220/18784597
True,False,6,3,0,0,-1,-1,11088559/21933361
True,True,6,4,0,0,-1,-1,12736607/24335892
True,False,6,4,0,0,-1,-1,12246421/24549768
True,True,6,3,0,0,-1,-1,2163297/4057189
True,False,6,3,0,0,-1,-1,11088559/21933361
True,True,6,2,0,0,-1,-1,2782187/4778433
True,False,6,2,0,0,-1,-1,10008169/18045478
True,True,5,2,0,0,-1,-1,12711407/22162092
True,False,5,2,0,0,-1,-1,9481379/17582856
True,True,5,1,0,0,-1,-1,7211223/11448781
