start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,7,6,0,0,-1,-1,128/78125
True,False,7,6,0,0,-1,-1,2824/390625
True,True,7,5,0,0,-1,-1,8324/390625
True,False,7,5,0,0,-1,-1,1503853/25000000
True,True,7,4,0,0,-1,-1,209884/1953125
True,False,7,4,0,0,-1,-1,896950221/5000000000
True,True,7,5,0,0,-1,-1,176793467/1250000000
True,False,7,5,0,0,-1,-1,10495635973/50000000000
True,True,6,5,0,0,-1,-1,17696570841/50000000000
True,False,6,5,0,0,-1,-1,19783651317/49936000000
True,True,7,5,0,0,-1,-1,2281392539/6242000000
True,False,7,5,0,0,-1,-1,119251140313/272164000000
True,True,7,4,0,0,-1,-1,344153604399/600520000000
True,False,7,4,0,0,-1,-1,679868490053/1259108000000
True,True,6,4,0,0,-1,-1,8405691/16000000
True,False,6,4,0,0,-1,-1,12183054853007/24328656000000
True,True,5,4,0,0,-1,-1,8165627/16000000
True,False,5,4,0,0,-1,-1,20285095324073/41802000000000
True,True,6,4,0,0,-1,-1,23601612074491/44925160000000
True,False,6,4,0,0,-1,-1,11999538307519/24375000500000
True,True,6,3,0,0,-1,-1,54433552156741/101608900000000
True,False,6,3,0,0,3,0,2962141/8000000
True,True,6,4,0,0,-1,-1,134289/500000
True,False,6,4,0,0,-1,-1,6543393/20000000
True,True,5,4,0,0,-1,-1,3801723/8000000
True,False,5,4,0,0,-1,-1,46409/100000
True,True,5,3,0,0,3,0,4412867/8000000
True,False,5,3,0,0,4,0,307297/500000
True,True,5,2,0,0,4,0,6562797/8000000
True,False,5,2,0,0,3,0,640947/1000000
True,True,6,2,0,0,3,0,548949/1000000
True,False,6,2,0,0,3,0,740741/1600000
True,True,5,2,0,0,3,0,1056323/1600000
True,False,5,2,0,0,4,0,720301/1000000
True,True,6,2,0,0,4,0,5403183/8000000
True,False,6,2,0,0,5,0,593463/800000
True,True,6,1,0,0,5,0,3614603/4000000
True,False,6,1,0,0,6,0,714389/800000
True,True,7,1,0,0,6,0,14924791/16000000
