start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,0
True,True,8,8,0,0,-1,-1,0
True,False,8,8,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,2048/1953125
True,False,8,7,0,0,-1,-1,8147/781250
True,True,8,7,0,0,-1,-1,207/15625
True,False,8,7,0,0,-1,-1,32176427/781250000
True,True,8,6,0,0,-1,-1,71126229/781250000
True,False,8,6,0,0,-1,-1,1481639983/7812500000
True,True,8,5,0,0,-1,-1,1139137603/3906250000
True,False,8,5,0,0,-1,-1,293102320741/624488000000
True,True,7,5,0,0,-1,-1,880394377/1600000000
True,False,7,5,0,0,-1,-1,333956970951/619105600000
True,True,7,4,0,0,-1,-1,1685968328683/2960936000000
True,False,7,4,0,0,-1,-1,117838544643/220972000000
True,True,8,4,0,0,-1,-1,28938553707/46255025000
True,False,8,4,0,0,-1,-1,1888859556047/3211588000000
True,True,7,4,0,0,-1,-1,574683191057/1001033250000
True,False,7,4,0,0,-1,-1,10100072350681/19838753000000
True,True,8,4,0,0,-1,-1,62642803867419/99293764000000
True,False,8,4,0,0,-1,-1,132851989319813/203696964000000
True,True,8,4,0,0,-1,-1,156941860570741/238094676000000
True,False,8,4,0,0,-1,-1,2350391369673389/3994926348800000
True,True,8,4,0,0,-1,-1,418447165744247/614569316000000
True,False,8,4,0,0,-1,-1,6342882411556187/10426070224000000
True,True,7,4,0,0,-1,-1,408995551653509/710034906000000
True,False,7,4,0,0,-1,-1,58530799759727171/108502602484000000
True,True,7,3,0,0,-1,-1,2237723240369189/3782229366500000
True,False,7,3,0,0,-1,-1,80755586542400963/147229891985000000
True,True,8,3,0,0,-1,-1,6172242529021879/11140650763000000
True,False,8,3,0,0,-1,-1,258609855622820453/402110073620000000
True,True,8,4,0,0,-1,-1,21875184703240699431/33356685358400000000
True,False,8,4,0,0,-1,-1,10442801/16000000
True,True,8,4,0,0,-1,-1,4625473513732193723/6671063422784000000
