start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.0
True,True,8,8,0,0,-1,-1,0.0
True,False,8,8,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.00104857562109828
True,False,8,7,0,0,-1,-1,0.010428156703710556
True,True,8,7,0,0,-1,-1,0.013248000293970108
True,False,8,7,0,0,-1,-1,0.04118584096431732
True,True,8,6,0,0,-1,-1,0.09104159474372864
True,False,8,6,0,0,-1,-1,0.18964987993240356
True,True,8,5,0,0,-1,-1,0.2916191816329956
True,False,8,5,0,0,-1,-1,0.46934831142425537
True,True,7,5,0,0,-1,-1,0.5502464771270752
True,False,7,5,0,0,-1,-1,0.5394184589385986
True,True,7,4,0,0,-1,-1,0.569403886795044
True,False,7,4,0,0,-1,-1,0.533273458480835
True,True,8,4,0,0,-1,-1,0.6256306171417236
True,False,8,4,0,0,-1,-1,0.5881388187408447
True,True,7,4,0,0,-1,-1,0.5740902423858643
True,False,7,4,0,0,-1,-1,0.509108304977417
True,True,8,4,0,0,-1,-1,0.6308834552764893
True,False,8,4,0,0,-1,-1,0.6522042751312256
True,True,8,4,0,0,-1,-1,0.6591575145721436
True,False,8,4,0,0,-1,-1,0.5883443355560303
True,True,8,4,0,0,-1,-1,0.6808788776397705
True,False,8,4,0,0,-1,-1,0.6083676815032959
True,True,7,4,0,0,-1,-1,0.5760219097137451
True,False,7,4,0,0,-1,-1,0.5394413471221924
True,True,7,3,0,0,-1,-1,0.5916411876678467
True,False,7,3,0,0,-1,-1,0.5484998226165771
True,True,8,3,0,0,-1,-1,0.5540287494659424
True,False,8,3,0,0,-1,-1,0.6431319713592529
True,True,8,4,0,0,-1,-1,0.6557962894439697
True,False,8,4,0,0,-1,-1,0.6526749134063721
True,True,8,4,0,0,-1,-1,0.6933639049530029
True,False,8,4,0,0,-1,-1,0.5870621204376221
True,True,8,5,0,0,-1,-1,0.6771719455718994
True,False,8,5,0,0,-1,-1,0.6471521854400635
True,True,7,5,0,0,-1,-1,0.5713083744049072
True,False,7,5,0,0,-1,-1,0.5394265651702881
True,True,7,4,0,0,-1,-1,0.5710799694061279
True,False,7,4,0,0,-1,-1,0.5389087200164795
True,True,7,5,0,0,-1,-1,0.5714976787567139
True,False,7,5,0,0,-1,-1,0.5383427143096924
True,True,7,4,0,0,-1,-1,0.5758335590362549
True,False,7,4,0,0,-1,-1,0.5390636920928955
True,True,6,4,0,0,-1,-1,0.5240881443023682
True,False,6,4,0,0,-1,-1,0.5008337497711182
True,True,6,5,0,0,-1,-1,0.5207126140594482
True,False,6,5,0,0,-1,-1,0.49881911277770996
True,True,7,5,0,0,-1,-1,0.5409371852874756
True,False,7,5,0,0,-1,-1,0.5391004085540771
True,True,6,5,0,0,-1,-1,0.5186984539031982
True,False,6,5,0,0,-1,-1,0.49881911277770996
True,True,7,5,0,0,-1,-1,0.5677244663238525
True,False,7,5,0,0,-1,-1,0.5359251499176025
True,True,8,5,0,0,-1,-1,0.6280038356781006
True,False,8,5,0,0,-1,-1,0.6297385692596436
True,True,8,4,0,0,-1,-1,0.6868679523468018
True,False,8,4,0,0,-1,-1,0.5815021991729736
True,True,8,4,0,0,-1,-1,0.6957924365997314
True,False,8,4,0,0,-1,-1,0.629126787185669
True,True,8,3,0,0,-1,-1,0.7101242542266846
True,False,8,3,0,0,-1,-1,0.6583750247955322
True,True,7,3,0,0,-1,-1,0.5867130756378174
True,False,7,3,0,0,-1,-1,0.5484998226165771
True,True,6,3,0,0,-1,-1,0.5357162952423096
True,False,6,3,0,0,-1,-1,0.5055568218231201
True,True,6,4,0,0,-1,-1,0.524207353591919
True,False,6,4,0,0,-1,-1,0.4988405704498291
True,True,7,4,0,0,-1,-1,0.572800874710083
True,False,7,4,0,0,-1,-1,0.5249302387237549
True,True,7,3,0,0,-1,-1,0.5867130756378174
True,False,7,3,0,0,-1,-1,0.5539543628692627
True,True,8,3,0,0,-1,-1,0.5991780757904053
True,False,8,3,0,0,-1,-1,0.5842430591583252
True,True,7,3,0,0,-1,-1,0.586597204208374
True,False,7,3,0,0,-1,-1,0.5394093990325928
True,True,7,2,0,0,-1,-1,0.6451528072357178
True,False,7,2,0,0,-1,-1,0.6071107387542725
True,True,7,3,0,0,-1,-1,0.5910847187042236
True,False,7,3,0,0,-1,-1,0.5546085834503174
True,True,7,2,0,0,-1,-1,0.6361525058746338
True,False,7,2,0,0,-1,-1,0.6075913906097412
True,True,8,2,0,0,-1,-1,0.6560304164886475
True,False,8,2,0,0,-1,-1,0.7096145153045654
True,True,8,2,0,0,-1,-1,0.7239534854888916
True,False,8,2,0,0,-1,-1,0.7094900608062744
True,True,8,2,0,0,-1,-1,0.7448537349700928
True,False,8,2,0,0,-1,-1,0.7027347087860107
True,True,7,2,0,0,-1,-1,0.6391785144805908
True,False,7,2,0,0,-1,-1,0.6075913906097412
True,True,6,2,0,0,-1,-1,0.5915768146514893
True,False,6,2,0,0,-1,-1,0.540236234664917
