start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,7,6,0,0,-1,-1,0.001443652424124927
True,False,7,6,0,0,-1,-1,0.006312828076214656
True,True,7,5,0,0,-1,-1,0.013155506963884879
True,False,7,5,0,0,-1,-1,0.03713649652765941
True,True,7,4,0,0,-1,-1,0.030712479516808645
True,False,7,4,0,0,-1,-1,0.05127007152250526
True,True,7,5,0,0,-1,-1,0.012788599300509022
True,False,7,5,0,0,-1,-1,0.018980407638974725
True,True,6,5,0,0,-1,-1,0.00862163138968065
True,False,6,5,0,0,-1,-1,0.009648240264062035
True,True,7,5,0,0,-1,-1,0.002268063455952496
True,False,7,5,0,0,-1,-1,0.0026749809710128877
True,True,7,4,0,0,-1,-1,0.0008883203639099845
True,False,7,4,0,0,-1,-1,0.0008309729499049751
True,True,6,4,0,0,-1,-1,0.00020350033545516027
True,False,6,4,0,0,-1,-1,0.00019396105383030413
True,True,5,4,0,0,-1,-1,4.956181906438427e-05
True,False,5,4,0,0,-1,-1,4.576385599113964e-05
True,True,6,4,0,0,-1,-1,1.2725190949028288e-05
True,False,6,4,0,0,-1,-1,1.1971438696873141e-05
True,True,6,3,0,0,-1,-1,3.2546404457593593e-06
True,False,6,3,0,0,3,0,1.7690797741541473e-06
True,True,6,4,0,0,-1,-1,3.208063022897785e-07
True,False,6,4,0,0,-1,-1,3.907918207669316e-07
True,True,5,4,0,0,-1,-1,1.4190677834969844e-07
True,False,5,4,0,0,-1,-1,1.3541486526925177e-07
True,True,5,3,0,0,3,0,4.1179736707041586e-08
True,False,5,3,0,0,4,0,3.670548952606525e-08
True,True,5,2,0,0,4,0,1.2248466156485583e-08
True,False,5,2,0,0,3,0,7.655874919630899e-09
True,True,6,2,0,0,3,0,1.6392482139306074e-09
True,False,6,2,0,0,3,0,1.3824808420672633e-09
True,True,5,2,0,0,3,0,4.928667078487268e-10
True,False,5,2,0,0,4,0,4.301864578090017e-10
True,True,6,2,0,0,4,0,1.00842224126584e-10
True,False,6,2,0,0,5,0,8.86087017340995e-11
True,True,6,1,0,0,5,0,2.6984435350509414e-11
True,False,6,1,0,0,6,0,2.1332781260539053e-11
True,True,7,1,0,0,6,0,5.570972218306246e-12
True,False,7,1,0,0,5,0,3.767478243038543e-12
True,True,8,1,0,0,5,0,9.503760785462279e-13
True,False,8,1,0,0,5,1,8.35888021325689e-13
True,True,7,1,0,0,5,1,2.2308511608868345e-13
True,False,7,1,0,0,5,0,1.5069912972188384e-13
True,True,7,1,0,0,5,0,4.049880956905181e-14
True,False,7,1,0,0,6,0,3.463002509326724e-14
True,True,8,1,0,0,6,0,8.720913746099341e-15
True,False,8,1,0,0,6,0,8.355054497479576e-15
True,True,8,1,0,0,6,0,4.360456873049676e-15
True,False,8,1,0,0,6,1,3.677424262119057e-15
True,True,8,2,0,0,6,1,8.825134220182205e-16
True,False,8,2,0,0,6,0,6.099625907024446e-16
True,True,8,1,0,0,6,0,1.761282580094582e-16
True,False,8,1,0,0,6,0,1.6710108994959186e-16
True,True,8,2,0,0,6,0,3.909521099181879e-17
True,False,8,2,0,0,6,1,3.4048053604044585e-17
True,True,7,2,0,0,6,1,8.849989534987421e-18
True,False,7,2,0,0,7,1,7.003300586875949e-18
True,True,6,2,0,0,7,1,1.6748664338171204e-18
True,False,6,2,0,0,7,2,1.3706972124845041e-18
True,True,6,3,0,0,7,2,3.2159779987600395e-19
True,False,6,3,0,0,8,2,2.186342743473935e-19
True,True,6,4,0,0,8,2,4.8745998082495345e-20
True,False,6,4,0,0,8,2,4.999595586617717e-20
True,True,6,5,0,0,8,2,1.0718665818975852e-20
True,False,6,5,0,0,7,2,9.515958731527743e-21
True,True,7,5,0,0,7,2,2.9283094349058e-21
True,False,7,5,0,0,-1,-1,1.6494718404419468e-21
True,True,8,5,0,0,-1,-1,4.863772867442488e-22
True,False,8,5,0,0,7,2,4.5016007285282685e-22
True,True,8,4,0,0,7,2,1.3771758366304376e-22
True,False,8,4,0,0,6,2,9.474895099211253e-23
True,True,8,3,0,0,6,2,2.7711824218275217e-23
True,False,8,3,0,0,7,2,2.3365742407785748e-23
True,True,8,2,0,0,7,2,6.132878565225094e-24
True,False,8,2,0,0,7,1,4.650783733491385e-24
True,True,7,2,0,0,7,1,1.1941804690753218e-24
True,False,7,2,0,0,7,0,8.40814536383191e-25
True,True,7,3,0,0,7,0,1.8805159645632544e-25
True,False,7,3,0,0,6,0,1.3243455664182195e-25
True,True,7,2,0,0,6,0,4.2666652488303956e-26
True,False,7,2,0,0,6,1,3.6369368872546787e-26
True,True,8,2,0,0,6,1,8.949200184753308e-27
True,False,8,2,0,0,6,1,1.74326034452708e-27
True,True,7,2,0,0,6,1,4.487202460924095e-28
True,False,7,2,0,0,6,1,9.004067050970331e-29
True,True,6,2,0,0,6,1,2.3987256376907954e-29
True,False,6,2,0,0,6,0,1.6331070730574958e-29
True,True,6,1,0,0,6,0,4.759426280945691e-30
True,False,6,1,0,0,5,0,3.4051414816737645e-30
True,True,6,1,0,0,5,0,8.928948597116887e-31
