start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0.0
True,True,7,7,0,0,-1,-1,0.0
True,False,7,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.0
True,True,8,7,0,0,-1,-1,0.0
True,False,8,7,0,0,-1,-1,0.0025264768659858695
True,True,8,6,0,0,-1,-1,0.0021844709534619288
True,False,8,6,0,0,-1,-1,0.01049287200594623
True,True,7,6,0,0,-1,-1,0.0075187265142383705
True,False,7,6,0,0,-1,-1,0.013103092567546519
True,True,7,5,0,0,-1,-1,0.006115349198387601
True,False,7,5,0,0,-1,-1,0.009169613930242761
True,True,7,6,0,0,-1,-1,0.0014219962613116074
True,False,7,6,0,0,-1,-1,0.0020345000404573136
True,True,8,6,0,0,-1,-1,0.0005235299092311829
True,False,8,6,0,0,-1,-1,0.0006163631234202779
True,True,8,7,0,0,-1,-1,0.00013114498219256776
True,False,8,7,0,0,-1,-1,0.0001990641463465399
True,True,8,7,0,0,-1,-1,4.651922433786096e-05
True,False,8,7,0,0,-1,-1,5.1746616443265366e-05
True,True,7,7,0,0,-1,-1,1.5260274775610966e-05
True,False,7,7,0,0,-1,-1,1.4627500444080628e-05
True,True,6,7,0,0,-1,-1,3.409752664613366e-06
True,False,6,7,0,0,-1,-1,3.1567562966174348e-06
True,True,6,6,0,0,-1,-1,7.84705559943199e-07
True,False,6,6,0,0,-1,-1,7.471146453974976e-07
True,True,7,6,0,0,-1,-1,2.1660495006178084e-07
True,False,7,6,0,0,-1,-1,2.003149451579391e-07
True,True,7,7,0,0,-1,-1,5.2514824022910495e-08
True,False,7,7,0,0,-1,-1,5.5596225314216936e-08
True,True,6,7,0,0,-1,-1,1.3895445317203938e-08
True,False,6,7,0,0,-1,-1,1.2484293214051857e-08
True,True,6,6,0,0,-1,-1,3.1177336717977966e-09
True,False,6,6,0,0,-1,-1,2.92647063154745e-09
True,True,6,5,0,0,3,2,0.3441529304276809
True,False,6,5,0,0,-1,-1,0.20077681249999993
True,True,7,5,0,0,-1,-1,0.13645966314924385
True,False,7,5,0,0,-1,-1,0.20139142928239107
True,True,7,4,0,0,-1,-1,0.3195335428495691
True,False,7,4,0,0,-1,-1,0.32493287409438965
True,True,8,4,0,0,-1,-1,0.21918697492620418
True,False,8,4,0,0,-1,-1,0.2647666113596324
True,True,7,4,0,0,-1,-1,0.11052147505021694
True,False,7,4,0,0,-1,-1,0.1123474245106932
True,True,8,4,0,0,-1,-1,0.031394452508351364
True,False,8,4,0,0,-1,-1,0.04298677451732605
True,True,8,5,0,0,-1,-1,0.01115506882500146
True,False,8,5,0,0,-1,-1,0.012211326140377985
True,True,8,4,0,0,-1,-1,0.003450577892152944
True,False,8,4,0,0,-1,-1,0.002841190316505827
True,True,8,5,0,0,-1,-1,0.0008520278835918976
True,False,8,5,0,0,-1,-1,0.000708248855405852
True,True,8,5,0,0,-1,-1,0.00021155450944878982
True,False,8,5,0,0,-1,-1,0.00019266333197463038
True,True,8,5,0,0,-1,-1,5.269079674403513e-05
True,False,8,5,0,0,-1,-1,4.813388764499812e-05
True,True,7,5,0,0,4,3,0.5661019516182729
True,False,7,5,0,0,4,4,0.6689605937499998
True,True,7,6,0,0,4,4,0.5730254685641634
True,False,7,6,0,0,4,4,0.41705443957537736
True,True,8,6,0,0,-1,-1,0.2549694439951653
True,False,8,6,0,0,-1,-1,0.25268215395592364
True,True,7,6,0,0,-1,-1,0.3807654372955259
True,False,7,6,0,0,-1,-1,0.3874374901232457
True,True,7,7,0,0,-1,-1,0.3410929013274419
True,False,7,7,0,0,-1,-1,0.38744118573404956
True,True,6,7,0,0,-1,-1,0.31360054478212535
True,False,6,7,0,0,-1,-1,0.4054358000366541
True,True,6,6,0,0,4,3,0.5369022890473554
True,False,6,6,0,0,4,4,0.6649584999999998
True,True,7,6,0,0,4,4,0.5730254685641634
True,False,7,6,0,0,-1,-1,0.38470367187499993
True,True,6,6,0,0,3,4,0.5369022890473554
True,False,6,6,0,0,3,3,0.36999706249999986
True,True,5,6,0,0,3,3,0.529793527500906
True,False,5,6,0,0,2,3,0.36622106249999986
True,True,5,5,0,0,2,3,0.5228700105550153
True,False,5,5,0,0,-1,-1,0.3500176718749998
True,True,5,4,0,0,-1,-1,0.48831103837495815
True,False,5,4,0,0,-1,-1,0.39976614542060146
True,True,5,5,0,0,-1,-1,0.39871557085100795
True,False,5,5,0,0,2,3,0.4349435624999998
True,True,5,6,0,0,2,3,0.3438345412704702
True,False,5,6,0,0,2,3,0.2975357508848392
True,True,6,6,0,0,-1,-1,0.13484846280316332
True,False,6,6,0,0,-1,-1,0.11776663887796819
True,True,6,5,0,0,-1,-1,0.09763639084867298
True,False,6,5,0,0,-1,-1,0.08636826725615501
True,True,5,5,0,0,2,3,0.5228700105550153
True,False,5,5,0,0,2,4,0.6060147812499997
True,True,4,5,0,0,2,4,0.7741891048768046
True,False,4,5,0,0,2,5,0.8008457656249998
True,True,5,5,0,0,2,5,0.696152284250326
True,False,5,5,0,0,3,5,0.8045817656249998
True,True,5,4,0,0,3,5,0.7759144364234167
