start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,1,1,1,0,True
True,77,1,0,1,0,True
True,76,0,0,1,0,True
True,80,0,0,1,1,True
True,78,0,1,1,0,True
True,78,2,1,1,0,True
True,75,2,0,1,0,True
True,75,4,0,1,0,True
True,74,4,1,1,0,True
True,73,4,2,1,0,True
True,72,5,2,1,0,True
True,70,6,2,1,0,True
True,69,7,2,1,0,True
True,68,9,2,1,0,True
True,67,9,1,1,0,True
True,67,9,0,1,0,True
True,64,9,1,1,0,True
True,63,9,0,1,0,True
True,62,8,0,1,0,True
True,61,7,0,1,0,True
True,60,6,0,1,0,True
True,59,5,0,1,0,True
True,58,4,0,1,0,True
True,57,3,0,1,0,True
True,56,3,1,1,0,True
True,54,3,2,1,0,True
True,53,3,4,1,0,True
True,53,1,4,1,0,True
True,50,1,3,1,0,True
True,50,1,2,1,0,True
True,48,0,2,1,0,True
True,49,2,2,1,0,True
True,46,1,2,1,0,True
True,45,1,3,1,0,True
True,44,1,1,1,0,True
True,45,1,0,1,0,True
True,45,0,0,1,0,True
True,80,0,0,1,1,True
True,78,2,0,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,79,0,2,1,0,True
True,77,0,3,1,0,True
True,75,1,3,1,0,True
True,76,1,4,1,0,True
True,74,1,5,1,0,True
True,72,3,5,1,0,True
True,72,4,5,1,0,True
True,72,4,6,1,0,True
True,70,4,5,1,0,True
True,69,4,7,1,0,True
True,68,4,5,1,0,True
True,67,4,6,1,0,True
True,65,4,5,1,0,True
True,65,3,5,1,0,True
True,63,3,6,1,0,True
True,62,3,8,1,0,True
True,60,4,8,1,0,True
True,59,4,6,1,0,True
True,59,5,6,1,0,True
True,58,5,5,1,0,True
True,56,4,5,1,0,True
True,56,6,5,1,0,True
True,54,5,5,1,0,True
True,54,5,3,1,0,True
True,52,5,2,1,0,True
True,52,5,0,1,0,True
True,50,6,0,1,0,True
True,49,6,1,1,0,True
True,47,6,3,1,0,True
True,46,5,3,1,0,True
True,47,6,3,1,0,True
True,44,5,3,1,0,True
True,45,5,4,1,0,True
True,42,4,4,1,0,True
True,40,4,3,1,0,True
True,40,4,1,1,0,True
True,39,4,2,1,0,True
True,37,5,2,1,0,True
True,36,6,2,1,0,True
True,35,6,1,1,0,True
True,33,6,0,1,0,True
True,33,5,0,1,0,True
True,32,5,2,1,0,True
True,29,7,2,1,0,True
True,28,6,2,1,0,True
True,26,6,1,1,0,False
True,26,6,0,1,0,False
True,24,6,1,1,0,False
True,24,7,1,1,0,False
True,22,6,1,1,0,False
True,22,7,1,1,0,False
True,20,8,1,1,0,False
True,18,8,2,1,0,False
True,19,9,2,1,0,False
True,17,9,4,1,0,False
True,15,9,5,1,0,False
True,14,9,4,1,0,False
True,14,8,4,1,0,False
True,12,8,5,1,0,False
True,11,7,5,1,0,False
True,11,7,6,1,0,False
True,9,7,7,1,0,False
True,9,6,7,1,0,False
True,7,8,7,1,0,False
True,7,8,5,1,0,False
True,6,10,5,1,0,False
True,3,10,7,1,0,False
True,4,10,9,1,0,False
True,4,10,7,1,0,False
True,0,10,6,1,0,False
True,127,12,6,1,0,True
True,125,13,6,1,0,True
True,123,13,5,1,0,True
True,124,14,5,1,0,True
True,122,14,6,1,0,True
True,121,12,6,1,0,True
True,121,12,8,1,0,True
True,119,10,8,1,0,True
True,118,9,8,1,0,True
True,116,8,8,1,0,True
True,115,7,8,1,0,True
True,114,7,9,1,0,True
True,114,8,9,1,0,True
True,111,9,9,1,0,True
True,110,8,9,1,0,True
True,110,9,9,1,0,True
True,110,11,9,1,0,True
True,109,11,11,1,0,True
True,108,9,11,1,0,True
True,107,9,9,1,0,True
True,105,9,8,1,0,True
True,104,9,7,1,0,True
True,103,9,8,1,0,True
True,102,9,10,1,0,True
True,101,11,10,1,0,True
True,100,10,10,1,0,True
True,99,8,10,1,0,True
True,98,8,11,1,0,True
True,96,6,11,1,0,True
True,94,5,11,1,0,True
True,94,6,11,1,0,True
True,94,6,9,1,0,True
True,92,5,9,1,0,True
True,92,5,8,1,0,True
True,90,7,8,1,0,True
True,89,7,6,1,0,True
True,87,7,8,1,0,True
True,87,5,8,1,0,True
True,86,5,7,1,0,True
True,84,6,7,1,0,True
True,85,6,8,1,0,True
True,83,5,8,1,0,True
True,81,5,6,1,0,True
True,80,5,5,1,1,True
True,78,6,5,1,0,True
True,76,5,5,1,0,True
True,77,7,5,1,0,True
True,74,7,6,1,0,True
True,74,6,6,1,0,True
True,74,8,6,1,0,True
True,72,8,7,1,0,True
True,71,10,7,1,0,True
True,71,10,5,1,0,True
True,69,10,6,1,0,True
True,65,10,5,1,0,True
True,65,8,5,1,0,True
True,63,8,4,1,0,True
True,63,8,6,1,0,True
True,62,9,6,1,0,True
True,60,9,7,1,0,True
True,58,9,8,1,0,True
True,58,11,8,1,0,True
True,58,11,9,1,0,True
True,57,11,7,1,0,True
True,55,9,7,1,0,True
True,54,9,8,1,0,True
True,53,9,7,1,0,True
True,52,9,9,1,0,True
True,51,9,10,1,0,True
True,49,8,10,1,0,True
True,49,9,10,1,0,True
True,48,8,10,1,0,True
True,45,8,12,1,0,True
True,45,7,12,1,0,True
True,44,8,12,1,0,True
True,43,7,12,1,0,True
True,42,7,10,1,0,True
True,40,7,8,1,0,True
True,39,7,10,1,0,True
True,40,5,10,1,0,True
True,38,5,12,1,0,True
True,36,4,12,1,0,True
True,37,2,12,1,0,True
True,33,4,12,1,0,True
True,34,4,11,1,0,True
True,32,3,11,1,0,True
True,31,3,10,1,0,True
True,30,3,11,1,0,True
True,29,5,11,1,0,True
True,29,5,10,1,0,True
True,28,4,10,1,0,True
True,26,4,9,1,0,False
True,26,4,10,1,0,False
True,24,3,10,1,0,False
True,23,1,10,1,0,False
True,22,0,10,1,0,False
True,21,0,8,1,0,False
True,19,0,10,1,0,False
True,18,2,10,1,0,False
True,17,3,10,1,0,False
True,16,4,10,1,0,False
True,14,5,10,1,0,False
True,14,4,10,1,0,False
True,12,6,10,1,0,False
True,12,5,10,1,0,False
True,10,3,10,1,0,False
True,10,2,10,1,0,False
True,8,0,10,1,0,False
True,8,2,10,1,0,False
True,8,3,10,1,0,False
True,5,2,10,1,0,False
True,5,3,10,1,0,False
True,4,3,12,1,0,False
True,2,2,12,1,0,False
True,1,3,12,1,0,False
True,1,5,12,1,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
True,0,4,12,0,0,False
