start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,78,0,2,1,0,0
True,77,1,2,1,0,0
True,76,0,2,1,0,0
True,77,0,3,1,0,0
True,74,0,2,1,0,0
True,74,1,2,1,0,0
True,72,1,1,1,0,0
True,70,0,1,1,0,0
True,69,0,2,1,0,0
True,70,1,2,1,0,0
True,66,1,1,1,0,0
True,66,1,0,1,0,0
True,65,2,0,1,0,0
True,66,0,0,1,0,0
True,80,0,0,1,1,0
True,79,1,0,1,0,0
True,78,0,0,1,0,0
True,80,0,0,1,1,0
True,78,1,0,1,0,0
True,76,1,1,1,0,0
True,75,0,1,1,0,0
True,75,1,1,1,0,0
True,73,2,1,1,0,0
True,71,2,0,1,0,0
True,70,3,0,1,0,0
True,70,2,0,1,0,0
True,68,4,0,1,0,0
True,69,4,1,1,0,0
True,67,5,1,1,0,0
True,64,5,0,1,0,0
True,63,5,1,1,0,0
True,63,4,1,1,0,0
True,62,5,1,1,0,0
True,61,5,0,1,0,0
True,60,5,1,1,0,0
True,58,4,1,1,0,0
True,57,3,1,1,0,0
True,55,3,2,1,0,0
True,55,3,0,1,0,0
True,54,2,0,1,0,0
True,52,2,1,1,0,0
True,51,2,2,1,0,0
True,50,2,3,1,0,0
True,50,2,4,1,0,0
True,48,3,4,1,0,0
True,47,3,6,1,0,0
True,47,3,8,1,0,0
True,45,3,9,1,0,0
True,44,3,10,1,0,0
True,43,2,10,1,0,0
True,42,4,10,1,0,41152262276337881474/5080526071381077673192289328209152610145
True,41,4,9,1,0,701459128970907441/492044909616581461973466841539421277
True,39,3,9,1,0,317275301576991/50331808495378726144399316200
True,39,3,7,1,0,317942881665969/50543838001027057734082579960
True,38,3,9,1,0,1059713589337/4491971565700953449355072
True,37,4,9,1,0,100656676687/15197649842503554378180
True,36,4,10,1,0,13653803839/93213179636939005896
True,34,4,9,1,0,27185650/739059565922419
True,34,3,9,1,0,26988270/728366717592851
True,33,4,9,1,0,1733374/4006113898501
True,32,5,9,1,0,3758865/883066630514
True,30,7,9,1,0,38177393/168109958048
True,28,6,9,1,0,2877207/496242664
True,27,6,10,1,0,2511809/119824110
