start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,0,1,1,0,0
True,76,0,2,1,0,0
True,76,1,2,1,0,0
True,74,2,2,1,0,0
True,73,2,3,1,0,0
True,73,2,2,1,0,0
True,70,2,3,1,0,0
True,70,2,2,1,0,0
True,69,2,0,1,0,0
True,69,3,0,1,0,0
True,66,3,1,1,0,0
True,66,3,0,1,0,0
True,65,3,1,1,0,0
True,64,4,1,1,0,0
True,63,4,0,1,0,0
True,63,3,0,1,0,0
True,62,5,0,1,0,0
True,60,6,0,1,0,0
True,58,8,0,1,0,0
True,58,6,0,1,0,0
True,56,5,0,1,0,0
True,56,5,2,1,0,0
True,54,7,2,1,0,0
True,52,8,2,1,0,0
True,51,8,4,1,0,0
True,50,6,4,1,0,0
True,50,5,4,1,0,0
True,48,4,4,1,0,0
True,47,3,4,1,0,0
True,46,5,4,1,0,0
True,46,5,3,1,0,0
True,45,5,1,1,0,0
True,44,4,1,1,0,0
True,43,4,0,1,0,0
True,41,2,0,1,0,2853/2000000000000000000000
True,40,0,0,1,0,0
True,80,0,0,1,1,0
True,79,0,1,1,0,0
True,76,0,0,1,0,0
True,80,0,0,1,1,0
True,78,0,1,1,0,0
True,76,0,3,1,0,0
True,76,0,5,1,0,0
True,75,0,6,1,0,0
True,74,1,6,1,0,0
True,74,0,6,1,0,0
True,70,0,7,1,0,0
True,70,0,6,1,0,0
True,69,2,6,1,0,0
True,70,3,6,1,0,0
True,67,3,5,1,0,0
True,65,3,3,1,0,0
True,67,3,4,1,0,0
True,65,4,4,1,0,0
True,63,3,4,1,0,0
True,63,5,4,1,0,0
True,61,7,4,1,0,0
True,62,5,4,1,0,0
True,60,5,3,1,0,0
True,59,5,4,1,0,0
True,56,4,4,1,0,0
True,57,3,4,1,0,0
True,54,3,6,1,0,0
True,54,3,5,1,0,0
True,52,5,5,1,0,0
True,50,4,5,1,0,0
True,49,4,7,1,0,0
True,49,4,5,1,0,0
True,46,4,4,1,0,0
True,46,5,4,1,0,0
True,44,5,5,1,0,0
True,44,5,4,1,0,0
True,42,7,4,1,0,81/10000000000000000000000
True,42,7,2,1,0,81/10000000000000000000000
True,41,9,2,1,0,891/625000000000000000000
True,39,9,1,1,0,126073521/20000000000000000000000
True,39,9,0,1,0,31452183/5000000000000000000000
True,36,9,1,1,0,132985929213/20000000000000000000000
True,37,9,0,1,0,3710986389/5000000000000000000000
True,34,10,0,1,0,6458090850009/2500000000000000000000
True,33,10,1,1,0,1082377968733773/2500000000000000000000
True,34,10,0,1,0,92632860121689/2500000000000000000000
True,32,9,0,1,0,42088151208489849/10000000000000000000000
True,31,8,0,1,0,343964453805937071/10000000000000000000000
True,32,7,0,1,0,42566038895053557/10000000000000000000000
True,29,8,0,1,0,343964453805937071/10000000000000000000000
True,29,7,0,1,0,12753081794312200719/10000000000000000000000
True,27,5,0,1,0,208487468680251958413/10000000000000000000000
True,27,7,0,1,0,21452352560292978243/1000000000000000000000
True,25,8,0,1,0,720063580292269167843/5000000000000000000000
True,25,10,0,1,0,1502155926795650264307/10000000000000000000000
True,22,9,0,1,0,927996977532100849839/2500000000000000000000
True,22,9,1,1,0,8983341091599820694901/20000000000000000000000
True,21,9,2,1,0,9081818181818181818181/20000000000000000000000
True,20,8,2,1,0,908181818181818181891/2000000000000000000000
True,19,9,2,1,0,9081818181818181818181/20000000000000000000000
True,19,10,2,1,0,908181818181818181891/2000000000000000000000
True,17,9,2,1,0,90818181818181818181/200000000000000000000
True,16,7,2,1,0,90818181818181891/200000000000000000
True,16,7,1,1,0,908181818181818271/2000000000000000000
True,14,7,0,1,0,908181818181891/2000000000000000
True,13,8,0,1,0,9081818181818181/20000000000000000
True,12,7,0,1,0,9081818181891/20000000000000
