start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0
True,79,1,0,1,0,0
True,76,0,0,1,0,0
True,80,0,0,1,1,0
True,78,0,1,1,0,0
True,77,0,3,1,0,0
True,75,1,3,1,0,0
True,75,1,1,1,0,0
True,72,0,1,1,0,0
True,71,0,0,1,0,0
True,80,0,0,1,1,0
True,78,1,0,1,0,0
True,77,0,0,1,0,0
True,80,0,0,1,1,0
True,80,1,0,1,0,0
True,78,3,0,1,0,0
True,76,1,0,1,0,0
True,75,0,0,1,0,0
True,80,0,0,1,1,0
True,79,1,0,1,0,0
True,77,0,0,1,0,0
True,80,0,0,1,1,0
True,78,1,0,1,0,0
True,75,1,1,1,0,0
True,75,1,3,1,0,0
True,74,0,3,1,0,0
True,74,1,3,1,0,0
True,72,1,5,1,0,0
True,71,0,5,1,0,0
True,72,0,4,1,0,0
True,70,0,5,1,0,0
True,67,0,6,1,0,0
True,67,0,5,1,0,0
True,67,0,6,1,0,0
True,65,0,7,1,0,0
True,65,0,6,1,0,0
True,63,0,7,1,0,0
True,63,0,8,1,0,0
True,61,0,7,1,0,0
True,61,2,7,1,0,0
True,58,2,8,1,0,0
True,57,1,8,1,0,0
True,56,1,6,1,0,0
True,56,3,6,1,0,0
True,55,5,6,1,0,0
True,53,4,6,1,0,0
True,53,3,6,1,0,0
True,52,1,6,1,0,0
True,50,1,8,1,0,0
True,48,1,6,1,0,0
True,48,0,6,1,0,0
True,47,1,6,1,0,0
True,46,2,6,1,0,0
True,44,2,4,1,0,0
True,43,1,4,1,0,0
True,43,1,5,1,0,0
True,40,1,6,1,0,891/625000000000000000000
True,39,1,4,1,0,126073521/20000000000000000000000
True,37,2,4,1,0,33119302581/5000000000000000000000
True,37,2,3,1,0,132985929213/20000000000000000000000
True,37,2,4,1,0,3710986389/5000000000000000000000
True,35,1,4,1,0,6458090850009/2500000000000000000000
True,35,2,4,1,0,2918501201961/10000000000000000000000
True,33,0,4,1,0,136484776455003/312500000000000000000
True,33,0,3,1,0,126602595606357/2500000000000000000000
True,31,0,4,1,0,343964453805937071/10000000000000000000000
True,31,0,3,1,0,42566038895053557/10000000000000000000000
True,28,0,4,1,0,12753081794312200719/10000000000000000000000
True,28,0,3,1,0,3539281964791601997/625000000000000000000
True,27,0,5,1,0,21452352560292978243/1000000000000000000000
True,26,1,5,1,0,616238738706203647893/10000000000000000000000
True,25,0,5,1,0,1502155926795650264307/10000000000000000000000
True,23,0,6,1,0,3802986752780312722089/10000000000000000000000
True,24,1,6,1,0,5517165003040054506879/20000000000000000000000
True,21,1,5,1,0,8492267317525875553779/20000000000000000000000
True,19,1,6,1,0,908181818181818181891/2000000000000000000000
True,20,1,8,1,0,9081818181818181818271/20000000000000000000000
True,18,1,9,1,0,9081818181818181891/20000000000000000000
True,17,0,9,1,0,90818181818181818181/200000000000000000000
True,16,0,8,1,0,90818181818181891/200000000000000000
True,14,1,8,1,0,9081818181818919/20000000000000000
True,13,0,8,1,0,908181818181891/2000000000000000
True,13,0,7,1,0,9081818181818181/20000000000000000
True,13,2,7,1,0,908181818181891/2000000000000000
True,10,3,7,1,0,90818181818181/200000000000000
True,10,3,9,1,0,90818181891/200000000000
True,8,4,9,1,0,9081818919/20000000000
True,7,4,8,1,0,908181891/2000000000
True,6,5,8,1,0,90818919/200000000
True,5,5,7,1,0,9081891/20000000
True,5,3,7,1,0,90818181/200000000
True,4,5,7,1,0,90891/200000
True,3,5,6,1,0,908181/2000000
True,1,7,6,1,0,90891/200000
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
True,1,7,4,0,0,1
