start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,79,1,0,1,0,0.0
True,78,1,1,1,0,0.0
True,77,0,1,1,0,0.0
True,75,2,1,1,0,0.0
True,74,1,1,1,0,0.0
True,73,1,0,1,0,0.0
True,72,1,1,1,0,0.0
True,70,0,1,1,0,0.0
True,69,1,1,1,0,0.0
True,68,3,1,1,0,0.0
True,69,3,2,1,0,0.0
True,66,2,2,1,0,0.0
True,64,2,1,1,0,0.0
True,63,2,0,1,0,0.0
True,63,2,1,1,0,0.0
True,62,3,1,1,0,0.0
True,60,2,1,1,0,0.0
True,60,2,2,1,0,0.0
True,58,2,4,1,0,0.0
True,58,0,4,1,0,0.0
True,57,2,4,1,0,0.0
True,56,1,4,1,0,0.0
True,54,0,4,1,0,0.0
True,52,0,3,1,0,0.0
True,54,1,3,1,0,0.0
True,53,3,3,1,0,0.0
True,51,3,4,1,0,0.0
True,50,4,4,1,0,0.0
True,48,5,4,1,0,0.0
True,48,5,5,1,0,0.0
True,46,5,6,1,0,0.0
True,43,4,6,1,0,0.0
True,44,4,5,1,0,0.0
True,43,4,6,1,0,0.0
True,41,4,7,1,0,1.4255998772111465e-18
True,40,2,7,1,0,1.193215842192725e-16
True,39,1,7,1,0,6.290437666741332e-15
True,37,2,7,1,0,6.649297432104184e-12
True,35,0,7,1,0,2.5677779902366638e-09
True,37,0,9,1,0,6.649297432104184e-12
True,35,0,8,1,0,2.918502106652454e-10
True,34,0,9,1,0,3.7053140999887546e-08
True,33,1,9,1,0,5.0641048687793955e-08
True,31,2,9,1,0,3.439643478486687e-05
True,31,2,8,1,0,4.256604370311834e-06
True,29,1,8,1,0,0.0012753079645335674
True,28,1,6,1,0,0.005662852898240089
True,27,0,6,1,0,0.02145235985517502
True,25,0,7,1,0,0.14569765329360962
True,24,0,8,1,0,0.2758582830429077
True,24,1,8,1,0,0.26224052906036377
True,23,2,8,1,0,0.39324796199798584
True,23,2,7,1,0,0.2758582830429077
True,22,3,7,1,0,0.4491671323776245
True,20,3,6,1,0,0.45409095287323
True,19,3,7,1,0,0.45409095287323
