start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,78,0,2,1,0,0.0
True,77,1,2,1,0,0.0
True,76,0,2,1,0,0.0
True,77,0,3,1,0,0.0
True,74,0,2,1,0,0.0
True,74,1,2,1,0,0.0
True,72,1,1,1,0,0.0
True,70,0,1,1,0,0.0
True,69,0,2,1,0,0.0
True,70,1,2,1,0,0.0
True,66,1,1,1,0,0.0
True,66,1,0,1,0,0.0
True,65,2,0,1,0,0.0
True,66,0,0,1,0,0.0
True,80,0,0,1,1,0.0
True,79,1,0,1,0,0.0
True,78,0,0,1,0,0.0
True,80,0,0,1,1,0.0
True,78,1,0,1,0,0.0
True,76,1,1,1,0,0.0
True,75,0,1,1,0,0.0
True,75,1,1,1,0,0.0
True,73,2,1,1,0,0.0
True,71,2,0,1,0,0.0
True,70,3,0,1,0,0.0
True,70,2,0,1,0,0.0
True,68,4,0,1,0,0.0
True,69,4,1,1,0,0.0
True,67,5,1,1,0,0.0
True,64,5,0,1,0,0.0
True,63,5,1,1,0,0.0
True,63,4,1,1,0,0.0
True,62,5,1,1,0,0.0
True,61,5,0,1,0,0.0
True,60,5,1,1,0,0.0
True,58,4,1,1,0,0.0
True,57,3,1,1,0,0.0
True,55,3,2,1,0,0.0
True,55,3,0,1,0,0.0
True,54,2,0,1,0,0.0
True,52,2,1,1,0,0.0
True,51,2,2,1,0,0.0
True,50,2,3,1,0,0.0
True,50,2,4,1,0,0.0
True,48,3,4,1,0,0.0
True,47,3,6,1,0,0.0
True,47,3,8,1,0,0.0
True,45,3,9,1,0,0.0
True,44,3,10,1,0,0.0
True,43,2,10,1,0,0.0
True,42,4,10,1,0,2.199386968806905e-74
True,41,4,9,1,0,4.0121995033170373e-72
True,39,3,9,1,0,7.728522283074512e-70
True,39,3,7,1,0,6.1209044849998256e-71
True,38,3,9,1,0,3.095014999223344e-70
True,37,4,9,1,0,4.955354882110161e-71
True,36,4,10,1,0,3.817034817075892e-70
True,34,4,9,1,0,4.5912120377155784e-70
True,34,3,9,1,0,1.0088121120671306e-69
True,33,4,9,1,0,4.9022500782045194e-70
True,32,5,9,1,0,3.5450933713525025e-70
True,30,7,9,1,0,1.347395285118674e-70
True,28,6,9,1,0,6.060057333747745e-70
True,27,6,10,1,0,1.2574007259027638e-70
True,26,7,10,1,0,9.081965314047492e-71
True,25,7,11,1,0,3.439249584103351e-71
True,24,7,13,1,0,7.095829193552044e-72
True,22,7,11,1,0,5.253929578685824e-72
True,21,8,11,1,0,1.3938817318278843e-73
True,19,8,10,1,0,4.620467782192074e-74
True,19,6,10,1,0,7.72539404191187e-77
True,18,6,11,1,0,1.9764070342393544e-77
True,17,6,10,1,0,6.35076688282169e-79
True,16,8,10,1,0,9.258524677778722e-81
True,15,8,9,1,0,5.284322621452774e-82
True,14,6,9,1,0,4.900468049348389e-84
True,12,4,9,1,0,1.428016188317358e-85
True,13,4,7,1,0,1.2572888568663595e-87
True,9,3,7,1,0,5.730051230177514e-89
True,7,3,8,1,0,2.9198086771700063e-90
True,7,3,9,1,0,8.383200537525448e-91
True,6,3,7,1,0,1.5167573833126759e-92
True,5,4,7,1,0,2.708521340906859e-93
True,5,3,7,1,0,8.518318211648676e-97
True,4,3,8,1,0,2.072082852138282e-97
True,3,3,6,1,0,3.3200066770554433e-100
True,2,4,6,1,0,8.17566228959495e-101
True,127,5,6,1,0,0.0
True,126,4,6,1,0,0.0
True,123,5,6,1,0,0.0
True,124,5,5,1,0,0.0
True,123,6,5,1,0,0.0
True,122,6,3,1,0,0.0
True,120,6,4,1,0,0.0
True,120,4,4,1,0,0.0
True,118,3,4,1,0,0.0
True,118,2,4,1,0,0.0
True,117,2,5,1,0,0.0
True,115,3,5,1,0,0.0
True,115,1,5,1,0,0.0
True,114,1,6,1,0,0.0
True,112,2,6,1,0,0.0
True,110,2,7,1,0,0.0
True,109,2,9,1,0,0.0
True,107,2,8,1,0,0.0
True,106,3,8,1,0,0.0
True,105,2,8,1,0,0.0
True,104,2,10,1,0,0.0
True,102,1,10,1,0,0.0
True,101,2,10,1,0,0.0
True,100,4,10,1,0,0.0
True,100,6,10,1,0,0.0
True,99,4,10,1,0,0.0
True,97,4,11,1,0,0.0
True,97,2,11,1,0,0.0
