start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,79,0,1,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,79,0,1,1,0,True
True,77,0,2,1,0,True
True,77,0,3,1,0,True
True,75,0,2,1,0,True
True,73,0,3,1,0,True
True,74,0,2,1,0,True
True,71,0,1,1,0,True
True,70,0,2,1,0,True
True,69,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,77,1,0,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,80,0,1,1,0,True
True,78,0,0,1,0,True
True,80,0,0,1,1,True
True,79,1,0,1,0,True
True,77,1,2,1,0,True
True,77,1,1,1,0,True
True,76,1,2,1,0,True
True,76,2,2,1,0,True
True,74,2,3,1,0,True
True,72,3,3,1,0,True
True,71,3,4,1,0,True
True,70,4,4,1,0,True
True,69,3,4,1,0,True
True,69,2,4,1,0,True
True,67,1,4,1,0,True
True,67,0,4,1,0,True
True,66,0,6,1,0,True
True,64,0,4,1,0,True
True,64,0,5,1,0,True
True,62,0,4,1,0,True
True,61,1,4,1,0,True
True,60,0,4,1,0,True
True,60,0,5,1,0,True
True,59,0,3,1,0,True
True,58,0,1,1,0,True
True,56,1,1,1,0,True
True,55,2,1,1,0,True
True,55,2,0,1,0,True
True,52,3,0,1,0,True
True,50,3,1,1,0,True
True,51,3,3,1,0,True
True,50,3,5,1,0,True
True,48,4,5,1,0,True
True,48,5,5,1,0,True
True,45,5,4,1,0,True
True,44,4,4,1,0,True
True,42,4,2,1,0,True
True,42,4,1,1,0,True
True,41,4,0,1,0,True
True,39,5,0,1,0,True
True,37,4,0,1,0,True
True,37,3,0,1,0,True
True,35,2,0,1,0,True
True,33,1,0,1,0,True
True,35,0,0,1,0,True
True,80,0,0,1,1,True
True,79,0,1,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,78,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,78,1,0,1,0,True
True,77,0,0,1,0,True
True,80,0,0,1,1,True
True,79,2,0,1,0,True
True,78,3,0,1,0,True
True,77,1,0,1,0,True
True,75,1,2,1,0,True
True,75,2,2,1,0,True
True,72,0,2,1,0,True
True,71,1,2,1,0,True
True,71,3,2,1,0,True
True,69,3,1,1,0,True
True,66,3,2,1,0,True
True,67,3,1,1,0,True
True,65,3,0,1,0,True
True,63,2,0,1,0,True
True,63,2,1,1,0,True
True,61,3,1,1,0,True
True,61,2,1,1,0,True
True,59,2,3,1,0,True
True,58,2,4,1,0,True
True,58,3,4,1,0,True
True,56,4,4,1,0,True
True,55,5,4,1,0,True
True,55,5,5,1,0,True
True,53,5,4,1,0,True
True,52,5,3,1,0,True
True,52,7,3,1,0,True
True,49,9,3,1,0,True
True,50,9,4,1,0,True
True,48,9,2,1,0,True
True,48,10,2,1,0,True
True,46,9,2,1,0,True
True,45,9,4,1,0,True
True,45,9,5,1,0,True
True,43,10,5,1,0,True
True,41,8,5,1,0,True
True,41,10,5,1,0,True
True,40,10,3,1,0,True
True,39,10,2,1,0,True
True,38,10,4,1,0,True
True,36,10,5,1,0,True
True,36,8,5,1,0,True
True,36,8,7,1,0,True
True,33,8,6,1,0,True
True,34,8,8,1,0,True
True,32,8,7,1,0,True
True,33,8,8,1,0,True
True,31,8,6,1,0,True
True,29,10,6,1,0,True
True,28,10,5,1,0,True
True,26,10,6,1,0,False
True,26,10,7,1,0,False
True,24,11,7,1,0,False
True,24,11,5,1,0,False
True,24,10,5,1,0,False
True,22,11,5,1,0,False
True,20,11,6,1,0,False
True,20,11,8,1,0,False
True,19,11,9,1,0,False
True,17,12,9,1,0,False
True,16,12,11,1,0,False
True,16,11,11,1,0,False
True,14,10,11,1,0,False
True,14,10,10,1,0,False
True,12,9,10,1,0,False
True,11,9,11,1,0,False
True,10,7,11,1,0,False
True,8,6,11,1,0,False
True,8,6,13,1,0,False
True,7,7,13,1,0,False
True,7,6,13,1,0,False
True,6,8,13,1,0,False
True,4,8,12,1,0,False
True,4,9,12,1,0,False
True,3,10,12,1,0,False
True,1,10,13,1,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
True,2,10,15,0,0,False
