start,meter,ax,ay,fuelempty,fuelfull,risk
True,80,0,0,1,1,0.0
True,78,0,2,1,0,0.0
True,77,1,2,1,0,0.0
True,76,0,2,1,0,0.0
True,77,0,3,1,0,0.0
True,74,0,2,1,0,0.0
True,74,1,2,1,0,0.0
True,72,1,1,1,0,0.0
True,70,0,1,1,0,0.0
True,69,0,2,1,0,0.0
True,70,1,2,1,0,0.0
True,66,1,1,1,0,0.0
True,66,1,0,1,0,0.0
True,65,2,0,1,0,0.0
True,66,0,0,1,0,0.0
True,80,0,0,1,1,0.0
True,79,1,0,1,0,0.0
True,78,0,0,1,0,0.0
True,80,0,0,1,1,0.0
True,78,1,0,1,0,0.0
True,76,1,1,1,0,0.0
True,75,0,1,1,0,0.0
True,75,1,1,1,0,0.0
True,73,2,1,1,0,0.0
True,71,2,0,1,0,0.0
True,70,3,0,1,0,0.0
True,70,2,0,1,0,0.0
True,68,4,0,1,0,0.0
True,69,4,1,1,0,0.0
True,67,5,1,1,0,0.0
True,64,5,0,1,0,0.0
True,63,5,1,1,0,0.0
True,63,4,1,1,0,0.0
True,62,5,1,1,0,0.0
True,61,5,0,1,0,0.0
True,60,5,1,1,0,0.0
True,58,4,1,1,0,0.0
True,57,3,1,1,0,0.0
True,55,3,2,1,0,0.0
True,55,3,0,1,0,0.0
True,54,2,0,1,0,0.0
True,52,2,1,1,0,0.0
True,51,2,2,1,0,0.0
True,50,2,3,1,0,0.0
True,50,2,4,1,0,0.0
True,48,3,4,1,0,0.0
True,47,3,6,1,0,0.0
True,47,3,8,1,0,0.0
True,45,3,9,1,0,0.0
True,44,3,10,1,0,0.0
True,43,2,10,1,0,0.0
True,42,4,10,1,0,8.099999999999911e-21
True,41,4,9,1,0,1.4256000000000005e-18
True,39,3,9,1,0,6.303676049999994e-15
True,39,3,7,1,0,6.290436599999998e-15
True,38,3,9,1,0,2.359128730499999e-13
True,37,4,9,1,0,6.6231748192500045e-12
True,36,4,10,1,0,1.4647931888130012e-10
True,34,4,9,1,0,3.6784110802507233e-08
True,34,3,9,1,0,3.7053144048675636e-08
True,33,4,9,1,0,4.326821542473412e-07
True,32,5,9,1,0,4.25660388950536e-06
True,30,7,9,1,0,0.00022709765758384943
True,28,6,9,1,0,0.005797984280619622
True,27,6,10,1,0,0.02096246875917791
True,26,7,10,1,0,0.06379870039157505
True,25,7,11,1,0,0.14569765877829374
True,24,7,13,1,0,0.27585825015199983
True,22,7,11,1,0,0.4375625628993211
True,21,8,11,1,0,0.4540909090909075
True,19,8,10,1,0,0.4540909090909091
True,19,6,10,1,0,0.454090909090909
True,18,6,11,1,0,0.4540909090909091
True,17,6,10,1,0,0.4540909090909091
True,16,8,10,1,0,0.45409090909090877
True,15,8,9,1,0,0.45409090909090943
True,14,6,9,1,0,0.4540909090909451
True,12,4,9,1,0,0.45409090909454813
True,13,4,7,1,0,0.45409090909094474
True,9,3,7,1,0,0.45409090909454897
True,7,3,8,1,0,0.4540909094549983
True,7,3,9,1,0,0.45409094549999984
True,6,3,7,1,0,0.4540945904999992
True,5,4,7,1,0,0.4540945499999998
True,5,3,7,1,0,0.4540945499999998
True,4,3,8,1,0,0.45445499999999983
True,3,3,6,1,0,0.4544549999999992
True,2,4,6,1,0,0.4544999999999989
True,127,5,6,1,0,0.0
True,126,4,6,1,0,0.0
True,123,5,6,1,0,0.0
True,124,5,5,1,0,0.0
True,123,6,5,1,0,0.0
True,122,6,3,1,0,0.0
True,120,6,4,1,0,0.0
True,120,4,4,1,0,0.0
True,118,3,4,1,0,0.0
True,118,2,4,1,0,0.0
True,117,2,5,1,0,0.0
True,115,3,5,1,0,0.0
True,115,1,5,1,0,0.0
True,114,1,6,1,0,0.0
True,112,2,6,1,0,0.0
True,110,2,7,1,0,0.0
True,109,2,9,1,0,0.0
True,107,2,8,1,0,0.0
True,106,3,8,1,0,0.0
True,105,2,8,1,0,0.0
True,104,2,10,1,0,0.0
True,102,1,10,1,0,0.0
True,101,2,10,1,0,0.0
True,100,4,10,1,0,0.0
True,100,6,10,1,0,0.0
True,99,4,10,1,0,0.0
True,97,4,11,1,0,0.0
True,97,2,11,1,0,0.0
True,94,3,11,1,0,0.0
True,94,2,11,1,0,0.0
True,93,2,10,1,0,0.0
True,91,0,10,1,0,0.0
