Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1777042602.148	     0.096	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 1 --exact --conditional:algorithm bisection
4	:	1777042602.150	     0.097	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 300 --dot-maxwidth 3 --exact --conditional:algorithm bisection
8	:	1777042602.161	     0.200	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 7 --exact --conditional:algorithm restart
7	:	1777042602.158	     0.240	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 6 --exact --conditional:algorithm restart
1	:	1777042602.146	     0.272	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 0 --exact --conditional:algorithm bisection
6	:	1777042602.156	     0.276	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 300 --dot-maxwidth 5 --exact --conditional:algorithm bisection-pt
11	:	1777042602.364	     0.161	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 10 --exact --conditional:algorithm bisection-advanced
5	:	1777042602.153	     0.403	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 4 --exact --conditional:algorithm bisection-pt
13	:	1777042602.421	     0.164	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 300 --dot-maxwidth 12 --exact --conditional:algorithm bisection-advanced-pt
14	:	1777042602.435	     0.209	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 300 --dot-maxwidth 13 --exact --conditional:algorithm bisection-advanced-pt
