Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
4	:	1776957309.001	     0.110	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 3 --exact --conditional:algorithm bisection
2	:	1776957308.997	     0.125	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 1 --exact --conditional:algorithm bisection
22	:	1776957309.041	     0.112	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 21 --conditional:precision 1e-6 --conditional:algorithm restart
15	:	1776957309.025	     0.130	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 14 --conditional:precision 1e-6 --conditional:algorithm bisection
16	:	1776957309.027	     0.131	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 15 --conditional:precision 1e-6 --conditional:algorithm bisection
17	:	1776957309.030	     0.133	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 16 --conditional:precision 1e-6 --conditional:algorithm bisection
18	:	1776957309.033	     0.130	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 17 --conditional:precision 1e-6 --conditional:algorithm bisection
19	:	1776957309.035	     0.130	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 18 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
20	:	1776957309.036	     0.134	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 19 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
21	:	1776957309.039	     0.131	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 20 --conditional:precision 1e-6 --conditional:algorithm restart
23	:	1776957309.045	     0.136	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 10 --dot-maxwidth 22 --conditional:precision 1e-6 --conditional:algorithm restart
7	:	1776957309.007	     0.236	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "HYPOVOLEMIA1" || F "ANAPHYLAXIS1"]' --timeout 10 --dot-maxwidth 6 --exact --conditional:algorithm restart
