model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.21,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.3,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.24,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.25,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.25,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,0.31,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,66.49,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,127.17,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,78.84,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,71.3,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,80.2,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,85.65,43462
dpm,backward,bisection,True,1620,1723,9.21,266
dpm,backward,bisection,False,1620,2166,925.47,32
dpm,backward,bisection_advanced,False,1620,1950,907.81,82
dpm,backward,bisection_pt,False,1620,1785,907.04,146
dpm,backward,bisection_advanced_pt,False,1620,1723,649.39,266
dpm,backward,restart,False,1620,1723,14.03,266
dpm-queue,backward,bisection,True,16200,1733,9.87,275
dpm-queue,backward,bisection,False,16200,2068,898.29,37
dpm-queue,backward,bisection_advanced,False,16200,1971,903.49,83
dpm-queue,backward,bisection_pt,False,16200,1762,897.83,160
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,613.98,275
dpm-queue,backward,restart,False,16200,1733,14.85,275
ladder-network,backward,bisection,True,864000000000,251,899.94,369804
ladder-network,backward,bisection,False,864000000000,251,899.95,29173
ladder-network,backward,bisection_advanced,False,864000000000,251,899.94,76487
ladder-network,backward,bisection_pt,False,864000000000,251,899.94,320153
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.95,127433
ladder-network,backward,restart,False,864000000000,251,899.95,176605
ladder-network-input,backward,bisection,True,8640000000000,505,742.35,167308
ladder-network-input,backward,bisection,False,8640000000000,514,899.17,43022
ladder-network-input,backward,bisection_advanced,False,8640000000000,514,899.18,73636
ladder-network-input,backward,bisection_pt,False,8640000000000,505,899.16,146196
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,507,899.18,53004
ladder-network-input,backward,restart,False,8640000000000,519,899.16,117117
virus,backward,bisection,True,12150,118,11.57,3977
virus,backward,bisection,False,12150,118,196.99,3977
virus,backward,bisection_advanced,False,12150,118,98.93,3977
virus,backward,bisection_pt,False,12150,118,205.48,3977
virus,backward,bisection_advanced_pt,False,12150,118,100.6,3977
virus,backward,restart,False,12150,118,10.02,4148
airport,backward,bisection,True,1254763851264,72,204.18,273443
airport,backward,bisection,False,1254763851264,72,199.33,273443
airport,backward,bisection_advanced,False,1254763851264,72,180.68,273443
airport,backward,bisection_pt,False,1254763851264,69,193.7,445273
airport,backward,bisection_advanced_pt,False,1254763851264,69,263.4,445354
airport,backward,restart,False,1254763851264,54,630.94,1351632
airport-big,backward,bisection,True,177163327111680,122,39.2,33401
airport-big,backward,bisection,False,177163327111680,115,111.97,48585
airport-big,backward,bisection_advanced,False,177163327111680,115,122.71,48585
airport-big,backward,bisection_pt,False,177163327111680,115,59.76,46947
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,105.15,46947
airport-big,backward,restart,False,177163327111680,93,360.57,242323
