model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,120.5,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,28.97,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,29.24,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,29.53,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,29.79,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,29.56,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,909.3,22
dpm,backward,bisection,True,1620,1723,3.56,266
dpm,backward,bisection,False,1620,1723,48.96,266
dpm,backward,bisection_advanced,False,1620,1723,44.22,266
dpm,backward,bisection_pt,False,1620,1723,45.61,266
dpm,backward,bisection_advanced_pt,False,1620,1723,43.98,266
dpm,backward,restart,False,1620,1976,929.81,67
dpm-queue,backward,bisection,True,16200,1733,4.76,275
dpm-queue,backward,bisection,False,16200,1733,51.91,275
dpm-queue,backward,bisection_advanced,False,16200,1733,46.2,275
dpm-queue,backward,bisection_pt,False,16200,1733,48.69,275
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,46.12,275
dpm-queue,backward,restart,False,16200,1977,904.67,67
ladder-network,backward,bisection,True,864000000000,251,899.95,1083331
ladder-network,backward,bisection,False,864000000000,251,899.95,1099995
ladder-network,backward,bisection_advanced,False,864000000000,251,899.95,1138750
ladder-network,backward,bisection_pt,False,864000000000,251,899.95,1041607
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.95,1053422
ladder-network,backward,restart,False,864000000000,251,899.95,825195
ladder-network-input,backward,bisection,True,8640000000000,505,304.99,157566
ladder-network-input,backward,bisection,False,8640000000000,510,899.23,602860
ladder-network-input,backward,bisection_advanced,False,8640000000000,510,899.23,613275
ladder-network-input,backward,bisection_pt,False,8640000000000,503,314.61,167439
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,503,358.09,189920
ladder-network-input,backward,restart,False,-,-,1080.0,0
virus,backward,bisection,True,12150,118,2.08,2728
virus,backward,bisection,False,-,-,1080.0,0
virus,backward,bisection_advanced,False,-,-,1080.0,0
virus,backward,bisection_pt,False,-,-,1080.0,0
virus,backward,bisection_advanced_pt,False,-,-,1080.0,0
virus,backward,restart,False,12150,118,4.82,3177
airport,backward,bisection,True,1254763851264,72,57.75,272939
airport,backward,bisection,False,1254763851264,72,57.58,272939
airport,backward,bisection_advanced,False,1254763851264,73,59.45,275480
airport,backward,bisection_pt,False,1254763851264,69,94.1,447319
airport,backward,bisection_advanced_pt,False,1254763851264,69,94.96,445234
airport,backward,restart,False,1254763851264,51,899.98,2995934
airport-big,backward,bisection,True,177163327111680,122,21.1,33401
airport-big,backward,bisection,False,177163327111680,113,31.37,51708
airport-big,backward,bisection_advanced,False,177163327111680,113,32.12,51669
airport-big,backward,bisection_pt,False,177163327111680,115,29.19,46986
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,28.86,46947
airport-big,backward,restart,False,177163327111680,93,899.67,507973
