model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.21,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.25,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,0.3,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,65.17,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,72.82,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,88.38,43462
dpm,backward,bisection,True,1620,1723,9.33,266
dpm,backward,bisection_pt,False,1620,2052,309.2,57
dpm,backward,restart,False,1620,1723,14.03,266
dpm-queue,backward,bisection,True,16200,1733,9.84,275
dpm-queue,backward,bisection_pt,False,16200,2064,303.41,71
dpm-queue,backward,restart,False,16200,1733,14.74,275
virus,backward,bisection,True,12150,118,11.45,3977
virus,backward,bisection_pt,False,12150,118,194.26,3977
virus,backward,restart,False,12150,118,8.74,4148
airport,backward,bisection,True,1254763851264,72,176.92,273443
airport,backward,bisection_pt,False,1254763851264,69,167.1,445273
airport,backward,restart,False,1254763851264,51,299.96,768542
airport-big,backward,bisection,True,177163327111680,122,34.52,33401
airport-big,backward,bisection_pt,False,177163327111680,115,52.13,46947
airport-big,backward,restart,False,177163327111680,93,299.27,221511
