model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,121.15,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,28.83,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,29.22,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,317.98,6
dpm,backward,bisection,True,1620,1723,3.57,266
dpm,backward,bisection_pt,False,1620,1723,45.57,266
dpm,backward,restart,False,1620,2275,302.48,16
dpm-queue,backward,bisection,True,16200,1733,4.75,275
dpm-queue,backward,bisection_pt,False,16200,1733,48.73,275
dpm-queue,backward,restart,False,16200,2358,303.8,17
virus,backward,bisection,True,12150,118,2.05,2728
virus,backward,bisection_pt,False,-,-,360.0,0
virus,backward,restart,False,12150,118,4.78,3177
airport,backward,bisection,True,1254763851264,72,56.93,272939
airport,backward,bisection_pt,False,1254763851264,69,93.57,447319
airport,backward,restart,False,1254763851264,51,299.98,1014776
airport-big,backward,bisection,True,177163327111680,122,20.77,33401
airport-big,backward,bisection_pt,False,177163327111680,115,28.69,46986
airport-big,backward,restart,False,177163327111680,93,299.67,204326
