model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.24,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.34,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.27,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.29,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.27,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,0.34,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,72.41,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,136.29,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,87.96,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,79.82,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,88.27,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,96.65,43462
dpm,backward,bisection,True,1620,1723,10.39,266
dpm,backward,bisection,False,1620,2182,942.04,31
dpm,backward,bisection_advanced,False,1620,2049,906.89,71
dpm,backward,bisection_pt,False,1620,1794,917.29,144
dpm,backward,bisection_advanced_pt,False,1620,1723,650.83,266
dpm,backward,restart,False,1620,1723,14.19,266
dpm-queue,backward,bisection,True,16200,1733,10.0,275
dpm-queue,backward,bisection,False,16200,2042,919.61,38
dpm-queue,backward,bisection_advanced,False,16200,1971,900.11,83
dpm-queue,backward,bisection_pt,False,16200,1766,897.88,159
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,617.45,275
dpm-queue,backward,restart,False,16200,1733,14.84,275
ladder-network,backward,bisection,True,864000000000,251,899.94,366988
ladder-network,backward,bisection,False,864000000000,251,899.95,29176
ladder-network,backward,bisection_advanced,False,864000000000,251,899.94,76644
ladder-network,backward,bisection_pt,False,864000000000,251,899.94,313128
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.95,126061
ladder-network,backward,restart,False,864000000000,251,899.94,175032
ladder-network-input,backward,bisection,True,8640000000000,505,768.48,167308
ladder-network-input,backward,bisection,False,8640000000000,514,899.14,42753
ladder-network-input,backward,bisection_advanced,False,8640000000000,514,899.15,73071
ladder-network-input,backward,bisection_pt,False,8640000000000,505,899.15,145365
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,507,899.16,53693
ladder-network-input,backward,restart,False,8640000000000,519,899.16,112446
virus,backward,bisection,True,12150,118,11.94,3977
virus,backward,bisection,False,12150,118,200.48,3977
virus,backward,bisection_advanced,False,12150,118,93.68,3977
virus,backward,bisection_pt,False,12150,118,188.7,3977
virus,backward,bisection_advanced_pt,False,12150,118,92.19,3977
virus,backward,restart,False,12150,118,8.64,4148
airport,backward,bisection,True,1254763851264,72,177.78,273443
airport,backward,bisection,False,1254763851264,72,178.01,273443
airport,backward,bisection_advanced,False,1254763851264,72,160.29,273443
airport,backward,bisection_pt,False,1254763851264,69,168.98,445273
airport,backward,bisection_advanced_pt,False,1254763851264,69,224.69,445354
airport,backward,restart,False,1254763851264,54,550.74,1351632
airport-big,backward,bisection,True,177163327111680,122,34.58,33401
airport-big,backward,bisection,False,177163327111680,115,100.42,48585
airport-big,backward,bisection_advanced,False,177163327111680,115,109.02,48585
airport-big,backward,bisection_pt,False,177163327111680,115,52.18,46947
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,93.85,46947
airport-big,backward,restart,False,177163327111680,93,335.9,242323
