model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.1,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.1,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.1,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.1,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.1,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,135.8,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,33.24,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,33.94,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,34.47,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,34.51,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,34.12,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,984.71,20
dpm,backward,bisection,True,1620,1723,4.31,266
dpm,backward,bisection,False,1620,1723,54.23,266
dpm,backward,bisection_advanced,False,1620,1723,49.42,266
dpm,backward,bisection_pt,False,1620,1723,50.63,266
dpm,backward,bisection_advanced_pt,False,1620,1723,48.86,266
dpm,backward,restart,False,1620,2052,912.82,57
dpm-queue,backward,bisection,True,16200,1733,5.45,275
dpm-queue,backward,bisection,False,16200,1733,57.17,275
dpm-queue,backward,bisection_advanced,False,16200,1733,50.8,275
dpm-queue,backward,bisection_pt,False,16200,1733,56.95,275
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,50.49,275
dpm-queue,backward,restart,False,16200,2094,911.6,58
ladder-network,backward,bisection,True,864000000000,251,899.94,969939
ladder-network,backward,bisection,False,864000000000,251,899.94,992609
ladder-network,backward,bisection_advanced,False,864000000000,251,899.94,1023564
ladder-network,backward,bisection_pt,False,864000000000,251,899.94,952886
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.94,951364
ladder-network,backward,restart,False,864000000000,251,899.94,744464
ladder-network-input,backward,bisection,True,8640000000000,505,345.93,157566
ladder-network-input,backward,bisection,False,8640000000000,511,899.17,551947
ladder-network-input,backward,bisection_advanced,False,8640000000000,511,899.17,549240
ladder-network-input,backward,bisection_pt,False,8640000000000,503,352.99,167439
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,503,397.34,189920
ladder-network-input,backward,restart,False,-,-,1080.0,0
virus,backward,bisection,True,12150,118,2.31,2728
virus,backward,bisection,False,-,-,1080.0,0
virus,backward,bisection_advanced,False,-,-,1080.0,0
virus,backward,bisection_pt,False,-,-,1080.0,0
virus,backward,bisection_advanced_pt,False,-,-,1080.0,0
virus,backward,restart,False,12150,118,5.46,3177
airport,backward,bisection,True,1254763851264,72,64.14,272939
airport,backward,bisection,False,1254763851264,72,62.9,272939
airport,backward,bisection_advanced,False,1254763851264,73,65.39,275480
airport,backward,bisection_pt,False,1254763851264,69,103.48,447319
airport,backward,bisection_advanced_pt,False,1254763851264,69,103.47,445234
airport,backward,restart,False,1254763851264,51,899.98,2817833
airport-big,backward,bisection,True,177163327111680,122,23.49,33401
airport-big,backward,bisection,False,177163327111680,113,35.26,51708
airport-big,backward,bisection_advanced,False,177163327111680,113,35.54,51669
airport-big,backward,bisection_pt,False,177163327111680,115,32.41,46986
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,32.22,46947
airport-big,backward,restart,False,177163327111680,93,899.79,493563
