model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.21,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.3,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.25,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.26,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.25,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,0.3,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,64.82,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,125.69,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,78.4,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,70.59,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,78.77,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,86.79,43462
dpm,backward,bisection,True,1620,1723,9.34,266
dpm,backward,bisection,False,1620,2166,923.98,32
dpm,backward,bisection_advanced,False,1620,1950,905.16,82
dpm,backward,bisection_pt,False,1620,1785,908.09,146
dpm,backward,bisection_advanced_pt,False,1620,1723,652.63,266
dpm,backward,restart,False,1620,1723,14.09,266
dpm-queue,backward,bisection,True,16200,1733,9.81,275
dpm-queue,backward,bisection,False,16200,2068,901.17,37
dpm-queue,backward,bisection_advanced,False,16200,1985,915.65,84
dpm-queue,backward,bisection_pt,False,16200,1770,897.57,162
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,622.61,275
dpm-queue,backward,restart,False,16200,1733,14.64,275
ladder-network,backward,bisection,True,864000000000,251,899.95,370568
ladder-network,backward,bisection,False,864000000000,251,899.94,28945
ladder-network,backward,bisection_advanced,False,864000000000,251,899.95,77066
ladder-network,backward,bisection_pt,False,864000000000,251,899.94,317187
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.94,126961
ladder-network,backward,restart,False,864000000000,251,899.95,173367
ladder-network-input,backward,bisection,True,8640000000000,505,755.49,167308
ladder-network-input,backward,bisection,False,8640000000000,514,899.17,43220
ladder-network-input,backward,bisection_advanced,False,8640000000000,514,899.17,73974
ladder-network-input,backward,bisection_pt,False,8640000000000,505,899.17,148315
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,507,899.17,53685
ladder-network-input,backward,restart,False,8640000000000,519,899.17,115300
virus,backward,bisection,True,12150,118,11.5,3977
virus,backward,bisection,False,12150,118,201.25,3977
virus,backward,bisection_advanced,False,12150,118,90.13,3977
virus,backward,bisection_pt,False,12150,118,188.95,3977
virus,backward,bisection_advanced_pt,False,12150,118,89.64,3977
virus,backward,restart,False,12150,118,8.75,4148
airport,backward,bisection,True,1254763851264,72,176.97,273443
airport,backward,bisection,False,1254763851264,72,176.28,273443
airport,backward,bisection_advanced,False,1254763851264,72,159.64,273443
airport,backward,bisection_pt,False,1254763851264,69,166.32,445273
airport,backward,bisection_advanced_pt,False,1254763851264,69,225.25,445354
airport,backward,restart,False,1254763851264,54,547.16,1351632
airport-big,backward,bisection,True,177163327111680,122,34.57,33401
airport-big,backward,bisection,False,177163327111680,115,101.47,48585
airport-big,backward,bisection_advanced,False,177163327111680,115,109.5,48585
airport-big,backward,bisection_pt,False,177163327111680,115,51.74,46947
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,92.3,46947
airport-big,backward,restart,False,177163327111680,93,327.42,242323
