model,splitting,conditional_alg,bisection_optimization,family_size,avg_mdp_size,time,iterations
ceaser-cipher-4-10,backward,bisection,True,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_advanced,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_pt,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,bisection_advanced_pt,False,1048576,265,0.09,178
ceaser-cipher-4-10,backward,restart,False,1048576,265,119.76,178
ceaser-cipher-10-8,backward,bisection,True,100000000,451,29.06,43462
ceaser-cipher-10-8,backward,bisection,False,100000000,451,29.12,43462
ceaser-cipher-10-8,backward,bisection_advanced,False,100000000,451,29.46,43462
ceaser-cipher-10-8,backward,bisection_pt,False,100000000,451,29.48,43462
ceaser-cipher-10-8,backward,bisection_advanced_pt,False,100000000,451,29.79,43462
ceaser-cipher-10-8,backward,restart,False,100000000,451,911.8,23
dpm,backward,bisection,True,1620,1723,3.57,266
dpm,backward,bisection,False,1620,1723,48.88,266
dpm,backward,bisection_advanced,False,1620,1723,44.14,266
dpm,backward,bisection_pt,False,1620,1723,45.64,266
dpm,backward,bisection_advanced_pt,False,1620,1723,43.83,266
dpm,backward,restart,False,1620,1976,920.28,67
dpm-queue,backward,bisection,True,16200,1733,4.93,275
dpm-queue,backward,bisection,False,16200,1733,55.17,275
dpm-queue,backward,bisection_advanced,False,16200,1733,46.15,275
dpm-queue,backward,bisection_pt,False,16200,1733,51.99,275
dpm-queue,backward,bisection_advanced_pt,False,16200,1733,45.84,275
dpm-queue,backward,restart,False,16200,2001,922.08,68
ladder-network,backward,bisection,True,864000000000,251,899.95,1097384
ladder-network,backward,bisection,False,864000000000,251,899.95,1118000
ladder-network,backward,bisection_advanced,False,864000000000,251,899.95,1130710
ladder-network,backward,bisection_pt,False,864000000000,251,899.95,1053689
ladder-network,backward,bisection_advanced_pt,False,864000000000,251,899.95,1067872
ladder-network,backward,restart,False,864000000000,251,899.95,831431
ladder-network-input,backward,bisection,True,8640000000000,505,303.11,157566
ladder-network-input,backward,bisection,False,8640000000000,510,899.24,612309
ladder-network-input,backward,bisection_advanced,False,8640000000000,510,899.25,619100
ladder-network-input,backward,bisection_pt,False,8640000000000,503,308.66,167439
ladder-network-input,backward,bisection_advanced_pt,False,8640000000000,503,346.17,189920
ladder-network-input,backward,restart,False,-,-,1080.0,0
virus,backward,bisection,True,12150,118,2.05,2728
virus,backward,bisection,False,-,-,1080.0,0
virus,backward,bisection_advanced,False,-,-,1080.0,0
virus,backward,bisection_pt,False,-,-,1080.0,0
virus,backward,bisection_advanced_pt,False,-,-,1080.0,0
virus,backward,restart,False,12150,118,4.78,3177
airport,backward,bisection,True,1254763851264,72,57.03,272939
airport,backward,bisection,False,1254763851264,72,56.71,272939
airport,backward,bisection_advanced,False,1254763851264,73,58.14,275480
airport,backward,bisection_pt,False,1254763851264,69,92.71,447319
airport,backward,bisection_advanced_pt,False,1254763851264,69,93.19,445234
airport,backward,restart,False,1254763851264,51,899.98,3057686
airport-big,backward,bisection,True,177163327111680,122,20.83,33401
airport-big,backward,bisection,False,177163327111680,113,31.09,51708
airport-big,backward,bisection_advanced,False,177163327111680,113,31.27,51669
airport-big,backward,bisection_pt,False,177163327111680,115,28.65,46986
airport-big,backward,bisection_advanced_pt,False,177163327111680,115,28.76,46947
airport-big,backward,restart,False,177163327111680,93,899.8,508778
