d,pobs,turn,risk
299,29,0,False
299,29,1,False
298,29,0,False
298,29,1,False
298,29,0,False
298,29,1,False
297,29,0,False
297,28,1,False
297,28,0,False
297,29,1,False
297,29,0,False
297,28,1,False
296,28,0,False
296,29,1,False
296,29,0,False
296,27,1,False
295,27,0,False
295,29,1,False
295,29,0,False
295,28,1,False
295,28,0,False
295,25,1,True
294,25,0,True
294,25,1,True
294,25,0,True
294,24,1,True
293,24,0,True
293,26,1,True
293,26,0,True
293,23,1,True
292,23,0,True
292,24,1,True
292,24,0,True
292,21,1,True
291,21,0,True
291,21,1,True
291,21,0,True
291,22,1,True
291,22,0,True
291,22,1,True
290,22,0,True
290,20,1,True
290,20,0,True
290,21,1,True
289,21,0,True
289,21,1,True
288,21,0,True
288,20,1,True
287,20,0,True
287,19,1,True
286,19,0,True
286,17,1,True
285,17,0,True
285,18,1,True
284,18,0,True
284,17,1,True
284,17,0,True
284,16,1,True
284,16,0,True
284,16,1,True
284,16,0,True
284,15,1,True
284,15,0,True
284,15,1,True
283,15,0,True
283,13,1,True
282,13,0,True
282,13,1,True
281,13,0,True
281,12,1,True
281,12,0,True
281,12,1,True
280,12,0,True
280,12,1,True
280,12,0,True
280,9,1,True
280,9,0,True
280,10,1,True
279,10,0,True
279,8,1,True
278,8,0,True
278,8,1,True
278,8,0,True
278,8,1,True
277,8,0,True
277,6,1,True
277,6,0,True
277,6,1,True
276,6,0,True
276,4,1,True
275,4,0,True
275,5,1,True
274,5,0,True
274,3,1,True
274,3,0,True
274,2,1,True
273,2,0,True
273,2,1,True
272,2,0,True
272,1,1,True
271,1,0,True
271,0,1,True
270,0,0,True
270,1,1,True
269,1,0,True
269,0,1,True
268,0,0,True
268,1,1,True
267,1,0,True
267,1,1,True
266,1,0,True
266,0,1,True
265,0,0,True
265,1,1,True
264,1,0,True
264,0,1,True
263,0,0,True
263,0,1,True
262,0,0,True
262,0,1,True
261,0,0,True
261,1,1,True
260,1,0,True
260,0,1,True
259,0,0,True
259,0,1,True
258,0,0,True
258,1,1,True
257,1,0,True
257,0,1,True
256,0,0,True
256,0,1,True
255,0,0,True
255,1,1,True
254,1,0,True
254,0,1,True
253,0,0,True
253,0,1,True
252,0,0,True
252,1,1,True
251,1,0,True
251,0,1,True
250,0,0,True
250,1,1,True
249,1,0,True
249,0,1,True
248,0,0,True
248,0,1,True
247,0,0,True
247,0,1,True
246,0,0,True
246,1,1,True
245,1,0,True
245,0,1,True
244,0,0,True
244,0,1,True
243,0,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,0,1,True
240,0,0,True
240,0,1,True
239,0,0,True
239,0,1,True
238,0,0,True
238,0,1,True
237,0,0,True
237,0,1,True
236,0,0,True
236,0,1,True
235,0,0,True
235,0,1,True
234,0,0,True
234,1,1,True
233,1,0,True
233,0,1,True
232,0,0,True
232,1,1,True
231,1,0,True
231,0,1,True
230,0,0,True
230,1,1,True
229,1,0,True
229,0,1,True
228,0,0,True
228,0,1,True
227,0,0,True
227,1,1,True
226,1,0,True
226,0,1,True
225,0,0,True
225,0,1,True
224,0,0,True
224,0,1,True
223,0,0,True
223,0,1,True
222,0,0,True
222,1,1,True
221,1,0,True
221,0,1,True
220,0,0,True
220,0,1,True
219,0,0,True
219,0,1,True
218,0,0,True
218,0,1,True
217,0,0,True
217,0,1,True
216,0,0,True
216,1,1,True
215,1,0,True
215,0,1,True
214,0,0,True
214,0,1,True
213,0,0,True
213,0,1,True
212,0,0,True
212,0,1,True
211,0,0,True
211,0,1,True
210,0,0,True
210,0,1,True
209,0,0,True
209,0,1,True
208,0,0,True
208,0,1,True
207,0,0,True
207,0,1,True
206,0,0,True
206,0,1,True
205,0,0,True
205,0,1,True
204,0,0,True
204,0,1,True
203,0,0,True
203,0,1,True
202,0,0,True
202,0,1,True
201,0,0,True
201,1,1,True
200,1,0,True
200,0,1,True
199,0,0,True
199,1,1,True
198,1,0,True
198,0,1,True
197,0,0,True
197,0,1,True
