d,pobs,turn,risk
299,29,0,1
299,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,28,1,1
296,28,0,1
296,29,1,1
296,29,0,1
296,28,1,1
295,28,0,1
295,29,1,1
295,29,0,1
295,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,28,1,1
294,28,0,1
294,27,1,1
294,27,0,1292/1863
294,25,1,2739699363751736326602649002305395354581059042417881663520135318784211767499789580967989998041135075956446003550859538083962664793219701848018843910467701864331352926085911609221579295766563922766086235619/3752888525857339856854091695709198762394017999872183451555288174372826495699104160291435165245585439482002885073002754679413250625640082733084893361077464294450622916117154141532302882609976864844111807143560653871361319996098169078931247445465867457300615077615659464358139530268492998409304847509017324959259361543503656069365584250812936521179358865800391580788016041816068699756091422519590034972547014068
293,25,0,1403296026214936993294688182618738841676499306222676410705502952781256511694494546740416797215034954168252678498458316529537574595490302194117271709225482289753812485458767036583164125214545349782888540651/1969222215452589332468767296630082102761743707990615823252284432266412771411628183767307364076514500702513315747614893409759077889229111986054414438141395205807674452738346079006990368762667479199607898539435733862192955601390056100171130434603927507308904376482545922236951056136765257791577393631512156737409412420905317274561439192874389110035951539316942545946142501722266956315322992270133569525602712760
293,26,1,851210522369830995107065853701550086072462476215635507873124852995327850120252668414667311758770934337093252772712002815237842887813977184473346361133518107043692531321559634679822413965160466756945395271/362276778501366442618988994584975581756860550283778702363598130583558252957338977652110178733892863782240593984264075428075147617381528542968704080802723024590337750181010230287920132024154059350239897786312043984313208147047225832974803016144264562880497283386676531625163812348690653471042458176430979970849985011279606985288599173254945074597803044225831000424732459613154749912666687052743900857618254208
293,26,0,610306922754394116627231480285405906647029011522143221971694567258379385124738268756480086709101526512622282604174210052517479834243449181481844860382277577189395345706239475891769770962571857009223367722/372471687028096841720879861961589293595783365766305257513536970114382994517734637308425786049712484521475021531544861702023465909060067657005958627090952080975237615236486667658540181151590939808060225305892340834990833525075416322757743624790500910840466468676587030609000382067043337883919656586519246530280462000561588668885967300052311460816450721723822985590860834800688612439413163878089981874654256755
293,25,1,1482673941056647251885991245442665043943254179036128512646196924617536587122314762533167552285861219579524845942227172922229443617596244625361963948126777840933977202839918916301643028804893917257510471487/1099153478329815179777044853449447818384293171830172404019604682264406717403896901577413145293838473754164400692174020312901475569805651998865641395694873799871009469141369322311111276024774332928184963192552074082992055360583454597184638169668695148914362430051894569989681981133010759110998388203206103985771113114225589133636052517938107196105359458993217049202517314982817632842894424050129836289609010164
292,25,0,378060159624701328207838243159481884533768004499595832499994630304346538845104816842334140425261696814590380316592263738301163885001295556773902030584974076285556079155918583225106405875225842353412107197/71464342545816055305736322586702756781798578520155845452100053076282290558775933983218100675617485762077940785156581053220604860107975955639569932787344487971381101052875569447347197806896823697803412808718106434668224914914229915862972468820362130872507319851091687143114076367772834694141528860350383418227637274072872941629865465054696213058377876296381472946527263776252573017506371617366033142952846484
292,26,1,553530535818088318000571167077067202740704273013993501306882443704351538278978221605219645165436894794330659891526755463474199322379826965163939811748076883765313400403470486324394180531773217518710578866/306391908064750738733396412312298661399082931225893451049687559957510611036617028301866051154448239729271410447749129440715744162001929755266230796802242704910604220656057593397274269203604047202980044667503472965550200325612424981626622478800488853053630691589471968105531197700622463906406338895548161606031410311879962217893289788002283402669274295403903679659814765117811210242838425156146846615690958731
292,26,0,378060159624701328207838243159481884533768004499595832499994630304346538845104816842334140425261696814590380316592263738301163885001295556773902030584974076285556079155918583225106405875225842353412107197/71464342545816055305736322586702756781798578520155845452100053076282290558775933983218100675617485762077940785156581053220604860107975955639569932787344487971381101052875569447347197806896823697803412808718106434668224914914229915862972468820362130872507319851091687143114076367772834694141528860350383418227637274072872941629865465054696213058377876296381472946527263776252573017506371617366033142952846484
292,25,1,457905363955233234806132281605011385339036430426826908628708604311102138852307737275694786825777262892150306873832849109012693720158566286073688107543429743270401880249101087884170887384680116675097981263/104837556587753915963572843044716149534365385112552594875119206107400460471661361011437803195426595128831717385845226555682129045491693932269926936746671423799082110255994848773593214202465534885731871052969274412506396332931427398367111083448210392874218960857578035295688709759924086355270324750574500399062184935123501899225122274548922557018402913103217983177235935502199330960840576237053019798356909680
292,25,0,378060159624701328207838243159481884533768004499595832499994630304346538845104816842334140425261696814590380316592263738301163885001295556773902030584974076285556079155918583225106405875225842353412107197/71464342545816055305736322586702756781798578520155845452100053076282290558775933983218100675617485762077940785156581053220604860107975955639569932787344487971381101052875569447347197806896823697803412808718106434668224914914229915862972468820362130872507319851091687143114076367772834694141528860350383418227637274072872941629865465054696213058377876296381472946527263776252573017506371617366033142952846484
292,26,1,553530535818088318000571167077067202740704273013993501306882443704351538278978221605219645165436894794330659891526755463474199322379826965163939811748076883765313400403470486324394180531773217518710578866/306391908064750738733396412312298661399082931225893451049687559957510611036617028301866051154448239729271410447749129440715744162001929755266230796802242704910604220656057593397274269203604047202980044667503472965550200325612424981626622478800488853053630691589471968105531197700622463906406338895548161606031410311879962217893289788002283402669274295403903679659814765117811210242838425156146846615690958731
292,26,0,378060159624701328207838243159481884533768004499595832499994630304346538845104816842334140425261696814590380316592263738301163885001295556773902030584974076285556079155918583225106405875225842353412107197/71464342545816055305736322586702756781798578520155845452100053076282290558775933983218100675617485762077940785156581053220604860107975955639569932787344487971381101052875569447347197806896823697803412808718106434668224914914229915862972468820362130872507319851091687143114076367772834694141528860350383418227637274072872941629865465054696213058377876296381472946527263776252573017506371617366033142952846484
292,25,1,457905363955233234806132281605011385339036430426826908628708604311102138852307737275694786825777262892150306873832849109012693720158566286073688107543429743270401880249101087884170887384680116675097981263/104837556587753915963572843044716149534365385112552594875119206107400460471661361011437803195426595128831717385845226555682129045491693932269926936746671423799082110255994848773593214202465534885731871052969274412506396332931427398367111083448210392874218960857578035295688709759924086355270324750574500399062184935123501899225122274548922557018402913103217983177235935502199330960840576237053019798356909680
292,25,0,378060159624701328207838243159481884533768004499595832499994630304346538845104816842334140425261696814590380316592263738301163885001295556773902030584974076285556079155918583225106405875225842353412107197/71464342545816055305736322586702756781798578520155845452100053076282290558775933983218100675617485762077940785156581053220604860107975955639569932787344487971381101052875569447347197806896823697803412808718106434668224914914229915862972468820362130872507319851091687143114076367772834694141528860350383418227637274072872941629865465054696213058377876296381472946527263776252573017506371617366033142952846484
292,23,1,2880146210281684400096084884060249380185699164156103699214013779905394348877532993542525845526520365594202390748079557816214423866643299957757298467979309497255164987922677563154665697185931972157094628738805/4147524090186416468344827040369005179796085550390499920622058766116205276138271090223285672598963209583952075586345825300544711495944571618174584447197647941258372404779707362054200032767212199323591598572768333412590523051174696452041526569465509641872216853905307877288956995814450845614767651680697819569886818584594252817072271021231695929239161670423316335086857018636787522108186994695530733928148915326056508
292,23,0,9488155860293748422232946161771739455491134821243466099207350592959695583953894106242767681011461994933749900666414350368467102024319313458466423042475789898971757044524441841097054103194825513876242324509699/45012293966001812497519810123611925002666389087571941092161393345439009205684702016116443902801428514256253719686254442891549309030955209940656452832104857719974412661851585702331005356090658451111924584852441566048609424681145566254913372929213168965945756472418257875474852744082439537042961251490430966422730836285225128067399014022989488647281979504718088832189338803135845312830551196428786799503199098198472288
292,23,1,1036552646890131125958662472978822862348430144971480073414342142124667302880980669126127515210086827101038481950329754064092936453221282877048861157363118303211215572778820099895337187313692776317550236600041/4834891753714197961922896289225370697011064266792709698106008734760693204552187167073128181824085439573050033691728430851344336766387058259566053006197973394352030481356315918979122839583228746353881893684846459629166457664330830027297859308446117702540378995772623934470584441403178352689099703946438064381276429372746688758341912321476354718224750930262458087995063426530289909771531661015921074301538706419376684
