d,pobs,turn,risk
298,29,0,False
298,29,1,False
298,29,0,False
298,28,1,False
297,28,0,False
297,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,29,1,False
295,29,0,False
295,28,1,False
294,28,0,False
294,29,1,False
293,29,0,False
293,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
291,29,0,False
291,29,1,False
291,29,0,False
291,28,1,False
291,28,0,False
291,28,1,False
290,28,0,False
290,28,1,False
290,28,0,False
290,28,1,False
289,28,0,False
289,27,1,False
288,27,0,False
288,26,1,True
287,26,0,True
287,24,1,True
286,24,0,True
286,23,1,True
286,23,0,True
286,23,1,True
286,23,0,True
286,23,1,True
285,23,0,True
285,21,1,True
285,21,0,True
285,21,1,True
285,21,0,True
285,21,1,True
285,21,0,True
285,20,1,True
284,20,0,True
284,19,1,True
284,19,0,True
284,20,1,True
284,20,0,True
284,20,1,True
283,20,0,True
283,19,1,True
283,19,0,True
283,20,1,True
282,20,0,True
282,20,1,True
281,20,0,True
281,18,1,True
280,18,0,True
280,18,1,True
280,18,0,True
280,16,1,True
280,16,0,True
280,16,1,True
280,16,0,True
280,14,1,True
279,14,0,True
279,13,1,True
278,13,0,True
278,12,1,True
278,12,0,True
278,11,1,True
278,11,0,True
278,11,1,True
277,11,0,True
277,12,1,True
276,12,0,True
276,10,1,True
275,10,0,True
275,10,1,True
275,10,0,True
275,9,1,True
275,9,0,True
275,9,1,True
274,9,0,True
274,7,1,True
273,7,0,True
273,8,1,True
272,8,0,True
272,5,1,True
272,5,0,True
272,4,1,True
271,4,0,True
271,4,1,True
271,4,0,True
271,3,1,True
270,3,0,True
270,3,1,True
269,3,0,True
269,4,1,True
269,4,0,True
269,2,1,True
268,2,0,True
268,1,1,True
268,1,0,True
268,0,1,True
267,0,0,True
267,0,1,True
266,0,0,True
266,0,1,True
265,0,0,True
265,0,1,True
264,0,0,True
264,1,1,True
263,1,0,True
263,1,1,True
262,1,0,True
262,1,1,True
261,1,0,True
261,0,1,True
260,0,0,True
260,0,1,True
259,0,0,True
259,1,1,True
258,1,0,True
258,1,1,True
257,1,0,True
257,1,1,True
256,1,0,True
256,0,1,True
255,0,0,True
255,0,1,True
254,0,0,True
254,0,1,True
253,0,0,True
253,0,1,True
252,0,0,True
252,0,1,True
251,0,0,True
251,0,1,True
250,0,0,True
250,0,1,True
249,0,0,True
249,0,1,True
248,0,0,True
248,0,1,True
247,0,0,True
247,0,1,True
246,0,0,True
246,1,1,True
245,1,0,True
245,1,1,True
244,1,0,True
244,1,1,True
243,1,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,1,1,True
240,1,0,True
240,0,1,True
239,0,0,True
239,1,1,True
238,1,0,True
238,1,1,True
237,1,0,True
237,0,1,True
236,0,0,True
236,1,1,True
235,1,0,True
235,0,1,True
234,0,0,True
234,1,1,True
233,1,0,True
233,0,1,True
232,0,0,True
232,0,1,True
231,0,0,True
231,0,1,True
230,0,0,True
230,0,1,True
229,0,0,True
229,0,1,True
228,0,0,True
228,0,1,True
227,0,0,True
227,0,1,True
226,0,0,True
226,0,1,True
225,0,0,True
225,0,1,True
224,0,0,True
224,0,1,True
223,0,0,True
223,1,1,True
222,1,0,True
222,0,1,True
221,0,0,True
221,0,1,True
220,0,0,True
220,1,1,True
219,1,0,True
219,1,1,True
218,1,0,True
218,0,1,True
217,0,0,True
217,1,1,True
216,1,0,True
216,0,1,True
215,0,0,True
215,1,1,True
214,1,0,True
214,0,1,True
213,0,0,True
213,0,1,True
212,0,0,True
212,1,1,True
211,1,0,True
211,0,1,True
210,0,0,True
210,0,1,True
209,0,0,True
209,0,1,True
208,0,0,True
208,0,1,True
207,0,0,True
207,0,1,True
206,0,0,True
206,0,1,True
205,0,0,True
205,0,1,True
204,0,0,True
204,1,1,True
203,1,0,True
203,0,1,True
202,0,0,True
202,0,1,True
201,0,0,True
201,0,1,True
200,0,0,True
200,1,1,True
199,1,0,True
199,1,1,True
