d,pobs,turn,risk
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
298,29,0,1
298,29,1,1
297,29,0,1
297,28,1,1
297,28,0,1
297,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
296,29,0,1
296,28,1,1
296,28,0,1
296,29,1,1
295,29,0,1
295,28,1,1
295,28,0,1
295,29,1,1
294,29,0,1
294,29,1,1
293,29,0,1
293,28,1,1
293,28,0,1
293,29,1,1
292,29,0,1
292,29,1,1
292,29,0,1
292,29,1,1
291,29,0,1
291,29,1,1
291,29,0,1
291,28,1,1
290,28,0,1
290,28,1,1
289,28,0,1
289,28,1,1
288,28,0,1
288,29,1,1
287,29,0,1
287,29,1,1
287,29,0,1
287,29,1,1
286,29,0,1
286,29,1,1
285,29,0,1
285,29,1,1
285,29,0,1
285,29,1,1
284,29,0,1
284,29,1,1
284,29,0,1
284,29,1,1
284,29,0,1
284,27,1,1
283,27,0,1
283,28,1,1
282,28,0,14059667337949430632550849501685068585862519604901323034412454954755713966769903362522498078629229773461225663994243893783839224167779530327994829519320345481288159628533214237723140882623407496945314502848615512516479223040630042278012377090635544543447287494025841679488101791788633959368888735549960523110785133985590242337721821447943654141371341930158754750019268213783402703210685774602004983939279071066761054788427212298818991803299055458375790791201733870830911390593699581327554120595115181645969127166642468115231643408870551941562092644533697155460062537174385015575466074328856724303079020282320808473301986149976405565135090576436905358443764199565488306092032306731731940501295391249574187051342911821272622395241069108925361941525231121140213433244120980281591188977904313942093504058484764152677994123475324184722922011671148966960130688272629364186254686069532799078039725364862227450103804720600340860362541898846022970642289037252029388209810230464851518993443062779286490014339354053556821772713454970016989610892188741947609947671772673264602081263637900972134253068428660487662228976761842231416813594861579163477576781318559176032818333608896648746335536599295705484674551303691945706219295084060899/19884776188670733452214672915206638792738722680410082717417927399233520060849539309371491062438577656047048264198850216363312653262220706532663800322959099848186744850912591916556544741991385656243619344913167834510505698319301713705900391251491288371922617337111313894816149680470632934509412513281029147515857789980799264207602248992168050163244391267424571279008640717019306826459802289746141246507615314822471194972812035232754462193811869472817026953662276359716042123164802786891389997944753308277240471845993125019835280495146270171955544634508060388779848499102695885770093949186661679566547302573517993396448384455463051442877239117022145426145930810156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
282,29,1,1
