d,pobs,turn,risk
298,29,0,False
298,29,1,False
297,29,0,False
297,29,1,False
296,29,0,False
296,28,1,False
295,28,0,False
295,28,1,False
294,28,0,False
294,29,1,False
293,29,0,False
293,29,1,False
292,29,0,False
292,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
291,29,0,False
291,28,1,False
290,28,0,False
290,29,1,False
290,29,0,False
290,28,1,False
289,28,0,False
289,28,1,False
289,28,0,False
289,27,1,False
289,27,0,False
289,27,1,False
289,27,0,False
289,26,1,True
289,26,0,True
289,24,1,True
288,24,0,True
288,23,1,True
288,23,0,True
288,24,1,True
288,24,0,True
288,22,1,True
287,22,0,True
287,21,1,True
287,21,0,True
287,21,1,True
287,21,0,True
287,18,1,True
286,18,0,True
286,19,1,True
285,19,0,True
285,17,1,True
285,17,0,True
285,16,1,True
284,16,0,True
284,15,1,True
284,15,0,True
284,15,1,True
284,15,0,True
284,16,1,True
284,16,0,True
284,14,1,True
283,14,0,True
283,12,1,True
283,12,0,True
283,12,1,True
283,12,0,True
283,13,1,True
282,13,0,True
282,11,1,True
281,11,0,True
281,11,1,True
280,11,0,True
280,9,1,True
279,9,0,True
279,9,1,True
278,9,0,True
278,6,1,True
277,6,0,True
277,7,1,True
276,7,0,True
276,7,1,True
276,7,0,True
276,7,1,True
275,7,0,True
275,6,1,True
275,6,0,True
275,3,1,True
275,3,0,True
275,2,1,True
275,2,0,True
275,2,1,True
274,2,0,True
274,1,1,True
273,1,0,True
273,1,1,True
272,1,0,True
272,0,1,True
271,0,0,True
271,0,1,True
270,0,0,True
270,0,1,True
269,0,0,True
269,1,1,True
268,1,0,True
268,0,1,True
267,0,0,True
267,0,1,True
266,0,0,True
266,0,1,True
265,0,0,True
265,0,1,True
264,0,0,True
264,0,1,True
263,0,0,True
263,0,1,True
262,0,0,True
262,0,1,True
261,0,0,True
261,0,1,True
260,0,0,True
260,0,1,True
259,0,0,True
259,1,1,True
258,1,0,True
258,0,1,True
257,0,0,True
257,1,1,True
256,1,0,True
256,0,1,True
255,0,0,True
255,0,1,True
254,0,0,True
254,0,1,True
253,0,0,True
253,1,1,True
252,1,0,True
252,0,1,True
251,0,0,True
251,0,1,True
250,0,0,True
250,0,1,True
249,0,0,True
249,0,1,True
248,0,0,True
248,1,1,True
247,1,0,True
247,0,1,True
246,0,0,True
246,0,1,True
245,0,0,True
245,1,1,True
244,1,0,True
244,1,1,True
243,1,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,0,1,True
240,0,0,True
240,1,1,True
239,1,0,True
239,1,1,True
238,1,0,True
238,0,1,True
237,0,0,True
237,1,1,True
236,1,0,True
236,0,1,True
235,0,0,True
235,1,1,True
234,1,0,True
234,0,1,True
233,0,0,True
233,0,1,True
232,0,0,True
232,1,1,True
231,1,0,True
231,0,1,True
230,0,0,True
230,1,1,True
229,1,0,True
229,0,1,True
228,0,0,True
228,0,1,True
227,0,0,True
227,0,1,True
226,0,0,True
226,1,1,True
225,1,0,True
225,0,1,True
224,0,0,True
224,0,1,True
223,0,0,True
223,0,1,True
222,0,0,True
222,0,1,True
221,0,0,True
221,1,1,True
220,1,0,True
220,0,1,True
219,0,0,True
219,0,1,True
218,0,0,True
218,0,1,True
217,0,0,True
217,1,1,True
216,1,0,True
216,1,1,True
215,1,0,True
215,0,1,True
214,0,0,True
214,0,1,True
213,0,0,True
213,0,1,True
212,0,0,True
212,1,1,True
211,1,0,True
211,1,1,True
210,1,0,True
210,0,1,True
209,0,0,True
209,0,1,True
208,0,0,True
208,0,1,True
207,0,0,True
207,0,1,True
206,0,0,True
206,0,1,True
205,0,0,True
205,0,1,True
204,0,0,True
204,0,1,True
203,0,0,True
203,0,1,True
202,0,0,True
202,0,1,True
201,0,0,True
201,1,1,True
200,1,0,True
200,0,1,True
199,0,0,True
199,1,1,True
198,1,0,True
198,0,1,True
197,0,0,True
197,1,1,True
196,1,0,True
196,0,1,True
195,0,0,True
195,0,1,True
