d,pobs,turn,risk
298,29,0,1
298,29,1,1
297,29,0,1
297,29,1,1
297,29,0,1
297,29,1,1
296,29,0,1
296,29,1,1
295,29,0,1
295,29,1,1
294,29,0,1
294,29,1,1
294,29,0,1
294,27,1,1
294,27,0,1
294,26,1,2280703096156316640713697116455570016748863468223858192287614464994833934884774045812929180326865492269909818994120456308818181850673707412828309807970145670400898619565065139765751718417548392707357690098672880184380638327587853395988346182964730837447255057917203585156271868463498369257432308459352707143301340181088031091837578154775148300084481208738563612339118787110831773188051580489046534022871085127955778189672063050842031922286326729589374526007002795612678920453081221631692413184584456056179411003227239136607641122220342976384474278440614016497548450725467950679744301731679922239285682561766968050164578600101415502430024703997466392592958795666404909107475826876641365679503587494621756360121319109377872615865000082616720617284464300771337905267772879170740016486608995490162577228486824040620613038958080080463984759793738983068976297730226680454022760617480682632850065955940053152708282277585883383402138402393399720976925986411521905687650008148202178889745984585928709323700357346447244529900449818748555308899320247329896234517556183925746071287/32146748815526519219245569455345440026890431535936232195102271786639612408462853030991394742985246841792472765733244745588462374576140879174698660964703770602432226051141882034286617693279379030621383801275929752561735339203491695315783199499935266584434809297698965408286942056173255361715603501082010393308668170667048234173129107015795349369853764325105938715285893280779226160589545134334027528689650341100429567807824359280516041412110924905457155444700820207284499429799220854948668179710409945744798750796277533190624693449845661199783631048737063787482812344026769464278453083763484940667147743769250208813408164359712808947673329610427670954029796233238172289206992935034615875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
