d,pobs,turn,risk
298,29,0,0.99609375
298,29,1,0.99609375
297,29,0,0.99609375
297,29,1,0.99609375
297,29,0,0.99609375
297,29,1,0.99609375
296,29,0,0.99609375
296,29,1,0.99609375
295,29,0,0.99609375
295,29,1,0.99609375
294,29,0,0.99609375
294,29,1,0.99609375
294,29,0,0.99609375
294,27,1,0.99609375
294,27,0,0.99609375
294,26,1,7.076708415279273e-203
293,26,0,6.917233296061712e-203
293,25,1,2.3485203103523644e-204
292,25,0,2.2986843355968765e-204
292,25,1,2.3485203103523644e-204
292,25,0,5.257695336703967e-204
292,25,1,6.653102629857626e-204
292,25,0,5.307531311459455e-204
292,24,1,7.455929035684313e-206
292,24,0,5.197736429576271e-206
292,23,1,6.965599498905466e-208
291,23,0,1.5756246901454285e-207
291,22,1,2.0056516024413936e-209
290,22,0,4.581630674771335e-209
290,21,1,5.510195086683627e-211
289,21,0,1.2654140738152158e-210
289,19,1,1.0914393643471586e-214
289,19,0,3.2725050708415637e-215
289,19,1,3.3268957368389304e-215
289,19,0,7.650953683629584e-215
289,21,1,1.0914393643471586e-214
288,21,0,2.5164748134781664e-214
288,20,1,8.231120787601495e-215
288,20,0,2.5164748134781664e-214
288,18,1,1.467414843053956e-216
288,18,0,7.620358934006065e-217
288,18,1,7.733672821500579e-217
287,18,0,5.91498492721363e-216
287,17,1,5.647989079804681e-218
286,17,0,1.3137328831395214e-217
286,14,1,3.7316037917565687e-224
285,14,0,8.814014385958954e-224
285,14,1,7.125505882901683e-224
285,14,0,8.814014385958954e-224
285,13,1,6.252758050383956e-226
284,13,0,6.199992159663417e-226
284,12,1,9.769934453724932e-228
283,12,0,9.605041045223245e-228
283,10,1,5.359237062203865e-232
282,10,0,1.2831976064431789e-231
282,10,1,1.0416545275832864e-231
282,10,0,1.2831976064431789e-231
282,10,1,1.0416545275832864e-231
281,10,0,4.367904009383056e-231
281,7,1,1.8176325384415047e-238
280,7,0,4.4031098455975725e-238
280,7,1,3.539284480793689e-238
279,7,0,1.511694388406796e-237
279,6,1,5.042730536724059e-240
279,6,0,1.466890946091664e-240
279,5,1,1.0141992613503168e-242
278,5,0,1.0141992613503168e-242
278,5,1,1.0141992613503168e-242
277,5,0,8.640831251937717e-242
277,3,1,2.6704932639081463e-247
276,3,0,2.6481460399423878e-247
276,3,1,2.6704932639081463e-247
276,3,0,6.592431069898771e-247
276,3,1,8.246125643364904e-247
276,3,0,6.592431069898771e-247
276,3,1,5.2515976319532584e-247
276,3,0,6.592431069898771e-247
276,1,1,5.860792723258591e-253
275,1,0,5.860792723258591e-253
275,0,1,6.597554308497775e-256
274,0,0,2.3060221368503263e-255
274,0,1,1.461035685982788e-255
273,0,0,8.158489870445198e-255
273,0,1,3.9460451006030854e-255
272,0,0,2.8637964443195388e-254
272,1,1,1.519310613628825e-255
271,1,0,1.0203107331854729e-253
271,1,1,8.699614198586971e-256
270,1,0,3.6336914884203264e-253
270,0,1,2.4891719094521572e-255
269,0,0,1.300030385886451e-252
269,0,1,7.425890780037874e-255
268,0,0,4.654535020944277e-252
268,0,1,3.103556146634663e-254
267,0,0,1.6708587254671765e-251
267,1,1,1.0622686810906196e-254
266,1,0,6.0287310747468735e-251
266,1,1,5.411243281417733e-255
265,1,0,2.1932578208581386e-250
265,0,1,1.6716579244748936e-254
264,0,0,7.965563229982294e-250
264,0,1,5.35463335170444e-254
263,0,0,2.906884992420936e-249
263,0,1,2.1844772877600203e-253
262,0,0,1.0649848921181807e-248
262,1,1,7.485830705616655e-254
261,1,0,3.924731208986345e-248
261,0,1,2.887772414551051e-253
260,0,0,1.446982751782866e-247
260,1,1,1.0922386438800101e-253
259,1,0,5.38568097574781e-247
259,1,1,5.021633765155656e-254
258,1,0,1.9933723777456623e-246
258,1,1,2.2577371968007527e-254
257,1,0,7.472911694149658e-246
257,1,1,9.956687637808629e-255
256,1,0,2.7960846625957093e-245
256,0,1,3.583075551264911e-254
255,0,0,1.0497831930154735e-244
255,1,1,1.5517780733173315e-254
254,1,0,3.9702971986525264e-244
254,1,1,6.543441875683597e-255
253,1,0,1.5057380730336383e-243
253,0,1,2.470856932191974e-254
252,0,0,5.730042758170563e-243
252,0,1,9.084228721050816e-254
251,0,0,2.1894987663808284e-242
251,1,1,3.76955531973223e-254
250,1,0,8.406503624766525e-242
250,1,1,1.5384580898553801e-254
249,1,0,3.2220048736038946e-241
249,0,1,5.887432690182494e-254
248,0,0,1.2419364240073194e-240
248,1,1,2.3776170479583147e-254
247,1,0,4.817776014639714e-240
247,0,1,9.190788588746427e-254
246,0,0,1.8821195014390168e-239
246,0,1,3.463195700107349e-253
245,0,0,7.348514388088592e-239
245,0,1,1.2744560176395045e-252
244,0,0,2.8914154571907765e-238
244,0,1,4.552237547956491e-252
243,0,0,1.1373700636584465e-237
243,0,1,1.5890207470769474e-251
242,0,0,4.511088016198058e-237
242,0,1,5.4831445521453465e-251
241,0,0,1.789078311104932e-236
241,0,1,1.8495383116191766e-250
240,0,0,7.094885662922563e-236
240,1,1,7.229021424470233e-251
239,1,0,2.862525297767891e-235
239,1,1,2.8234102544629023e-251
238,1,0,1.1450101191071564e-234
238,0,1,1.0120629994258326e-250
237,0,0,4.6193541285868113e-234
237,0,1,3.5463123969099256e-250
236,0,0,1.879192573161273e-233
236,0,1,1.2264785028082327e-249
235,0,0,7.642573979551286e-233
235,0,1,4.1726457248564786e-249
234,0,0,3.107351066582992e-232
234,0,1,1.4176520203278078e-248
233,0,0,1.2731333114906834e-231
233,0,1,4.7906861376594884e-248
232,0,0,5.253561965202662e-231
232,0,1,1.614586931526055e-247
231,0,0,2.181939145701029e-230
231,1,1,5.894080320968817e-248
230,1,0,9.049814021283972e-230
230,1,1,2.1579038141935596e-248
229,1,0,3.77451317898392e-229
229,1,1,7.926281000354984e-249
228,1,0,1.581946137813056e-228
228,1,1,2.924343761144185e-249
227,1,0,6.657571368255597e-228
227,0,1,1.120852952032577e-248
226,0,0,2.8114326149537567e-227
226,0,1,4.176137478601128e-248
225,0,0,1.1905304093821773e-226
225,0,1,1.5363716476459e-247
224,0,0,5.078716981851948e-226
224,1,1,5.5728389764610375e-248
223,1,0,2.1634015195421284e-225
223,0,1,2.0727050228241052e-247
222,0,0,9.329009479391422e-225
222,0,1,7.53101447646063e-247
221,0,0,4.0355353223068775e-224
221,0,1,2.708483544649936e-246
220,0,0,1.7492948091673327e-223
220,0,1,9.689756311552906e-246
219,0,0,7.59153422974549e-223
219,0,1,3.4468358244785982e-245
218,0,0,3.317581506806926e-222
218,0,1,1.218549428404882e-244
217,0,0,1.4567100557575688e-221
217,0,1,4.313550558766578e-244
216,0,0,6.4147113434546945e-221
216,0,1,1.5331983418427624e-243
215,0,0,2.8356136396942585e-220
215,0,1,5.473746915952071e-243
214,0,0,1.267035167785337e-219
214,0,1,1.955171139209636e-242
213,0,0,5.6435627560744266e-219
213,0,1,7.059119768532169e-242
212,0,0,2.5407098211660556e-218
212,0,1,2.542454754807437e-241
211,0,0,1.1437620518977505e-217
211,0,1,9.209075747827859e-241
210,0,0,5.198274588810829e-217
210,0,1,3.3461985160046266e-240
209,0,0,2.368260248635342e-216
209,1,1,1.0263550070098224e-240
208,1,0,1.0832807644475536e-215
208,0,1,3.8429730856075543e-240
207,0,0,4.949550605760371e-215
207,0,1,1.4434581833745448e-239
206,0,0,2.2989121494886996e-214
206,1,1,4.367866970471025e-240
205,1,0,1.0646066357884577e-213
205,0,1,1.6721619474936285e-239
204,0,0,4.9430237258406866e-213
204,0,1,6.388708427195388e-239
203,0,0,2.3113857422240957e-212
203,0,1,2.4115124767441746e-238
202,0,0,1.0879293533681286e-211
202,0,1,9.142151777507766e-238
201,0,0,5.153740418003285e-211
201,0,1,3.464899518824466e-237
200,0,0,2.4357735693156735e-210
200,0,1,1.30917533065833e-236
199,0,0,1.1644185843557854e-209
199,0,1,4.99099099664466e-236
198,0,0,5.570198289244818e-209
198,0,1,1.8981122682624e-235
197,0,0,2.6843412916087657e-208
197,0,1,7.248454616665475e-235
196,0,0,1.295784011586781e-207
196,0,1,2.781440890191633e-234
195,0,0,6.302498760581714e-207
195,0,1,1.0732627039184676e-233
194,0,0,3.085547655759696e-206
194,0,1,4.135796207041128e-233
193,0,0,1.5145464203034976e-205
193,0,1,1.616577376744593e-232
192,0,0,7.5065436975453556e-205
192,0,1,6.265023607928462e-232
191,0,0,3.725239112972716e-204
