d,pobs,turn,risk
298,29,0,False
298,29,1,False
297,29,0,False
297,29,1,False
296,29,0,False
296,28,1,False
295,28,0,False
295,28,1,False
294,28,0,False
294,29,1,False
293,29,0,False
293,29,1,False
292,29,0,False
292,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
291,29,0,False
291,28,1,False
290,28,0,False
290,29,1,False
290,29,0,False
290,28,1,False
289,28,0,False
289,28,1,False
289,28,0,False
289,27,1,False
289,27,0,False
289,27,1,False
289,27,0,
