d,pobs,turn,risk
298,29,0,1.0
298,29,1,1.0
297,29,0,1.0
297,29,1,1.0
297,29,0,1.0
297,29,1,1.0
296,29,0,1.0
296,29,1,1.0
296,29,0,1.0
296,28,1,1.0
296,28,0,1.0
296,29,1,1.0
296,29,0,1.0
296,29,1,1.0
295,29,0,1.0
295,29,1,1.0
294,29,0,1.0
294,29,1,1.0
293,29,0,1.0
293,29,1,1.0
293,29,0,1.0
293,29,1,1.0
293,29,0,1.0
293,29,1,1.0
292,29,0,1.0
292,29,1,1.0
291,29,0,1.0
291,29,1,1.0
290,29,0,1.0
290,29,1,1.0
289,29,0,1.0
289,29,1,1.0
288,29,0,1.0
288,28,1,1.0
287,28,0,1.0
287,28,1,1.0
286,28,0,1.0
286,29,1,1.0
286,29,0,1.0
286,28,1,1.0
286,28,0,1.0
286,27,1,1.0
285,27,0,
