d,pobs,turn,risk
298,29,0,False
298,29,1,False
297,29,0,False
297,29,1,False
297,29,0,False
297,29,1,False
296,29,0,False
296,29,1,False
296,29,0,False
296,28,1,False
296,28,0,False
296,29,1,False
296,29,0,False
296,29,1,False
295,29,0,False
295,29,1,False
294,29,0,False
294,29,1,False
293,29,0,False
293,29,1,False
293,29,0,False
293,29,1,False
293,29,0,False
293,29,1,False
292,29,0,False
292,29,1,False
291,29,0,False
291,29,1,False
290,29,0,False
290,29,1,False
289,29,0,False
289,29,1,False
288,29,0,False
288,28,1,False
287,28,0,False
287,28,1,False
286,28,0,False
286,29,1,False
286,29,0,False
286,28,1,False
286,28,0,False
286,27,1,False
285,27,0,False
285,29,1,False
284,29,0,False
284,28,1,False
284,28,0,False
284,27,1,False
283,27,0,False
283,25,1,True
282,25,0,True
282,24,1,True
281,24,0,True
281,25,1,True
280,25,0,True
280,26,1,True
279,26,0,True
279,23,1,True
278,23,0,True
278,25,1,True
277,25,0,True
277,23,1,True
277,23,0,True
277,23,1,True
277,23,0,True
277,24,1,True
276,24,0,True
276,22,1,True
275,22,0,True
275,22,1,True
274,22,0,True
274,21,1,True
274,21,0,True
274,19,1,True
274,19,0,True
274,17,1,True
273,17,0,True
273,18,1,True
272,18,0,True
272,15,1,True
272,15,0,True
272,15,1,True
271,15,0,True
271,14,1,True
270,14,0,True
270,13,1,True
270,13,0,True
270,13,1,True
270,13,0,True
270,11,1,True
269,11,0,True
269,11,1,True
269,11,0,True
269,10,1,True
269,10,0,True
269,9,1,True
269,9,0,True
269,8,1,True
269,8,0,True
269,7,1,True
268,7,0,True
268,7,1,True
267,7,0,True
267,6,1,True
266,6,0,True
266,6,1,True
265,6,0,True
265,5,1,True
265,5,0,True
265,4,1,True
265,4,0,True
265,2,1,True
265,2,0,True
265,0,1,True
264,0,0,True
264,1,1,True
263,1,0,True
263,0,1,True
262,0,0,True
262,0,1,True
261,0,0,True
261,0,1,True
260,0,0,True
260,1,1,True
259,1,0,True
259,1,1,True
258,1,0,True
258,0,1,True
257,0,0,True
257,0,1,True
256,0,0,True
256,0,1,True
255,0,0,True
255,0,1,True
254,0,0,True
254,0,1,True
253,0,0,True
253,1,1,True
252,1,0,True
252,0,1,True
251,0,0,True
251,0,1,True
250,0,0,True
250,0,1,True
249,0,0,True
249,0,1,True
248,0,0,True
248,0,1,True
247,0,0,True
247,0,1,True
246,0,0,True
246,1,1,True
245,1,0,True
245,0,1,True
244,0,0,True
244,0,1,True
243,0,0,True
243,0,1,True
242,0,0,True
242,0,1,True
241,0,0,True
241,1,1,True
240,1,0,True
240,0,1,
