d,pobs,turn,risk
298,29,0,1.0
298,29,1,0.9865494746905381
297,29,0,1.0
297,29,1,0.9967538707499054
297,29,0,1.0
297,29,1,0.9967538707499054
296,29,0,1.0
296,29,1,0.9967939695313806
296,29,0,1.0
296,28,1,0.9959662746997162
296,28,0,1.0
296,29,1,0.9967939695313804
296,29,0,1.0
296,29,1,0.9967939695313804
295,29,0,1.0000000000000002
295,29,1,0.9968337548338592
294,29,0,1.0
294,29,1,0.9968732269610416
293,29,0,1.0
293,29,1,0.9969123862394222
293,29,0,1.0
293,29,1,0.996912386239422
293,29,0,1.0
293,29,1,0.996912386239422
292,29,0,1.0
292,29,1,0.9969512330181602
291,29,0,1.0
291,29,1,0.9969897676689541
290,29,0,1.0
290,29,1,0.9970279905859087
289,29,0,1.0000000000000002
289,29,1,0.9970659021854051
288,29,0,1.0
288,28,1,0.9964308060876064
287,28,0,1.0
287,28,1,0.9905718150989348
286,28,0,1.0
286,29,1,0.9971777735742416
286,29,0,1.0
286,28,1,0.9965396896375692
286,28,0,1.0
286,27,1,0.9825673730339981
285,27,0,0.704046822742475
285,29,1,0.965588128426238
284,29,0,0.7050501672240802
284,28,1,0.9821761270205663
284,28,0,0.7050501672240802
284,27,1,0.9821761270205663
283,27,0,0.7060535117056856
283,25,1,3.2092045854628345e-199
282,25,0,3.250009355331815e-199
282,24,1,1.0899034500171373e-200
281,24,0,1.0768710876775293e-200
281,25,1,3.5592703272823195e-200
280,25,0,8.819446295014429e-200
280,26,1,1.1956317213284102e-199
279,26,0,2.977016913070108e-199
279,23,1,3.563586579943199e-201
278,23,0,9.569406309468776e-201
278,25,1,1.2935978549282184e-200
277,25,0,3.255514129512423e-200
277,23,1,2.5682874475913914e-200
277,23,0,1.3118273378012408e-200
277,23,1,1.315040101267386e-200
277,23,0,3.2436735495965015e-200
277,24,1,2.7512786602034536e-200
276,24,0,1.1112503648423162e-199
276,22,1,1.3904553703995195e-201
275,22,0,1.3742688965760607e-201
275,22,1,1.375842548354701e-201
274,22,0,1.1806707801730157e-200
274,21,1,1.2793710655339544e-202
274,21,0,1.0141070142115541e-202
274,19,1,8.473415219071018e-207
274,19,0,2.5189493345468044e-207
274,17,1,4.174217002136285e-211
273,17,0,1.0773497583857565e-210
273,18,1,3.0253979169461037e-211
272,18,0,3.752904257257997e-210
272,15,1,1.8984710370058106e-214
272,15,0,1.4153088237563763e-214
272,15,1,1.1051853757080685e-214
271,15,0,4.95781344927105e-214
271,14,1,3.768128473500559e-216
270,14,0,3.7513013756198225e-216
270,13,1,6.762627717569355e-218
270,13,0,1.915545364484227e-218
270,13,1,1.898169588429243e-218
270,13,0,4.903442570336505e-218
270,11,1,1.3202870651338447e-222
269,11,0,1.3626959777025522e-222
269,11,1,1.3474021751947443e-222
269,11,0,3.5056961063059625e-222
269,10,1,1.704997421415777e-224
269,10,0,1.3691736826452554e-224
269,9,1,5.996713560488007e-227
269,9,0,4.815723712366991e-227
269,8,1,1.880339026795542e-229
269,8,0,1.5100718884384169e-229
269,7,1,5.1912953855666346e-232
268,7,0,1.4877535962611508e-231
268,7,1,1.9877438390012546e-231
267,7,0,5.327952208604264e-231
267,6,1,1.582233921330776e-233
266,6,0,4.5948394001064225e-233
266,6,1,6.12023057817556e-233
265,6,0,1.658916543463983e-232
265,5,1,4.168288353784882e-235
265,5,0,3.382294250877293e-235
265,4,1,7.013305635723309e-238
265,4,0,5.691008636301947e-238
265,2,1,9.958375724411024e-244
265,2,0,2.861077824917236e-244
265,0,1,2.1110316479019564e-250
264,0,0,5.782511993580087e-250
264,1,1,1.4559136335630752e-250
263,1,0,2.892689785990568e-249
263,0,1,3.4807179455774274e-250
262,0,0,9.85273437183751e-249
262,0,1,8.814993140229763e-250
261,0,0,2.9763191116570896e-248
261,0,1,1.5412731083609342e-249
260,0,0,6.8078778783851244e-248
260,1,1,4.2793376414553764e-250
259,1,0,1.634027212470655e-247
259,1,1,1.268262797613847e-250
258,1,0,3.53719763903207e-247
258,0,1,1.0912589845867959e-250
257,0,0,3.692369413678571e-247
257,0,1,8.52555414685906e-251
256,0,0,3.541711339704972e-247
256,0,1,6.488571884595383e-251
255,0,0,3.334376659178673e-247
255,0,1,4.958471719584106e-251
254,0,0,3.1645757714927945e-247
254,0,1,3.813874242655581e-251
253,0,0,3.027091370248866e-247
253,1,1,8.605824349402459e-252
252,1,0,5.691259703997341e-247
252,0,1,6.6105595745911565e-252
251,0,0,5.303054499885771e-247
251,0,1,5.114040897609074e-252
250,0,0,5.0138419092667963e-247
250,0,1,3.9830724432230327e-252
249,0,0,4.7929969336696674e-247
249,0,1,3.1219123250993777e-252
248,0,0,4.6200712091680704e-247
248,0,1,2.4613733295540797e-252
247,0,0,4.481397990292837e-247
247,0,1,1.9511377366531181e-252
246,0,0,4.3678170536052686e-247
246,1,1,3.967787067550265e-253
245,1,0,8.52760360574238e-247
245,0,1,3.1330760851749054e-253
244,0,0,8.092496502047403e-247
244,0,1,2.4873993805661612e-253
243,0,0,7.775383514577945e-247
243,0,1,1.984605934527459e-253
242,0,0,7.540690798831961e-247
242,0,1,1.5906108504241332e-253
241,0,0,7.364630509773736e-247
241,1,1,3.1055293677577927e-254
240,1,0,1.4901709326839411e-246
240,0,1,2.478667787713286e-254
239,0,0,1.4188521045643132e-246
239,0,1,1.9875451977005774e-254
238,0,0,1.3693446210197447e-246
238,0,1,1.6004655007958086e-254
237,0,0,1.3350937060033157e-246
237,1,1,3.067736795576068e-255
236,1,0,2.786435481289526e-246
236,0,1,2.48431695446605e-255
235,0,0,2.652947685303694e-246
235,1,1,4.834396025504862e-256
234,1,0,5.765441202168927e-246
234,1,1,9.736280486739094e-257
233,1,0,1.2752083248331582e-245
233,0,1,7.707078616703973e-257
232,0,0,1.1585731723090789e-245
232,1,1,1.5714965346255222e-257
231,1,0,2.6202033433759466e-245
231,0,1,1.2401898207345313e-257
230,0,0,2.3356036526642945e-245
230,0,1,9.845925141894013e-258
229,0,0,2.1478307081860278e-245
229,1,1,1.9855710982789183e-258
228,1,0,4.9424367162224485e-245
228,1,1,4.1416319493871716e-259
227,1,0,1.179975722275732e-244
227,0,1,3.2513204023980734e-259
226,0,0,1.0425910439921469e-244
226,0,1,2.5687550245363654e-259
225,0,0,9.353687500647959e-245
225,0,1,2.0417676263282144e-259
224,0,0,8.732542334570153e-245
224,0,1,1.63208626045609e-259
223,0,0,8.353757913717267e-245
223,0,1,1.311468237756236e-259
222,0,0,8.145202190313959e-245
222,1,1,2.5252527448439147e-260
221,1,0,1.9220416161644956e-244
221,1,1,5.037665936758268e-261
220,1,0,4.604124537463623e-244
220,0,1,3.9986476853496058e-261
219,0,0,4.2513542083600063e-244
219,1,1,8.059674558947495e-262
218,1,0,1.0612531464963918e-243
218,1,1,1.6769343510044532e-262
217,1,0,2.716319995721616e-243
217,0,1,1.3185632742999298e-262
216,0,0,2.3724660473194037e-243
216,0,1,1.0434879148451548e-262
215,0,0,2.170598892632933e-243
215,0,1,8.308965352191256e-263
214,0,0,2.0699966564354674e-243
214,1,1,1.654192339588973e-263
213,1,0,5.189647435746382e-243
213,1,1,3.399748061117914e-264
212,1,0,1.3595425669007142e-242
212,0,1,2.6821443147425397e-264
211,0,0,1.225213634831965e-242
211,0,1,2.1295069554227486e-264
210,0,0,1.1437823657826484e-242
210,0,1,1.7010343909661773e-264
209,0,0,1.100060683816299e-242
209,0,1,1.3666030019830835e-264
208,0,0,1.0836536729906857e-242
208,0,1,1.1038569351655198e-264
207,0,0,1.0874807882040464e-242
207,0,1,8.96113674668751e-265
206,0,0,1.1067610371532985e-242
206,0,1,7.308522272296291e-265
205,0,0,1.1495868804632856e-242
205,0,1,5.98618323958317e-265
204,0,0,1.19177812727354e-242
204,0,1,4.9222882796808573e-265
203,0,0,1.2308386363059364e-242
203,0,1,4.061913799045812e-265
202,0,0,1.2898691629179728e-242
202,1,1,6.991206348239996e-266
201,1,0,3.379855579155203e-242
201,0,1,5.744675223560458e-266
200,0,0,3.4588838058895796e-242
200,0,1,4.7383651852473595e-266
199,0,0,3.583723383060392e-242
199,0,1,3.9218924480388686e-266
198,0,0,3.747606734326958e-242
198,0,1,3.2563458328560354e-266
197,0,0,3.9465760786864885e-242
197,0,1,2.7114825778076228e-266
