start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,True
True,True,8,8,0,0,0,0,True
True,False,8,8,0,0,0,0,True
True,True,7,8,0,0,0,0,True
True,False,7,8,0,1,0,0,True
True,True,6,8,0,1,0,0,True
True,False,6,8,0,1,0,0,True
True,True,6,9,0,1,0,0,True
True,False,6,9,1,1,0,0,True
True,True,6,8,1,1,0,0,True
True,False,6,8,2,1,0,0,True
True,True,5,8,2,1,0,0,True
True,False,5,8,2,1,0,0,True
True,True,4,8,2,1,0,0,True
True,False,4,8,3,1,0,0,False
True,True,4,9,3,1,0,0,True
True,False,4,9,3,1,0,0,True
True,True,4,8,3,1,0,0,True
True,False,4,8,4,1,0,0,True
True,True,5,8,4,1,0,0,False
True,False,5,8,4,0,0,0,True
True,True,5,9,4,0,0,0,True
True,False,5,9,4,0,0,0,True
True,True,4,9,4,0,0,0,True
True,False,4,9,4,0,0,0,True
True,True,4,9,4,0,0,0,True
True,False,4,9,4,0,0,0,True
True,True,4,8,4,0,0,0,True
True,False,4,8,4,0,0,0,True
True,True,4,9,4,0,0,0,True
True,False,4,9,4,0,0,0,True
True,True,4,8,4,0,0,0,True
True,False,4,8,4,1,0,0,True
True,True,3,8,4,1,0,0,False
True,False,3,8,4,1,0,0,True
True,True,3,9,4,1,0,0,True
True,False,3,9,4,0,0,0,True
True,True,4,9,4,0,0,0,True
True,False,4,9,4,0,0,0,True
True,True,4,8,4,0,0,0,True
True,False,4,8,4,0,0,0,True
True,True,5,8,4,0,0,0,True
True,False,5,8,3,0,0,0,True
True,True,6,8,3,0,0,0,True
True,False,6,8,3,0,0,0,True
True,True,6,7,3,0,0,0,True
True,False,6,7,3,0,0,0,True
True,True,6,6,3,0,0,0,True
True,False,6,6,3,0,0,0,True
True,True,6,5,3,0,0,0,True
True,False,6,5,3,0,0,0,False
True,True,6,6,3,0,0,0,True
True,False,6,6,3,0,0,0,True
True,True,6,5,3,0,0,0,True
True,False,6,5,3,0,0,0,False
True,True,6,4,3,0,0,0,False
True,False,6,4,3,1,0,0,False
True,True,7,4,3,1,0,0,False
True,False,7,4,3,2,0,0,False
True,True,7,3,3,2,0,0,False
True,False,7,3,3,3,0,0,False
True,True,6,3,3,3,0,0,False
True,False,6,3,3,4,0,0,False
True,True,7,3,3,4,0,0,False
True,False,7,3,3,4,0,0,False
True,True,7,4,3,4,0,0,False
True,False,7,4,3,4,0,0,False
True,True,7,5,3,4,0,0,False
True,False,7,5,3,4,0,0,False
True,True,7,6,3,4,0,0,False
True,False,7,6,4,4,0,0,False
True,True,6,6,4,4,0,0,False
True,False,6,6,4,4,0,0,False
True,True,6,5,4,4,0,0,False
True,False,6,5,4,5,0,0,False
True,True,6,6,4,5,0,0,False
True,False,6,6,4,6,0,0,False
True,True,5,6,4,6,0,0,False
True,False,5,6,4,6,0,0,False
True,True,5,7,4,6,0,0,False
True,False,5,7,4,6,0,0,False
True,True,6,7,4,6,0,0,False
True,False,6,7,5,6,0,0,False
True,True,6,6,5,6,0,0,False
True,False,6,6,5,6,0,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
True,True,5,6,5,6,1,0,False
