start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,9,9,0,0,0,0,0
True,False,9,9,1,0,0,0,0
True,True,9,9,1,0,0,0,0
True,False,9,9,2,0,0,0,0
True,True,9,9,2,0,0,0,0
True,False,9,9,2,1,0,0,0
True,True,9,9,2,1,0,0,0
True,False,9,9,3,1,0,0,0
True,True,9,9,3,1,0,0,0
True,False,9,9,4,1,0,0,0
True,True,9,8,4,1,0,0,11623/67545864
True,False,9,8,4,1,0,0,99/245021
True,True,9,9,4,1,0,0,0
True,False,9,9,4,2,0,0,2775/1925126
True,True,9,9,4,2,0,0,2775/1925126
True,False,9,9,4,3,0,0,249/62000
True,True,8,9,4,3,0,0,2217/122876
True,False,8,9,4,4,0,0,246/8645
True,True,8,8,4,4,0,0,1027/26368
True,False,8,8,4,4,0,0,235/9204
True,True,8,9,4,4,0,0,787/48664
True,False,8,9,4,5,0,0,1065/22684
True,True,8,9,4,5,0,0,415/8201
True,False,8,9,4,5,0,0,249/7750
True,True,8,9,4,5,0,0,239/6800
True,False,8,9,5,5,0,0,1785/16256
True,True,8,8,5,5,0,0,795/5852
True,False,8,8,5,5,0,0,1139/11583
True,True,8,7,5,5,0,0,404/2325
True,False,8,7,5,5,0,0,1885/11844
True,True,8,8,5,5,0,0,1827/17030
True,False,8,8,6,5,0,0,217/872
True,True,7,8,6,5,0,0,221/540
True,False,7,8,6,5,0,0,237/1003
True,True,7,7,6,5,0,0,419/1155
True,False,7,7,5,5,0,0,274/975
True,True,8,7,5,5,0,0,5625/35156
True,False,8,7,5,5,0,0,1885/11844
True,True,9,7,5,5,0,0,2403/17822
True,False,9,7,6,5,0,0,254/935
True,True,9,8,6,5,0,0,1067/5992
True,False,9,8,6,5,0,0,1036/8385
True,True,8,8,6,5,0,0,10383/57040
True,False,8,8,6,5,0,0,4495/26726
True,True,8,9,6,5,0,0,2295/16256
True,False,8,9,6,5,0,0,843/6580
True,True,8,8,6,5,0,0,10383/57040
True,False,8,8,6,5,0,0,4495/26726
True,True,7,8,6,5,0,0,1339/5152
True,False,7,8,6,4,0,0,2337/22310
True,True,8,8,6,4,0,0,1775/21004
True,False,8,8,6,4,0,0,233/2262
True,True,7,8,6,4,0,0,391/2184
True,False,7,8,6,4,0,0,2009/13728
True,True,8,8,6,4,0,0,1577/13816
True,False,8,8,7,4,0,0,7345/24522
True,True,9,8,7,4,0,0,3079/10712
True,False,9,8,7,4,0,0,2349/17030
True,True,9,8,7,4,0,0,4643/30192
True,False,9,8,6,4,0,0,1044/8515
True,True,9,8,6,4,0,0,2349/17030
True,False,9,8,6,5,0,0,323/1932
True,True,8,8,6,5,0,0,2135/7752
True,False,8,8,6,5,0,0,4495/26726
True,True,9,8,6,5,0,0,269/2010
True,False,9,8,6,5,0,0,1036/8385
True,True,9,8,6,5,0,0,269/2010
True,False,9,8,6,5,0,0,1036/8385
True,True,9,8,6,5,0,0,269/2010
True,False,9,8,6,5,0,0,1036/8385
True,True,9,9,6,5,0,0,209/2184
True,False,9,9,6,5,0,0,367/4209
True,True,9,9,6,5,0,0,209/2184
True,False,9,9,7,5,0,0,6181/19592
True,True,9,8,7,5,0,0,419/1155
True,False,9,8,8,5,0,0,957/1696
True,True,9,9,8,5,0,0,4385/7952
True,False,9,9,8,5,0,0,4847/17480
True,True,8,9,8,5,0,0,7513/25610
True,False,8,9,8,5,0,0,1229/4795
True,True,9,9,8,5,0,0,311/992
True,False,9,9,8,5,0,0,4847/17480
True,True,8,9,8,5,0,0,7513/25610
True,False,8,9,9,5,0,0,605/1376
True,True,9,9,9,5,0,0,342/539
True,False,9,9,9,5,0,0,947/2950
True,True,9,8,9,5,0,0,2311/3294
True,False,9,8,9,5,0,0,117/308
True,True,9,8,9,5,0,0,2311/3294
True,False,9,8,9,5,0,0,117/308
True,True,8,8,9,5,0,0,542/1071
True,False,8,8,9,4,0,0,795/5852
True,True,8,9,9,4,0,0,271/2295
True,False,8,9,9,4,0,0,801/5092
True,True,8,9,9,4,0,0,1173/6370
True,False,8,9,9,4,0,0,801/5092
True,True,8,8,9,4,0,0,1997/8378
True,False,8,8,9,4,0,0,1061/5412
True,True,8,9,9,4,0,0,4729/23892
True,False,8,9,8,4,0,0,1053/3080
True,True,8,8,8,4,0,0,739/1696
True,False,8,8,7,4,0,0,7345/24522
True,True,8,7,7,4,0,0,3941/9540
True,False,8,7,7,4,0,0,495/2059
True,True,7,7,7,4,0,0,871/2852
True,False,7,7,7,3,0,0,2337/22310
True,True,6,7,7,3,0,0,253/2286
True,False,6,7,7,3,0,0,271/2040
True,True,5,7,7,3,0,0,1541/15222
True,False,5,7,7,2,0,0,2113/62010
True,True,6,7,7,2,0,0,506/8001
True,False,6,7,7,1,0,0,409/16728
True,True,6,8,7,1,0,0,301/27180
True,False,6,8,7,1,0,0,281/13160
True,True,6,9,7,1,0,0,653/53300
True,False,6,9,8,1,0,0,945/49612
True,True,5,9,8,1,0,0,265/35112
True,False,5,9,8,1,0,0,2477/1533870
True,True,5,8,8,1,0,0,2372/375089
True,False,5,8,8,2,0,0,235/9204
True,True,6,8,8,2,0,0,7293/87913
True,False,6,8,8,2,0,0,273/9316
True,True,7,8,8,2,0,0,522/8515
True,False,7,8,8,3,0,0,1059/4712
True,True,6,8,8,3,0,0,1897/12240
True,False,6,8,8,3,0,0,127/2346
True,True,6,7,8,3,0,0,233/2262
True,False,6,7,8,4,0,0,8753/39431
True,True,5,7,8,4,0,0,1036/8385
True,False,5,7,8,4,0,0,722/8145
True,True,5,8,8,4,0,0,239/4080
True,False,5,8,8,4,0,0,229/4370
True,True,5,7,8,4,0,0,1436/14729
True,False,5,7,8,4,0,0,722/8145
True,True,4,7,8,4,0,0,872/15841
True,False,4,7,7,4,0,0,707/6248
True,True,4,8,7,4,0,0,1541/15222
True,False,4,8,6,4,0,0,377/1974
True,True,5,8,6,4,0,0,6833/19454
True,False,5,8,6,4,0,0,877/6072
True,True,4,8,6,4,0,0,1799/16512
True,False,4,8,6,4,0,0,1436/14729
True,True,5,8,6,4,0,0,1067/5992
True,False,5,8,6,4,0,0,877/6072
True,True,6,8,6,4,0,0,1019/4992
True,False,6,8,5,4,0,0,3071/11390
True,True,7,8,5,4,0,0,361/1810
True,False,7,8,4,4,0,0,1452/16471
True,True,7,9,4,4,0,0,2117/24898
True,False,7,9,3,4,0,0,2481/87932
True,True,8,9,3,4,0,0,773/89628
True,False,8,9,3,4,0,0,811/164428
True,True,9,9,3,4,0,0,2053/1053682
True,False,9,9,3,4,0,0,365/210938
True,True,9,8,3,4,0,0,131/19306
True,False,9,8,4,4,0,0,246/8645
True,True,9,7,4,4,0,0,2117/24898
True,False,9,7,5,4,0,0,1841/17292
True,True,9,6,5,4,0,0,239/1020
True,False,9,6,5,4,0,0,530/4389
True,True,9,7,5,4,0,0,279/3892
True,False,9,7,5,4,0,0,490/7503
True,True,9,8,5,4,0,0,239/6800
True,False,9,8,4,4,0,0,259/17888
True,True,8,8,4,4,0,0,1027/26368
True,False,8,8,4,4,0,0,235/9204
True,True,8,9,4,4,0,0,787/48664
True,False,8,9,4,4,0,0,259/17888
True,True,8,8,4,4,0,0,2481/87932
True,False,8,8,3,4,0,0,337/28392
True,True,7,8,3,4,0,0,1256/32865
True,False,7,8,2,4,0,0,337/28392
True,True,7,7,2,4,0,0,3391/164268
True,False,7,7,1,4,0,0,263/34584
True,True,7,6,1,4,0,0,294/17287
True,False,7,6,1,4,0,0,2481/87932
True,True,8,6,1,4,0,0,329/21648
True,False,8,6,1,5,0,0,241/3630
True,True,9,6,1,5,0,0,981/26732
True,False,9,6,1,6,0,0,2383/63096
True,True,9,5,1,6,0,0,981/26732
True,False,9,5,1,7,0,0,945/49612
True,True,8,5,1,7,0,0,587/14105
True,False,8,5,1,7,0,0,815/83027
True,True,8,6,1,7,0,0,201/8080
True,False,8,6,1,7,0,0,281/13160
True,True,8,7,1,7,0,0,255/8128
True,False,8,7,1,7,0,0,604/30401
True,True,8,8,1,7,0,0,227/8588
True,False,8,8,1,7,0,0,355/15753
True,True,9,8,1,7,0,0,629/49454
True,False,9,8,1,6,0,0,945/49612
