start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,True
True,True,8,8,0,0,0,0,True
True,False,8,8,0,0,0,0,True
True,True,9,8,0,0,0,0,True
True,False,9,8,0,0,0,0,True
True,True,9,9,0,0,0,0,True
True,False,9,9,0,0,0,0,True
True,True,9,8,0,0,0,0,True
True,False,9,8,0,0,0,0,True
True,True,8,8,0,0,0,0,True
True,False,8,8,0,0,0,0,True
True,True,8,7,0,0,0,0,True
True,False,8,7,0,0,0,0,True
True,True,8,6,0,0,0,0,True
True,False,8,6,0,0,0,0,True
True,True,7,6,0,0,0,0,True
True,False,7,6,1,0,0,0,True
True,True,7,5,1,0,0,0,True
True,False,7,5,1,0,0,0,True
True,True,6,5,1,0,0,0,True
True,False,6,5,1,1,0,0,True
True,True,7,5,1,1,0,0,True
True,False,7,5,1,1,0,0,True
True,True,6,5,1,1,0,0,True
True,False,6,5,1,0,0,0,True
True,True,5,5,1,0,0,0,True
True,False,5,5,1,0,0,0,True
True,True,4,5,1,0,0,0,True
True,False,4,5,2,0,0,0,False
True,True,5,5,2,0,0,0,False
True,False,5,5,3,0,0,0,False
True,True,5,4,3,0,0,0,False
True,False,5,4,3,0,0,0,False
True,True,4,4,3,0,0,0,False
True,False,4,4,3,0,0,0,False
True,True,4,5,3,0,0,0,False
True,False,4,5,2,0,0,0,False
True,True,3,5,2,0,0,0,False
True,False,3,5,2,0,0,0,False
True,True,3,6,2,0,0,0,False
True,False,3,6,1,0,0,0,False
True,True,4,6,1,0,0,0,True
True,False,4,6,0,0,0,0,True
True,True,4,5,0,0,0,0,True
True,False,4,5,0,0,0,0,True
True,True,4,6,0,0,0,0,True
True,False,4,6,0,0,0,0,True
True,True,4,5,0,0,0,0,True
True,False,4,5,0,0,0,0,True
True,True,5,5,0,0,0,0,True
True,False,5,5,1,0,0,0,True
True,True,5,6,1,0,0,0,True
True,False,5,6,1,0,0,0,True
True,True,4,6,1,0,0,0,True
True,False,4,6,1,0,0,0,True
True,True,5,6,1,0,0,0,True
True,False,5,6,1,1,0,0,True
True,True,4,6,1,1,0,0,False
True,False,4,6,1,2,0,0,False
True,True,3,6,1,2,0,0,False
True,False,3,6,1,2,0,0,False
True,True,3,5,1,2,0,0,False
True,False,3,5,2,2,0,0,False
True,True,2,5,2,2,0,0,False
True,False,2,5,2,2,0,0,False
True,True,2,4,2,2,0,0,False
True,False,2,4,1,2,0,0,False
True,True,1,4,1,2,0,0,False
True,False,1,4,1,2,0,0,False
True,True,2,4,1,2,0,0,False
True,False,2,4,1,1,0,0,False
True,True,2,5,1,1,0,0,False
True,False,2,5,1,1,0,0,False
True,True,1,5,1,1,0,0,False
True,False,1,5,1,1,0,0,False
True,True,1,4,1,1,0,0,False
True,False,1,4,1,1,0,0,False
True,True,0,4,1,1,0,0,False
True,False,0,4,1,1,0,0,False
True,True,0,4,1,1,0,0,False
True,False,0,4,1,1,0,0,False
True,True,0,3,1,1,0,0,False
True,False,0,3,1,1,0,0,False
True,True,0,4,1,1,0,0,False
True,False,0,4,1,2,0,0,False
True,True,0,3,1,2,0,0,False
True,False,0,3,1,2,0,0,False
True,True,0,3,1,2,0,0,False
True,False,0,3,1,1,0,0,False
True,True,0,3,1,1,0,0,False
True,False,0,3,1,1,0,0,False
True,True,0,3,1,1,0,0,False
True,False,0,3,1,2,0,0,False
True,True,1,3,1,2,0,0,False
True,False,1,3,1,2,0,0,False
True,True,2,3,1,2,0,0,False
True,False,2,3,1,1,0,0,False
