start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,1,0,0,0,0
True,True,8,9,1,0,0,0,0
True,False,8,9,1,0,0,0,0
True,True,8,9,1,0,0,0,0
True,False,8,9,1,0,0,0,0
True,True,8,8,1,0,0,0,0
True,False,8,8,1,1,0,0,0
True,True,9,8,1,1,0,0,0
True,False,9,8,1,1,0,0,0
True,True,9,9,1,1,0,0,0
True,False,9,9,1,1,0,0,0
True,True,9,9,1,1,0,0,0
True,False,9,9,1,1,0,0,0
True,True,8,9,1,1,0,0,0
True,False,8,9,1,1,0,0,0
True,True,7,9,1,1,0,0,0
True,False,7,9,1,1,0,0,0
True,True,7,8,1,1,0,0,0
True,False,7,8,1,2,0,0,2582881/4096000000
True,True,7,7,1,2,0,0,719543/256000000
True,False,7,7,1,3,0,0,27950907/2048000000
True,True,7,8,1,3,0,0,719543/256000000
True,False,7,8,1,4,0,0,27950907/2048000000
True,True,7,9,1,4,0,0,14058721/4096000000
True,False,7,9,1,4,0,0,1088523/819200000
True,True,7,8,1,4,0,0,169700511/32768000000
True,False,7,8,1,3,0,0,159041/81920000
True,True,8,8,1,3,0,0,369387/256000000
True,False,8,8,1,3,0,0,1662243/4096000000
True,True,9,8,1,3,0,0,0
True,False,9,8,1,3,0,0,0
True,True,8,8,1,3,0,0,1662243/4096000000
True,False,8,8,1,3,0,0,1662243/4096000000
True,True,8,9,1,3,0,0,0
True,False,8,9,1,3,0,0,0
True,True,7,9,1,3,0,0,1291441/4096000000
True,False,7,9,2,3,0,0,6931121/2048000000
True,True,7,8,2,3,0,0,6963889/1024000000
True,False,7,8,3,3,0,0,16176901/819200000
True,True,8,8,3,3,0,0,6963889/1024000000
True,False,8,8,3,3,0,0,16547007/4096000000
True,True,8,9,3,3,0,0,27558317/16384000000
True,False,8,9,2,3,0,0,2582881/4096000000
True,True,9,9,2,3,0,0,0
True,False,9,9,1,3,0,0,0
True,True,9,9,1,3,0,0,0
True,False,9,9,0,3,0,0,0
True,True,9,9,0,3,0,0,0
True,False,9,9,0,3,0,0,0
True,True,8,9,0,3,0,0,0
True,False,8,9,0,2,0,0,0
True,True,8,9,0,2,0,0,0
True,False,8,9,0,1,0,0,0
True,True,8,8,0,1,0,0,0
True,False,8,8,0,1,0,0,0
True,True,9,8,0,1,0,0,0
True,False,9,8,1,1,0,0,0
True,True,9,7,1,1,0,0,0
True,False,9,7,1,1,0,0,0
True,True,9,6,1,1,0,0,0
True,False,9,6,1,1,0,0,0
True,True,9,6,1,1,0,0,0
True,False,9,6,1,1,0,0,0
True,True,9,5,1,1,0,0,898659/1638400000
True,False,9,5,1,0,0,0,0
True,True,9,5,1,0,0,0,0
True,False,9,5,1,0,0,0,0
True,True,9,4,1,0,0,0,15363/12800000
True,False,9,4,1,1,0,0,3567/640000
True,True,8,4,1,1,0,0,4923927/256000000
True,False,8,4,1,1,0,0,97209827/16384000000
True,True,9,4,1,1,0,0,3877/1600000
True,False,9,4,1,1,0,0,1518537/819200000
True,True,8,4,1,1,0,0,52946781/8192000000
True,False,8,4,1,0,0,0,19961/8000000
True,True,7,4,1,0,0,0,21848163/2048000000
True,False,7,4,1,0,0,0,61090969/16384000000
True,True,8,4,1,0,0,0,915947/256000000
True,False,8,4,1,0,0,0,399917/409600000
True,True,8,3,1,0,0,0,2957879/256000000
True,False,8,3,1,0,0,0,272279/81920000
True,True,9,3,1,0,0,0,251791/64000000
True,False,9,3,1,0,0,0,241579/256000000
True,True,9,2,1,0,0,0,148679/16000000
True,False,9,2,0,0,0,0,76581/512000000
True,True,8,2,0,0,0,0,234457/256000000
True,False,8,2,0,0,0,0,2627/400000
True,True,8,1,0,0,0,0,1793313/512000000
True,False,8,1,0,0,0,0,63503/8000000
True,True,8,1,0,0,0,0,21076541/5632000000
True,False,8,1,0,0,0,0,63503/8000000
True,True,9,1,0,0,0,0,17724203/16998400000
True,False,9,1,0,0,0,0,1343/500000
True,True,9,2,0,0,0,0,526224187/861184000000
True,False,9,2,0,1,0,0,22993/2000000
True,True,9,3,0,1,0,0,5753/1000000
True,False,9,3,0,1,0,0,21327213/16384000000
True,True,8,3,0,1,0,0,191582479/32768000000
True,False,8,3,1,1,0,0,1522527/51200000
True,True,8,4,1,1,0,0,4923927/256000000
True,False,8,4,1,1,0,0,97209827/16384000000
True,True,7,4,1,1,0,0,979956647/65536000000
True,False,7,4,1,1,0,0,391618619/32768000000
True,True,7,3,1,1,0,0,558202763/16384000000
True,False,7,3,1,2,0,0,353663421/4096000000
True,True,8,3,1,2,0,0,8796063/128000000
True,False,8,3,1,2,0,0,1455918759/65536000000
True,True,7,3,1,2,0,0,1512002531/26214400000
True,False,7,3,0,2,0,0,4501557/655360000
True,True,6,3,0,2,0,0,383409213/13107200000
True,False,6,3,0,2,0,0,351893949/4096000000
True,True,6,4,0,2,0,0,2129888599/65536000000
True,False,6,4,0,3,0,0,78150243/1024000000
True,True,5,4,0,3,0,0,399663621/2048000000
True,False,5,4,0,3,0,0,544971461/6553600000
True,True,6,4,0,3,0,0,2892741303/52428800000
True,False,6,4,0,3,0,0,31100739307/786432000000
True,True,6,3,0,3,0,0,3266088871/52428800000
True,False,6,3,0,3,0,0,125992871413/2097152000000
True,True,6,2,0,3,0,0,15568225747/262144000000
True,False,6,2,0,3,0,0,971211108841/21495808000000
True,True,6,1,0,3,0,0,1512078671/32768000000
True,False,6,1,0,3,0,0,157366038301/3617587200000
True,True,6,1,0,3,0,0,1512078671/32768000000
True,False,6,1,0,3,0,0,2372923382931/54473523200000
True,True,6,1,0,3,0,0,1512078671/32768000000
True,False,6,1,0,3,0,0,1080862048317/24798822400000
True,True,5,1,0,3,0,0,5771212553/65536000000
True,False,5,1,0,3,0,0,2125580900556871/27295481856000000
True,True,4,1,0,3,0,0,3756983553/26214400000
True,False,4,1,0,3,0,0,4670520867160299/34127740928000000
True,True,3,1,0,3,0,0,28691158483/131072000000
True,False,3,1,1,3,0,0,12400082091/32768000000
True,True,3,2,1,3,0,0,8917237581/16384000000
True,False,3,2,1,3,0,0,45407283403/131072000000
True,True,4,2,1,3,0,0,67589300719/262144000000
True,False,4,2,0,3,0,0,54937579/512000000
True,True,3,2,0,3,0,0,2756374057/13107200000
True,False,3,2,0,3,0,0,13510633203/32768000000
True,True,4,2,0,3,0,0,11657788499/65536000000
True,False,4,2,0,3,0,0,8326092047/32768000000
True,True,5,2,0,3,0,0,27353976901/262144000000
True,False,5,2,0,3,0,0,442702699/2048000000
True,True,5,3,0,3,0,0,2000678687/16384000000
True,False,5,3,0,4,0,0,827079717/4096000000
True,True,4,3,0,4,0,0,2687580977/8192000000
True,False,4,3,1,4,0,0,315164187/819200000
True,True,3,3,1,4,0,0,8471462601/16384000000
True,False,3,3,2,4,0,0,36703808183/65536000000
True,True,4,3,2,4,0,0,8461561833/16384000000
True,False,4,3,3,4,0,0,36653395433/65536000000
True,True,5,3,3,4,0,0,8462621651/16384000000
True,False,5,3,3,4,0,0,10709213999/32768000000
True,True,5,2,3,4,0,0,539660611/2048000000
True,False,5,2,4,4,0,0,3726123831/8192000000
True,True,4,2,4,4,0,0,1272946313/2048000000
True,False,4,2,5,4,0,0,3726123831/8192000000
True,True,4,1,5,4,0,0,7576276193/16384000000
True,False,4,1,6,4,0,0,4427359247/16384000000
True,True,5,1,6,4,0,0,7577018673/16384000000
True,False,5,1,6,4,0,0,73591700157/262144000000
True,True,4,1,6,4,0,0,13563288957/65536000000
True,False,4,1,7,4,0,0,141223283/1024000000
True,True,4,1,7,4,0,0,308251969/2048000000
True,False,4,1,7,4,0,0,47877811/409600000
True,True,4,2,7,4,0,0,4497110027/26214400000
True,False,4,2,7,4,0,0,8131605859/52428800000
True,True,4,1,7,4,0,0,8311300407/65536000000
True,False,4,1,8,4,0,0,515814769/8192000000
True,True,5,1,8,4,0,0,495657897/3276800000
True,False,5,1,7,4,0,0,4431720801/16384000000
True,True,4,1,7,4,0,0,308251969/2048000000
True,False,4,1,7,3,0,0,11875772477/65536000000
True,True,3,1,7,3,0,0,1739209287/16384000000
True,False,3,1,7,3,0,0,519673241/4096000000
True,True,4,1,7,3,0,0,28835362839/131072000000
True,False,4,1,7,3,0,0,10425590047/52428800000
True,True,3,1,7,3,0,0,2330408663/16384000000
True,False,3,1,7,4,0,0,445203897/4096000000
True,True,4,1,7,4,0,0,546319857/3276800000
True,False,4,1,7,5,0,0,534630141/8192000000
True,True,4,2,7,5,0,0,522536221/4096000000
True,False,4,2,7,6,0,0,25702629/512000000
True,True,3,2,7,6,0,0,301368887/8192000000
True,False,3,2,7,6,0,0,32555199/1310720000
True,True,2,2,7,6,0,0,405419893/32768000000
True,False,2,2,7,5,0,0,51628051/819200000
True,True,3,2,7,5,0,0,49077219/512000000
True,False,3,2,7,4,0,0,311315343/1638400000
True,True,4,2,7,4,0,0,2146450511/8192000000
True,False,4,2,7,4,0,0,8131605859/52428800000
True,True,4,3,7,4,0,0,63042905353/262144000000
True,False,4,3,7,3,0,0,791007833/2048000000
True,True,3,3,7,3,0,0,1385063737/4096000000
True,False,3,3,7,2,0,0,3977899971/16384000000
True,True,3,4,7,2,0,0,1481667213/8192000000
True,False,3,4,7,1,0,0,32019553/409600000
True,True,3,5,7,1,0,0,294021931/8192000000
True,False,3,5,6,1,0,0,40237937/819200000
True,True,3,4,6,1,0,0,988232899/8192000000
True,False,3,4,6,1,0,0,2315177449/26214400000
True,True,2,4,6,1,0,0,718423503/13107200000
True,False,2,4,6,2,0,0,59727527/327680000
True,True,1,4,6,2,0,0,6145797/40960000
True,False,1,4,6,2,0,0,13886783187/262144000000
True,True,1,3,6,2,0,0,27260536651/262144000000
True,False,1,3,7,2,0,0,33331731/1310720000
True,True,1,2,7,2,0,0,105524149/2621440000
True,False,1,2,8,2,0,0,166568669/13107200000
True,True,1,3,8,2,0,0,37765217/3276800000
True,False,1,3,8,2,0,0,1444122279/65536000000
True,True,1,2,8,2,0,0,1812967067/52428800000
True,False,1,2,7,2,0,0,309759279/2048000000
True,True,2,2,7,2,0,0,30822673/102400000
True,False,2,2,7,2,0,0,5500877827/52428800000
True,True,2,1,7,2,0,0,18544782149/131072000000
True,False,2,1,7,2,0,0,780107841/6553600000
True,True,2,2,7,2,0,0,7187834363/52428800000
True,False,2,2,7,1,0,0,40571519/204800000
True,True,3,2,7,1,0,0,1333426797/4096000000
True,False,3,2,7,0,0,0,439086587/4096000000
True,True,3,1,7,0,0,0,698541141/4096000000
True,False,3,1,7,0,0,0,192359883/2048000000
True,True,3,1,7,0,0,0,698541141/4096000000
True,False,3,1,6,0,0,0,3055110049/16384000000
True,True,3,1,6,0,0,0,917119389/4096000000
True,False,3,1,5,0,0,0,693468937/2048000000
True,True,4,1,5,0,0,0,1213444219/2048000000
True,False,4,1,5,0,0,0,2374043357/4096000000
True,True,5,1,5,0,0,0,65477643577/131072000000
True,False,5,1,5,0,0,0,1338747011/2048000000
True,True,6,1,5,0,0,0,25294263793/65536000000
True,False,6,1,5,0,0,0,2379745177/4096000000
True,True,6,1,5,0,0,0,25294263793/65536000000
True,False,6,1,5,1,0,0,25145860417/32768000000
True,True,7,1,5,1,0,0,2817557199/4096000000
True,False,7,1,6,1,0,0,5065788637/6553600000
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
True,True,6,1,6,1,1,0,1
