start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0
True,True,8,8,0,0,0,0,0
True,False,8,8,0,0,0,0,0
True,True,8,7,0,0,0,0,0
True,False,8,7,0,0,0,0,0
True,True,8,6,0,0,0,0,0
True,False,8,6,0,0,0,0,0
True,True,8,5,0,0,0,0,0
True,False,8,5,0,0,0,0,0
True,True,8,6,0,0,0,0,0
True,False,8,6,0,0,0,0,0
True,True,7,6,0,0,0,0,0
True,False,7,6,0,1,0,0,369387/256000000
True,True,8,6,0,1,0,0,0
True,False,8,6,0,2,0,0,27651/12800000
True,True,8,5,0,2,0,0,2177/400000
True,False,8,5,0,3,0,0,279663/16000000
True,True,7,5,0,3,0,0,80913/2000000
True,False,7,5,1,3,0,0,324114927/4096000000
True,True,8,5,1,3,0,0,83439/2000000
True,False,8,5,1,4,0,0,8481043/128000000
True,True,7,5,1,4,0,0,139979/1024000
True,False,7,5,2,4,0,0,41272261/204800000
True,True,7,4,2,4,0,0,27971421/102400000
True,False,7,4,2,4,0,0,22856371543/262144000000
True,True,7,5,2,4,0,0,25255314623/262144000000
True,False,7,5,1,4,0,0,31977959/1310720000
True,True,8,5,1,4,0,0,36372577/3276800000
True,False,8,5,0,4,0,0,208877/65536000
True,True,8,4,0,4,0,0,25751743/6553600000
True,False,8,4,0,4,0,0,1085997/32000000
True,True,8,3,0,4,0,0,308420681/32768000000
True,False,8,3,0,4,0,0,194947/16000000
True,True,7,3,0,4,0,0,1591735599/65536000000
True,False,7,3,1,4,0,0,78629731/1024000000
True,True,6,3,1,4,0,0,400532997/2048000000
True,False,6,3,1,4,0,0,2724965829/32768000000
True,True,7,3,1,4,0,0,7251420263/131072000000
True,False,7,3,1,4,0,0,4914498317/131072000000
True,True,7,2,1,4,0,0,2166392721/65536000000
True,False,7,2,1,4,0,0,118331549/4096000000
True,True,8,2,1,4,0,0,1016784333/65536000000
True,False,8,2,1,4,0,0,332317209/32768000000
True,True,8,1,1,4,0,0,52118293/6553600000
True,False,8,1,2,4,0,0,157987459/4096000000
True,True,8,1,2,4,0,0,216508977/4096000000
True,False,8,1,3,4,0,0,343392353/4096000000
True,True,8,2,3,4,0,0,162687071/1024000000
True,False,8,2,3,4,0,0,14476370163/262144000000
True,True,8,1,3,4,0,0,683184427/16384000000
True,False,8,1,2,4,0,0,14844031/1638400000
True,True,7,1,2,4,0,0,457393081/16384000000
True,False,7,1,1,4,0,0,74236259/8192000000
True,True,7,2,1,4,0,0,57072731/3276800000
True,False,7,2,0,4,0,0,18876499/3276800000
True,True,7,1,0,4,0,0,4455089/1638400000
True,False,7,1,0,4,0,0,5580679/256000000
True,True,7,2,0,4,0,0,996091341/65536000000
True,False,7,2,1,4,0,0,66340771/819200000
True,True,8,2,1,4,0,0,86289/2000000
True,False,8,2,1,4,0,0,332317209/32768000000
True,True,7,2,1,4,0,0,2166392721/65536000000
True,False,7,2,1,5,0,0,48216377/2048000000
True,True,7,3,1,5,0,0,63284291/819200000
True,False,7,3,1,5,0,0,115105173/4096000000
True,True,7,4,1,5,0,0,1446378107/26214400000
True,False,7,4,1,5,0,0,4894731021/131072000000
True,True,7,5,1,5,0,0,16136146499/262144000000
True,False,7,5,1,5,0,0,3450447927/65536000000
True,True,8,5,1,5,0,0,1631683451/52428800000
True,False,8,5,0,5,0,0,2713007/1310720000
True,True,9,5,0,5,0,0,748891/655360000
True,False,9,5,0,5,0,0,1391/200000
True,True,9,4,0,5,0,0,27677329/8192000000
True,False,9,4,0,5,0,0,20833/2000000
True,True,9,3,0,5,0,0,25596073/16384000000
True,False,9,3,0,5,0,0,5581/2000000
True,True,9,2,0,5,0,0,214691/409600000
True,False,9,2,0,5,0,0,837/400000
True,True,9,2,0,5,0,0,214691/409600000
True,False,9,2,0,6,0,0,0
True,True,9,3,0,6,0,0,837/400000
True,False,9,3,0,6,0,0,214691/409600000
True,True,9,2,0,6,0,0,0
True,False,9,2,0,6,0,0,0
True,True,9,2,0,6,0,0,0
True,False,9,2,0,5,0,0,837/400000
True,True,8,2,0,5,0,0,2177/400000
True,False,8,2,0,4,0,0,279663/16000000
True,True,7,2,0,4,0,0,83763/2000000
True,False,7,2,1,4,0,0,66340771/819200000
True,True,7,1,1,4,0,0,207938097/4096000000
True,False,7,1,1,4,0,0,504483427/32768000000
True,True,7,1,1,4,0,0,1285231337/65536000000
True,False,7,1,1,4,0,0,504483427/32768000000
True,True,6,1,1,4,0,0,649372519/16384000000
True,False,6,1,1,4,0,0,4584978319/131072000000
True,True,6,1,1,4,0,0,649372519/16384000000
True,False,6,1,1,4,0,0,4584978319/131072000000
True,True,6,1,1,4,0,0,649372519/16384000000
True,False,6,1,0,4,0,0,153149523/16384000000
True,True,6,1,0,4,0,0,32032673/3276800000
True,False,6,1,0,4,0,0,74708289/2048000000
True,True,6,2,0,4,0,0,2167239861/65536000000
True,False,6,2,0,5,0,0,48216377/2048000000
True,True,6,1,0,5,0,0,33398799/2048000000
True,False,6,1,0,5,0,0,190062563/32768000000
True,True,5,1,0,5,0,0,64915763/4096000000
True,False,5,1,0,4,0,0,324214297/4096000000
True,True,6,1,0,4,0,0,207938097/4096000000
True,False,6,1,0,4,0,0,74708289/2048000000
True,True,6,2,0,4,0,0,2167239861/65536000000
True,False,6,2,1,4,0,0,16054963/163840000
True,True,5,2,1,4,0,0,1552310591/8192000000
True,False,5,2,1,5,0,0,128119469/1638400000
True,True,5,1,1,5,0,0,391214699/8192000000
True,False,5,1,1,4,0,0,445128707/4096000000
True,True,5,2,1,4,0,0,1552310591/8192000000
True,False,5,2,1,4,0,0,1259334467/13107200000
True,True,4,2,1,4,0,0,22496034287/131072000000
True,False,4,2,1,4,0,0,40638881331/262144000000
True,True,4,3,1,4,0,0,63070019863/262144000000
True,False,4,3,1,4,0,0,28765286601/131072000000
True,True,5,3,1,4,0,0,21620371833/131072000000
True,False,5,3,1,4,0,0,8540604169/65536000000
True,True,5,2,1,4,0,0,2774851119/26214400000
True,False,5,2,1,4,0,0,1259334467/13107200000
True,True,6,2,1,4,0,0,16935078037/262144000000
True,False,6,2,1,4,0,0,13174951739/262144000000
True,True,6,1,1,4,0,0,649372519/16384000000
True,False,6,1,1,4,0,0,4584978319/131072000000
True,True,6,2,1,4,0,0,16935078037/262144000000
True,False,6,2,1,5,0,0,51628051/819200000
True,True,5,2,1,5,0,0,49077219/512000000
True,False,5,2,2,5,0,0,1953674361/16384000000
True,True,6,2,2,5,0,0,49077219/512000000
True,False,6,2,2,5,0,0,3295718241/65536000000
True,True,6,3,2,5,0,0,6599592337/65536000000
True,False,6,3,3,5,0,0,3442236217/16384000000
True,True,7,3,3,5,0,0,1499355977/8192000000
True,False,7,3,3,5,0,0,6023348359/65536000000
True,True,7,2,3,5,0,0,1881463647/32768000000
True,False,7,2,3,5,0,0,3330004809/65536000000
True,True,8,2,3,5,0,0,208013159/6553600000
True,False,8,2,3,5,0,0,3708681693/131072000000
True,True,8,1,3,5,0,0,519312421/32768000000
True,False,8,1,3,4,0,0,343392353/4096000000
True,True,8,2,3,4,0,0,162687071/1024000000
True,False,8,2,3,4,0,0,14476370163/262144000000
True,True,8,3,3,4,0,0,5491563307/52428800000
True,False,8,3,4,4,0,0,4448951711/16384000000
True,True,8,2,4,4,0,0,1715638591/8192000000
True,False,8,2,4,4,0,0,1353385801/13107200000
True,True,8,1,4,4,0,0,19851479/256000000
True,False,8,1,5,4,0,0,2742274433/16384000000
True,True,8,2,5,4,0,0,2261665453/8192000000
True,False,8,2,5,4,0,0,44094339353/262144000000
True,True,8,1,5,4,0,0,1753452117/13107200000
True,False,8,1,5,4,0,0,1623682903/13107200000
True,True,8,2,5,4,0,0,23943219511/131072000000
True,False,8,2,4,4,0,0,251081171/3276800000
True,True,7,2,4,4,0,0,2612018939/16384000000
True,False,7,2,4,4,0,0,41379344791/262144000000
True,True,8,2,4,4,0,0,7497377627/65536000000
True,False,8,2,4,3,0,0,4901848577/16384000000
True,True,8,3,4,3,0,0,1553914169/4096000000
True,False,8,3,4,3,0,0,47062913239/262144000000
True,True,7,3,4,3,0,0,80238182771/262144000000
True,False,7,3,4,3,0,0,66150607383/262144000000
True,True,7,2,4,3,0,0,13741439121/52428800000
True,False,7,2,3,3,0,0,218323557/2048000000
True,True,6,2,3,3,0,0,2747630123/13107200000
True,False,6,2,3,3,0,0,6216613813/26214400000
True,True,6,3,3,3,0,0,79175329389/262144000000
True,False,6,3,3,3,0,0,64782061397/262144000000
True,True,5,3,3,3,0,0,111805654037/262144000000
True,False,5,3,3,4,0,0,1722124351/4096000000
True,True,4,3,3,4,0,0,1772224573/3276800000
True,False,4,3,3,4,0,0,127241877273/262144000000
True,True,4,2,3,4,0,0,49184544851/131072000000
True,False,4,2,2,4,0,0,9476801437/32768000000
True,True,4,3,2,4,0,0,10152256569/32768000000
True,False,4,3,2,4,0,0,10707844179/32768000000
True,True,4,4,2,4,0,0,110491463213/262144000000
True,False,4,4,2,4,0,0,25444558089/65536000000
True,True,4,5,2,4,0,0,46447154383/131072000000
True,False,4,5,2,3,0,0,9003838789/32768000000
True,True,3,5,2,3,0,0,10008676657/32768000000
True,False,3,5,2,3,0,0,21203986459/65536000000
True,True,3,6,2,3,0,0,62807974527/262144000000
True,False,3,6,2,4,0,0,3444925493/8192000000
True,True,2,6,2,4,0,0,4863049159/8192000000
True,False,2,6,2,5,0,0,21507165689/32768000000
True,True,1,6,2,5,0,0,18588417731/32768000000
True,False,1,6,2,6,0,0,2813585173/4096000000
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
True,True,2,6,2,6,1,0,1
