start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,True
True,True,9,9,0,0,0,0,True
True,False,9,9,1,0,0,0,True
True,True,9,9,1,0,0,0,True
True,False,9,9,2,0,0,0,True
True,True,9,9,2,0,0,0,True
True,False,9,9,2,1,0,0,True
True,True,9,9,2,1,0,0,True
True,False,9,9,3,1,0,0,True
True,True,9,9,3,1,0,0,True
True,False,9,9,4,1,0,0,True
True,True,9,8,4,1,0,0,True
True,False,9,8,4,1,0,0,True
True,True,9,9,4,1,0,0,True
True,False,9,9,4,2,0,0,True
True,True,9,9,4,2,0,0,True
True,False,9,9,4,3,0,0,True
True,True,8,9,4,3,0,0,True
True,False,8,9,4,4,0,0,True
True,True,8,8,4,4,0,0,True
True,False,8,8,4,4,0,0,True
True,True,8,9,4,4,0,0,True
True,False,8,9,4,5,0,0,True
True,True,8,9,4,5,0,0,False
True,False,8,9,4,5,0,0,True
True,True,8,9,4,5,0,0,True
True,False,8,9,5,5,0,0,False
True,True,8,8,5,5,0,0,False
True,False,8,8,5,5,0,0,False
True,True,8,7,5,5,0,0,False
True,False,8,7,5,5,0,0,False
True,True,8,8,5,5,0,0,False
True,False,8,8,6,5,0,0,False
True,True,7,8,6,5,0,0,False
True,False,7,8,6,5,0,0,False
True,True,7,7,6,5,0,0,False
True,False,7,7,5,5,0,0,False
True,True,8,7,5,5,0,0,False
True,False,8,7,5,5,0,0,False
True,True,9,7,5,5,0,0,False
True,False,9,7,6,5,0,0,False
True,True,9,8,6,5,0,0,False
True,False,9,8,6,5,0,0,False
True,True,8,8,6,5,0,0,False
True,False,8,8,6,5,0,0,False
True,True,8,9,6,5,0,0,False
True,False,8,9,6,5,0,0,False
True,True,8,8,6,5,0,0,False
True,False,8,8,6,5,0,0,False
True,True,7,8,6,5,0,0,False
True,False,7,8,6,4,0,0,False
True,True,8,8,6,4,0,0,False
True,False,8,8,6,4,0,0,False
True,True,7,8,6,4,0,0,False
True,False,7,8,6,4,0,0,False
True,True,8,8,6,4,0,0,False
True,False,8,8,7,4,0,0,False
True,True,9,8,7,4,0,0,False
True,False,9,8,7,4,0,0,False
True,True,9,8,7,4,0,0,False
True,False,9,8,6,4,0,0,False
True,True,9,8,6,4,0,0,False
True,False,9,8,6,5,0,0,False
True,True,8,8,6,5,0,0,False
True,False,8,8,6,5,0,0,False
True,True,9,8,6,5,0,0,False
True,False,9,8,6,5,0,0,False
True,True,9,8,6,5,0,0,False
True,False,9,8,6,5,0,0,False
True,True,9,8,6,5,0,0,False
True,False,9,8,6,5,0,0,False
True,True,9,9,6,5,0,0,False
True,False,9,9,6,5,0,0,False
True,True,9,9,6,5,0,0,False
True,False,9,9,7,5,0,0,False
True,True,9,8,7,5,0,0,False
True,False,9,8,8,5,0,0,False
True,True,9,9,8,5,0,0,False
True,False,9,9,8,5,0,0,False
True,True,8,9,8,5,0,0,False
True,False,8,9,8,5,0,0,False
True,True,9,9,8,5,0,0,False
True,False,9,9,8,5,0,0,False
True,True,8,9,8,5,0,0,False
True,False,8,9,9,5,0,0,False
True,True,9,9,9,5,0,0,False
True,False,9,9,9,5,0,0,False
True,True,9,8,9,5,0,0,False
True,False,9,8,9,5,0,0,False
True,True,9,8,9,5,0,0,False
True,False,9,8,9,5,0,0,False
True,True,8,8,9,5,0,0,False
True,False,8,8,9,4,0,0,False
True,True,8,9,9,4,0,0,False
True,False,8,9,9,4,0,0,False
True,True,8,9,9,4,0,0,False
True,False,8,9,9,4,0,0,False
True,True,8,8,9,4,0,0,False
True,False,8,8,9,4,0,0,False
True,True,8,9,9,4,0,0,False
True,False,8,9,8,4,0,0,False
True,True,8,8,8,4,0,0,False
True,False,8,8,7,4,0,0,False
True,True,8,7,7,4,0,0,False
True,False,8,7,7,4,0,0,False
True,True,7,7,7,4,0,0,False
True,False,7,7,7,3,0,0,False
True,True,6,7,7,3,0,0,False
True,False,6,7,7,3,0,0,False
True,True,5,7,7,3,0,0,False
True,False,5,7,7,2,0,0,True
True,True,6,7,7,2,0,0,False
True,False,6,7,7,1,0,0,True
True,True,6,8,7,1,0,0,True
True,False,6,8,7,1,0,0,True
True,True,6,9,7,1,0,0,True
True,False,6,9,8,1,0,0,True
True,True,5,9,8,1,0,0,True
True,False,5,9,8,1,0,0,True
True,True,5,8,8,1,0,0,True
True,False,5,8,8,2,0,0,True
True,True,6,8,8,2,0,0,False
True,False,6,8,8,2,0,0,True
True,True,7,8,8,2,0,0,False
True,False,7,8,8,3,0,0,False
True,True,6,8,8,3,0,0,False
True,False,6,8,8,3,0,0,False
True,True,6,7,8,3,0,0,False
True,False,6,7,8,4,0,0,False
True,True,5,7,8,4,0,0,False
True,False,5,7,8,4,0,0,False
True,True,5,8,8,4,0,0,False
True,False,5,8,8,4,0,0,False
True,True,5,7,8,4,0,0,False
True,False,5,7,8,4,0,0,False
True,True,4,7,8,4,0,0,False
True,False,4,7,7,4,0,0,False
True,True,4,8,7,4,0,0,False
True,False,4,8,6,4,0,0,False
True,True,5,8,6,4,0,0,False
True,False,5,8,6,4,0,0,False
True,True,4,8,6,4,0,0,False
True,False,4,8,6,4,0,0,False
True,True,5,8,6,4,0,0,False
True,False,5,8,6,4,0,0,False
True,True,6,8,6,4,0,0,False
True,False,6,8,5,4,0,0,False
True,True,7,8,5,4,0,0,False
True,False,7,8,4,4,0,0,False
True,True,7,9,4,4,0,0,False
True,False,7,9,3,4,0,0,True
True,True,8,9,3,4,0,0,True
True,False,8,9,3,4,0,0,True
True,True,9,9,3,4,0,0,True
True,False,9,9,3,4,0,0,True
True,True,9,8,3,4,0,0,True
True,False,9,8,4,4,0,0,True
True,True,9,7,4,4,0,0,False
True,False,9,7,5,4,0,0,False
True,True,9,6,5,4,0,0,False
True,False,9,6,5,4,0,0,False
True,True,9,7,5,4,0,0,False
True,False,9,7,5,4,0,0,False
True,True,9,8,5,4,0,0,True
True,False,9,8,4,4,0,0,True
True,True,8,8,4,4,0,0,True
