start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,1,0,0,0,0.0
True,True,9,8,1,0,0,0,0.0
True,False,9,8,2,0,0,0,0.0
True,True,9,7,2,0,0,0,0.0
True,False,9,7,2,0,0,0,0.0
True,True,8,7,2,0,0,0,0.0
True,False,8,7,2,0,0,0,0.0
True,True,7,7,2,0,0,0,0.0004062652587890625
True,False,7,7,2,0,0,0,0.0004749298095703125
True,True,7,6,2,0,0,0,0.001377105712890625
True,False,7,6,2,0,0,0,0.001102447509765625
True,True,7,7,2,0,0,0,0.0004062652587890625
True,False,7,7,2,0,0,0,0.0004825592041015625
True,True,8,7,2,0,0,0,0.0
True,False,8,7,2,0,0,0,0.0
True,True,8,6,2,0,0,0,0.0005664825439453125
True,False,8,6,2,1,0,0,0.00200653076171875
True,True,8,5,2,1,0,0,0.01348876953125
True,False,8,5,2,1,0,0,0.0048370361328125
True,True,9,5,2,1,0,0,0.00225067138671875
True,False,9,5,2,1,0,0,0.00182342529296875
True,True,9,5,2,1,0,0,0.00225067138671875
True,False,9,5,2,1,0,0,0.00182342529296875
True,True,9,6,2,1,0,0,0.0004062652587890625
True,False,9,6,2,1,0,0,0.0004062652587890625
True,True,9,6,2,1,0,0,0.0004062652587890625
True,False,9,6,2,1,0,0,0.0004062652587890625
True,True,9,5,2,1,0,0,0.00225067138671875
True,False,9,5,2,0,0,0,0.001056671142578125
True,True,9,5,2,0,0,0,0.001056671142578125
True,False,9,5,2,0,0,0,0.00030994415283203125
True,True,9,6,2,0,0,0,0.0
True,False,9,6,2,0,0,0,0.0
True,True,9,6,2,0,0,0,0.0
True,False,9,6,2,0,0,0,0.0
True,True,9,6,2,0,0,0,0.0
True,False,9,6,1,0,0,0,0.0
True,True,9,6,1,0,0,0,0.0
True,False,9,6,1,0,0,0,0.0
True,True,8,6,1,0,0,0,0.0
True,False,8,6,2,0,0,0,0.0006313323974609375
True,True,7,6,2,0,0,0,0.00281524658203125
True,False,7,6,2,1,0,0,0.006683349609375
