start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,True
True,True,9,9,0,0,0,0,True
True,False,9,9,1,0,0,0,True
True,True,9,9,1,0,0,0,True
True,False,9,9,2,0,0,0,True
True,True,9,9,2,0,0,0,True
True,False,9,9,2,1,0,0,True
True,True,9,9,2,1,0,0,True
True,False,9,9,3,1,0,0,True
True,True,9,9,3,1,0,0,True
True,False,9,9,4,1,0,0,True
True,True,9,8,4,1,0,0,True
True,False,9,8,4,1,0,0,True
True,True,9,9,4,1,0,0,True
True,False,9,9,4,2,0,0,True
True,True,9,9,4,2,0,0,True
True,False,9,9,4,3,0,0,True
True,True,8,9,4,3,0,0,True
True,False,8,9,4,4,0,0,True
True,True,8,8,4,4,0,0,True
True,False,8,8,4,4,0,0,True
True,True,8,9,4,4,0,0,True
True,False,8,9,4,5,0,0,True
True,True,8,9,4,5,0,0,True
True,False,8,9,4,5,0,0,True
True,True,8,9,4,5,0,0,True
True,False,8,9,5,5,0,0,True
True,True,8,8,5,5,0,0,True
True,False,8,8,5,5,0,0,True
True,True,8,7,5,5,0,0,True
True,False,8,7,5,5,0,0,True
True,True,8,8,5,5,0,0,True
True,False,8,8,6,5,0,0,True
True,True,7,8,6,5,0,0,True
True,False,7,8,6,5,0,0,True
True,True,7,7,6,5,0,0,True
True,False,7,7,5,5,0,0,True
True,True,8,7,5,5,0,0,True
True,False,8,7,5,5,0,0,True
True,True,9,7,5,5,0,0,True
True,False,9,7,6,5,0,0,True
True,True,9,8,6,5,0,0,True
True,False,9,8,6,5,0,0,True
True,True,8,8,6,5,0,0,True
True,False,8,8,6,5,0,0,True
True,True,8,9,6,5,0,0,True
True,False,8,9,6,5,0,0,True
True,True,8,8,6,5,0,0,True
True,False,8,8,6,5,0,0,True
True,True,7,8,6,5,0,0,True
True,False,7,8,6,4,0,0,True
True,True,8,8,6,4,0,0,True
True,False,8,8,6,4,0,0,True
True,True,7,8,6,4,0,0,True
True,False,7,8,6,4,0,0,True
True,True,8,8,6,4,0,0,True
True,False,8,8,7,4,0,0,True
True,True,9,8,7,4,0,0,True
True,False,9,8,7,4,0,0,
