start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,8,8,0,0,0,0,0.0
True,False,8,8,0,0,0,0,0.0
True,True,9,8,0,0,0,0,0.0
True,False,9,8,0,1,0,0,0.0
True,True,9,8,0,1,0,0,0.0
True,False,9,8,0,1,0,0,0.0
True,True,9,7,0,1,0,0,0.0
True,False,9,7,1,1,0,0,0.0
True,True,9,7,1,1,0,0,0.0
True,False,9,7,2,1,0,0,0.0
True,True,9,6,2,1,0,0,0.0012955207500679343
True,False,9,6,3,1,0,0,0.00046717681896063566
True,True,9,7,3,1,0,0,0.0004022170802461467
True,False,9,7,3,1,0,0,0.00020125037701857477
True,True,8,7,3,1,0,0,0.00039666622268147406
True,False,8,7,4,1,0,0,0.00027585486219929825
True,True,8,8,4,1,0,0,2.9831850994229203e-05
True,False,8,8,4,1,0,0,3.1656146155541876e-05
True,True,9,8,4,1,0,0,2.7646012553871366e-06
True,False,9,8,3,1,0,0,0.0
True,True,8,8,3,1,0,0,6.216269505991972e-08
True,False,8,8,2,1,0,0,0.0
True,True,7,8,2,1,0,0,1.5541319113408014e-09
True,False,7,8,2,1,0,0,2.8846591190747166e-08
True,True,7,7,2,1,0,0,2.3028027432827938e-08
True,False,7,7,2,0,0,0,6.41078731191419e-10
True,True,6,7,2,0,0,0,7.176657295985766e-10
True,False,6,7,2,0,0,0,1.3171652413179514e-09
True,True,6,8,2,0,0,0,1.5230898869837016e-10
True,False,6,8,2,0,0,0,1.5230898869837016e-10
True,True,5,8,2,0,0,0,1.263461426928713e-10
True,False,5,8,2,0,0,0,7.564172613914323e-11
True,True,5,7,2,0,0,0,1.0948084634936625e-10
True,False,5,7,2,0,0,0,1.0027780936433891e-10
True,True,5,6,2,0,0,0,6.434321747229068e-11
True,False,5,6,2,1,0,0,5.7081089009903756e-11
True,True,4,6,2,1,0,0,3.2042574594131044e-11
True,False,4,6,1,1,0,0,1.642487005931118e-12
True,True,4,5,1,1,0,0,7.091465606589638e-13
True,False,4,5,1,2,0,0,3.3514310907106454e-13
