start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,True
True,True,8,8,0,0,0,0,True
True,False,8,8,0,0,0,0,True
True,True,9,8,0,0,0,0,True
True,False,9,8,0,1,0,0,True
True,True,8,8,0,1,0,0,True
True,False,8,8,0,1,0,0,True
True,True,8,7,0,1,0,0,True
True,False,8,7,0,1,0,0,True
True,True,8,6,0,1,0,0,True
True,False,8,6,0,1,0,0,True
True,True,8,5,0,1,0,0,True
True,False,8,5,0,1,0,0,True
True,True,7,5,0,1,0,0,True
True,False,7,5,0,1,0,0,True
True,True,7,4,0,1,0,0,True
True,False,7,4,0,1,0,0,True
True,True,7,3,0,1,0,0,True
True,False,7,3,0,1,0,0,True
True,True,8,3,0,1,0,0,True
True,False,8,3,1,1,0,0,True
True,True,7,3,1,1,0,0,False
True,False,7,3,2,1,0,0,False
True,True,8,3,2,1,0,0,False
True,False,8,3,2,2,0,0,False
True,True,9,3,2,2,0,0,False
True,False,9,3,2,2,0,0,True
True,True,8,3,2,2,0,0,False
True,False,8,3,2,2,0,0,True
True,True,7,3,2,2,0,0,False
True,False,7,3,2,2,0,0,False
True,True,7,4,2,2,0,0,False
True,False,7,4,1,2,0,0,True
True,True,7,5,1,2,0,0,True
True,False,7,5,0,2,0,0,True
True,True,7,4,0,2,0,0,True
True,False,7,4,0,2,0,0,True
True,True,7,3,0,2,0,0,True
True,False,7,3,0,1,0,0,True
True,True,6,3,0,1,0,0,False
True,False,6,3,0,0,0,0,True
True,True,6,2,0,0,0,0,True
True,False,6,2,0,0,0,0,True
True,True,6,1,0,0,0,0,False
True,False,6,1,0,0,0,0,True
True,True,6,2,0,0,0,0,True
True,False,6,2,0,0,0,0,True
True,True,7,2,0,0,0,0,True
True,False,7,2,0,1,0,0,False
True,True,8,2,0,1,0,0,True
True,False,8,2,0,1,0,0,True
True,True,9,2,0,1,0,0,True
True,False,9,2,0,1,0,0,True
True,True,9,3,0,1,0,0,True
True,False,9,3,0,1,0,0,True
True,True,8,3,0,1,0,0,True
True,False,8,3,0,2,0,0,True
True,True,8,2,0,2,0,0,True
True,False,8,2,0,2,0,0,True
True,True,8,3,0,2,0,0,True
True,False,8,3,0,2,0,0,True
True,True,9,3,0,2,0,0,True
True,False,9,3,0,2,0,0,True
True,True,8,3,0,2,0,0,True
True,False,8,3,0,1,0,0,True
True,True,7,3,0,1,0,0,True
True,False,7,3,0,1,0,0,True
True,True,8,3,0,1,0,0,True
True,False,8,3,0,1,0,0,True
True,True,8,4,0,1,0,0,True
True,False,8,4,0,1,0,0,True
True,True,8,5,0,1,0,0,True
True,False,8,5,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,0,0,0,0,True
True,True,9,4,0,0,0,0,True
True,False,9,4,1,0,0,0,True
True,True,8,4,1,0,0,0,True
True,False,8,4,1,0,0,0,True
True,True,9,4,1,0,0,0,True
True,False,9,4,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,0,0,0,0,True
True,True,9,6,0,0,0,0,True
True,False,9,6,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,0,0,0,0,True
True,True,8,5,0,0,0,0,True
True,False,8,5,0,0,0,0,True
True,True,9,5,0,0,0,0,True
True,False,9,5,1,0,0,0,True
True,True,9,4,1,0,0,0,True
True,False,9,4,2,0,0,0,True
