start,turn,ax,ay,dx,dy,crash,done,risk
True,False,8,9,0,0,0,0,0.0
True,True,9,9,0,0,0,0,0.0
True,False,9,9,1,0,0,0,0.0
True,True,9,9,1,0,0,0,0.0
True,False,9,9,2,0,0,0,0.0
True,True,9,9,2,0,0,0,0.0
True,False,9,9,2,1,0,0,0.0
True,True,9,9,2,1,0,0,0.0
True,False,9,9,3,1,0,0,0.0
True,True,9,9,3,1,0,0,0.0
True,False,9,9,4,1,0,0,0.0
True,True,9,8,4,1,0,0,0.00016630020073219034
True,False,9,8,4,1,0,0,0.0004038210449218749
True,True,9,9,4,1,0,0,0.0
True,False,9,9,4,2,0,0,0.0014429179687499992
True,True,9,9,4,2,0,0,0.0014283766801079993
True,False,9,9,4,3,0,0,0.004014189941406248
True,True,8,9,4,3,0,0,0.01735750566080686
True,False,8,9,4,4,0,0,0.02841282006835936
True,True,8,8,4,4,0,0,0.03755985912089543
True,False,8,8,4,4,0,0,0.025503329864501947
True,True,8,9,4,4,0,0,0.015838613719499225
True,False,8,9,4,5,0,0,0.047003933837890574
True,True,8,9,4,5,0,0,0.04469854149379399
True,False,8,9,4,5,0,0,0.03215271459960937
True,True,8,9,4,5,0,0,0.03436823613143322
True,False,8,9,5,5,0,0,0.10986445959472642
True,True,8,8,5,5,0,0,0.13087342282721182
True,False,8,8,5,5,0,0,0.09831420932006835
True,True,8,7,5,5,0,0,0.16929702090531373
True,False,8,7,5,5,0,0,0.15935431660842891
True,True,8,8,5,5,0,0,0.10509480057286721
True,False,8,8,6,5,0,0,0.24883891253662085
True,True,7,8,6,5,0,0,0.29749853155342354
True,False,7,8,6,5,0,0,0.2371228603210449
True,True,7,7,6,5,0,0,0.35370616336628
True,False,7,7,5,5,0,0,0.2803597008972165
True,True,8,7,5,5,0,0,0.13130146370158147
True,False,8,7,5,5,0,0,0.15935431660842891
True,True,9,7,5,5,0,0,0.1313422063949804
True,False,9,7,6,5,0,0,0.27067405828857394
True,True,9,8,6,5,0,0,0.15226081967988248
True,False,9,8,6,5,0,0,0.12330998332214353
True,True,8,8,6,5,0,0,0.17821156604617722
True,False,8,8,6,5,0,0,0.16782019101333615
True,True,8,9,6,5,0,0,0.13772124870612845
True,False,8,9,6,5,0,0,0.12770398746109005
True,True,8,8,6,5,0,0,0.17821156604617722
True,False,8,8,6,5,0,0,0.16782019101333615
True,True,7,8,6,5,0,0,0.25414136109105673
True,False,7,8,6,4,0,0,0.10454416619873043
True,True,8,8,6,4,0,0,0.07888940603743241
True,False,8,8,6,4,0,0,0.10307340000915524
True,True,7,8,6,4,0,0,0.17458684753971196
True,False,7,8,6,4,0,0,0.14590617146301266
True,True,8,8,6,4,0,0,0.11161066075024045
True,False,8,8,7,4,0,0,0.29970079083251916
True,True,9,8,7,4,0,0,0.20772714442529727
True,False,9,8,7,4,0,0,0.13788170654296872
True,True,9,8,7,4,0,0,0.15058574492621224
True,False,9,8,6,4,0,0,0.12217659936523423
