start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,True
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,True
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,True
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,True
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,True
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,True
True,True,8,7,0,0,-1,-1,True
True,False,8,7,0,0,-1,-1,False
True,True,8,8,0,0,-1,-1,True
True,False,8,8,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,7,7,0,0,-1,-1,False
True,False,7,7,0,0,-1,-1,False
True,True,7,6,0,0,-1,-1,False
True,False,7,6,0,0,-1,-1,False
True,True,7,7,0,0,-1,-1,False
True,False,7,7,0,0,-1,-1,False
True,True,7,6,0,0,-1,-1,False
True,False,7,6,0,0,-1,-1,False
True,True,7,7,0,0,-1,-1,False
True,False,7,7,0,0,-1,-1,False
True,True,8,7,0,0,-1,-1,False
True,False,8,7,0,0,-1,-1,False
True,True,8,6,0,0,-1,-1,False
True,False,8,6,0,0,-1,-1,False
True,True,8,7,0,0,-1,-1,False
True,False,8,7,0,0,-1,-1,False
True,True,7,7,0,0,-1,-1,False
True,False,7,7,0,0,-1,-1,False
True,True,7,6,0,0,-1,-1,False
True,False,7,6,0,0,-1,-1,False
True,True,8,6,0,0,-1,-1,False
True,False,8,6,0,0,-1,-1,False
True,True,8,6,0,0,-1,-1,False
True,False,8,6,0,0,-1,-1,False
True,True,8,7,0,0,-1,-1,False
True,False,8,7,0,0,-1,-1,False
True,True,8,7,0,0,-1,-1,False
True,False,8,7,0,0,-1,-1,False
True,True,8,8,0,0,-1,-1,False
True,False,8,8,0,0,-1,-1,False
True,True,8,8,0,0,-1,-1,False
True,False,8,8,0,0,-1,-1,False
True,True,8,8,0,0,-1,-1,False
True,False,8,8,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,8,8,0,0,-1,-1,False
True,False,8,8,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,7,0,0,-1,-1,False
True,False,6,7,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,7,0,0,-1,-1,False
True,False,6,7,0,0,-1,-1,False
True,True,5,7,0,0,-1,-1,False
True,False,5,7,0,0,-1,-1,False
True,True,5,8,0,0,-1,-1,False
True,False,5,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,7,0,0,-1,-1,False
True,False,6,7,0,0,-1,-1,False
True,True,7,7,0,0,-1,-1,False
True,False,7,7,0,0,-1,-1,False
True,True,7,8,0,0,-1,-1,False
True,False,7,8,0,0,-1,-1,False
True,True,6,8,0,0,-1,-1,False
True,False,6,8,0,0,-1,-1,False
True,True,6,7,0,0,-1,-1,False
