start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,6,7,0,0,-1,-1,7309/4451760
True,False,6,7,0,0,-1,-1,415/57407
True,True,5,7,0,0,-1,-1,281/13160
True,False,5,7,0,0,-1,-1,538/9045
True,True,5,8,0,0,-1,-1,201/8080
True,False,5,8,0,0,-1,-1,722/8145
True,True,4,8,0,0,-1,-1,1067/5992
True,False,4,8,0,0,-1,-1,3089/10044
True,True,4,8,0,0,-1,-1,3089/10044
True,False,4,8,0,0,-1,-1,613/1342
True,True,4,8,0,0,-1,-1,739/1696
True,False,4,8,0,0,-1,-1,2677/4816
True,True,5,8,0,0,-1,-1,605/1376
True,False,5,8,0,0,-1,-1,3621/6952
True,True,5,8,0,0,-1,-1,5599/9540
True,False,5,8,0,0,-1,-1,947/1475
True,True,6,8,0,0,-1,-1,17389/28836
True,False,6,8,0,0,-1,-1,5839/8662
True,True,6,8,0,0,-1,-1,2693/3950
True,False,6,8,0,0,-1,-1,5839/8662
True,True,5,8,0,0,-1,-1,1787/2592
True,False,5,8,0,0,-1,-1,2501/3828
True,True,4,8,0,0,-1,-1,2311/3294
True,False,4,8,0,0,-1,-1,4573/7844
True,True,4,8,0,0,-1,-1,2311/3294
True,False,4,8,0,0,1,5,607/1276
True,True,4,8,0,0,1,5,239/476
True,False,4,8,0,0,2,5,896/1457
True,True,4,8,0,0,2,5,5839/8662
True,False,4,8,0,0,2,6,1433/1860
True,True,3,8,0,0,2,6,82/91
True,False,3,8,0,0,2,6,1879/2176
True,True,2,8,0,0,2,6,2909/3066
True,False,2,8,0,0,2,5,932/1131
True,True,3,8,0,0,2,5,1929/2432
True,False,3,8,0,0,-1,-1,5599/9540
True,True,3,8,0,0,-1,-1,1677/2552
True,False,3,8,0,0,-1,-1,2501/3828
True,True,4,8,0,0,-1,-1,329/528
True,False,4,8,0,0,-1,-1,6089/9372
True,True,4,7,0,0,3,4,2693/3950
True,False,4,7,0,0,2,4,237/476
True,True,4,6,0,0,2,4,342/539
True,False,4,6,0,0,3,4,2477/3510
