start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,7,8,0,0,-1,-1,0
True,False,7,8,0,0,-1,-1,0
True,True,7,8,0,0,-1,-1,0
True,False,7,8,0,0,-1,-1,7999/1953125
True,True,7,7,0,0,-1,-1,512/78125
True,False,7,7,0,0,-1,-1,5523383/156250000
True,True,8,7,0,0,-1,-1,207/15625
True,False,8,7,0,0,-1,-1,32176427/781250000
True,True,8,8,0,0,-1,-1,984/78125
True,False,8,8,0,0,-1,-1,51613347/976562500
True,True,7,8,0,0,-1,-1,31453/390625
True,False,7,8,0,0,-1,-1,7548492601/39062500000
True,True,7,7,0,0,-1,-1,44097408183/156250000000
True,False,7,7,0,0,-1,-1,634990819177/1562500000000
True,True,6,7,0,0,-1,-1,799941378043/1536900000000
True,False,6,7,0,0,-1,-1,807493887929/1589212000000
True,True,5,7,0,0,-1,-1,318332635009/563484000000
True,False,5,7,0,0,-1,-1,269505982353/500000000000
True,True,5,6,0,0,-1,-1,1474762654531/2815431200000
True,False,5,6,0,0,-1,-1,88587189542671/180259688000000
True,True,5,7,0,0,-1,-1,16089056394557/28170856000000
True,False,5,7,0,0,-1,-1,4145758762054759/7688182304000000
True,True,5,8,0,0,-1,-1,92204560331571/146928898000000
True,False,5,8,0,0,-1,-1,17707554781661293/31079730848000000
True,True,5,7,0,0,-1,-1,751174553059/1304090000000
True,False,5,7,0,0,-1,-1,112517756889941/208660000000000
True,True,4,7,0,0,-1,-1,3551434782758151/6195729220000000
True,False,4,7,0,0,-1,-1,200993246258465563/374730339920000000
True,True,3,7,0,0,-1,-1,1437699/2500000
True,False,3,7,0,0,-1,-1,20548011/40000000
True,True,2,7,0,0,-1,-1,6849927/11600000
True,False,2,7,0,0,-1,-1,106352951/200000000
True,True,2,8,0,0,-1,-1,185783449/352000000
True,False,2,8,0,0,-1,-1,1544663758634501819/2381436016080000000
True,True,3,8,0,0,-1,-1,122701125309/174680000000
True,False,3,8,0,0,-1,-1,5556890019/8800000000
True,True,2,8,0,0,-1,-1,189941913223/263764000000
