start,turn,ax,ay,crash,done,see_dx,see_dy,risk
True,False,7,8,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,0
True,False,7,7,0,0,-1,-1,0
True,True,8,7,0,0,-1,-1,0
True,False,8,7,0,0,-1,-1,0
True,True,7,7,0,0,-1,-1,512/390625
True,False,7,7,0,0,-1,-1,561/78125
True,True,7,6,0,0,-1,-1,36312/1953125
True,False,7,6,0,0,-1,-1,34221169/625000000
True,True,7,5,0,0,-1,-1,176793467/1250000000
True,False,7,5,0,0,-1,-1,10495635973/50000000000
True,True,7,4,0,0,-1,-1,19659389371/50000000000
True,False,7,4,0,0,-1,-1,95115377333/210064000000
True,True,6,4,0,0,-1,-1,520273979083/995904000000
True,False,6,4,0,0,-1,-1,290232565421/593376000000
True,True,6,3,0,0,-1,-1,128247296017/239428000000
True,False,6,3,0,0,-1,-1,37255789799/73869000000
True,True,6,2,0,0,-1,-1,2342469/4000000
True,False,6,2,0,0,-1,-1,69763072829/128224500000
True,True,7,2,0,0,-1,-1,365771/800000
True,False,7,2,0,0,-1,-1,7971631044761/13612500000000
True,True,6,2,0,0,-1,-1,3425828714261/5849966400000
True,False,6,2,0,0,-1,-1,72527092211673/144761552000000
True,True,7,2,0,0,-1,-1,6687562407739/14626900000000
True,False,7,2,0,0,-1,-1,35827151273659/71492598400000
True,True,8,2,0,0,-1,-1,1964114429321/3656725000000
True,False,8,2,0,0,-1,-1,900233602086337/1311666100000000
True,True,7,2,0,0,-1,-1,4502725436012049/6978562624000000
True,False,7,2,0,0,-1,-1,1944293/3200000
True,True,6,2,0,0,-1,-1,4733327/8000000
True,False,6,2,0,0,-1,-1,8775999/16000000
True,True,6,3,0,0,-1,-1,1071433/2000000
True,False,6,3,0,0,-1,-1,2022227/4000000
True,True,6,4,0,0,-1,-1,12928437430316001/24702428164000000
True,False,6,4,0,0,-1,-1,1995363/4000000
True,True,6,3,0,0,-1,-1,26660043/50000000
True,False,6,3,0,0,-1,-1,2022227/4000000
True,True,6,2,0,0,-1,-1,20960579/36000000
True,False,6,2,0,0,-1,-1,4436867/8000000
True,True,5,2,0,0,-1,-1,2294261/4000000
